Dex Number,Sprite URL,Pokemon,Ability 1,Ability 2,Hidden,Introduced
1,//cdn2.bulbagarden.net/upload/2/21/001MS8.png,Bulbasaur,Overgrow,,Chlorophyll,1
2,//cdn2.bulbagarden.net/upload/3/38/002MS8.png,Ivysaur,Overgrow,,Chlorophyll,1
3,//cdn2.bulbagarden.net/upload/b/ba/003MS8.png,Venusaur,Overgrow,,Chlorophyll,1
3,//cdn2.bulbagarden.net/upload/0/0e/003MMS6.png,Venusaur (Mega Venusaur),Thick Fat,,,6
4,//cdn2.bulbagarden.net/upload/d/dc/004MS8.png,Charmander,Blaze,,Solar Power,1
5,//cdn2.bulbagarden.net/upload/b/b8/005MS8.png,Charmeleon,Blaze,,Solar Power,1
6,//cdn2.bulbagarden.net/upload/a/a4/006MS8.png,Charizard,Blaze,,Solar Power,1
6,//cdn2.bulbagarden.net/upload/a/a6/006MXMS6.png,Charizard (Mega Charizard X),Tough Claws,,,6
6,//cdn2.bulbagarden.net/upload/2/26/006MYMS6.png,Charizard (Mega Charizard Y),Drought,,,6
7,//cdn2.bulbagarden.net/upload/d/dc/007MS8.png,Squirtle,Torrent,,Rain Dish,1
8,//cdn2.bulbagarden.net/upload/a/af/008MS8.png,Wartortle,Torrent,,Rain Dish,1
9,//cdn2.bulbagarden.net/upload/f/f0/009MS8.png,Blastoise,Torrent,,Rain Dish,1
9,//cdn2.bulbagarden.net/upload/0/0a/009MMS6.png,Blastoise (Mega Blastoise),Mega Launcher,,,6
10,//cdn2.bulbagarden.net/upload/6/61/010MS8.png,Caterpie,Shield Dust,,Run Away,1
11,//cdn2.bulbagarden.net/upload/f/f9/011MS8.png,Metapod,Shed Skin,,,1
12,//cdn2.bulbagarden.net/upload/f/fe/012MS8.png,Butterfree,Compound Eyes,,Tinted Lens,1
13,//cdn2.bulbagarden.net/upload/b/bc/013MSPE.png,Weedle,Shield Dust,,Run Away,1
14,//cdn2.bulbagarden.net/upload/7/70/014MSPE.png,Kakuna,Shed Skin,,,1
15,//cdn2.bulbagarden.net/upload/a/a2/015MSPE.png,Beedrill,Swarm,,Sniper,1
15,//cdn2.bulbagarden.net/upload/4/4c/015MMS6.png,Beedrill (Mega Beedrill),Adaptability,,,6
16,//cdn2.bulbagarden.net/upload/5/56/016MSPE.png,Pidgey,Keen Eye,Tangled Feet,Big Pecks,1
17,//cdn2.bulbagarden.net/upload/c/cc/017MSPE.png,Pidgeotto,Keen Eye,Tangled Feet,Big Pecks,1
18,//cdn2.bulbagarden.net/upload/9/93/018MSPE.png,Pidgeot,Keen Eye,Tangled Feet,Big Pecks,1
18,//cdn2.bulbagarden.net/upload/9/9b/018MMS6.png,Pidgeot (Mega Pidgeot),No Guard,,,6
19,//cdn2.bulbagarden.net/upload/7/7a/019MSPE.png,Rattata,Run Away,Guts,Hustle,1
19,//cdn2.bulbagarden.net/upload/4/45/019AMSPE.png,Rattata (Alolan Rattata),Gluttony,Hustle,Thick Fat,7
20,//cdn2.bulbagarden.net/upload/7/77/020MSPE.png,Raticate,Run Away,Guts,Hustle,1
20,//cdn2.bulbagarden.net/upload/6/61/020AMSPE.png,Raticate (Alolan Raticate),Gluttony,Hustle,Thick Fat,7
21,//cdn2.bulbagarden.net/upload/a/af/021MSPE.png,Spearow,Keen Eye,,Sniper,1
22,//cdn2.bulbagarden.net/upload/7/76/022MSPE.png,Fearow,Keen Eye,,Sniper,1
23,//cdn2.bulbagarden.net/upload/a/a7/023MSPE.png,Ekans,Intimidate,Shed Skin,Unnerve,1
24,//cdn2.bulbagarden.net/upload/2/2c/024MSPE.png,Arbok,Intimidate,Shed Skin,Unnerve,1
172,//cdn2.bulbagarden.net/upload/b/be/172MS8.png,Pichu,Static,,Lightning Rod,2
172,//cdn2.bulbagarden.net/upload/b/be/172MS8.png,Pichu (Spiky-eared Pichu),Static,,,2
25,//cdn2.bulbagarden.net/upload/6/66/025MS8.png,Pikachu,Static,,Lightning Rod,1
25,//cdn2.bulbagarden.net/upload/0/0e/025CoMS6.png,Pikachu (Cosplay Pikachu),Lightning Rod,,,7
25,//cdn2.bulbagarden.net/upload/b/b6/025OMS8.png,Pikachu (Pikachu in a cap),Static,,,7
26,//cdn2.bulbagarden.net/upload/b/b5/026MS8.png,Raichu,Static,,Lightning Rod,1
26,//cdn2.bulbagarden.net/upload/9/9f/026AMS8.png,Raichu (Alolan Raichu),Surge Surfer,,,7
27,//cdn2.bulbagarden.net/upload/a/ac/027MS8.png,Sandshrew,Sand Veil,,Sand Rush,1
27,//cdn2.bulbagarden.net/upload/4/4c/027AMS8.png,Sandshrew (Alolan Sandshrew),Snow Cloak,,Slush Rush,7
28,//cdn2.bulbagarden.net/upload/b/b6/028MS8.png,Sandslash,Sand Veil,,Sand Rush,1
28,//cdn2.bulbagarden.net/upload/8/81/028AMS8.png,Sandslash (Alolan Sandslash),Snow Cloak,,Slush Rush,7
29,//cdn2.bulbagarden.net/upload/8/89/029MS8.png,Nidoran♀,Poison Point,Rivalry,Hustle,1
30,//cdn2.bulbagarden.net/upload/9/9e/030MS8.png,Nidorina,Poison Point,Rivalry,Hustle,1
31,//cdn2.bulbagarden.net/upload/8/8d/031MS8.png,Nidoqueen,Poison Point,Rivalry,Sheer Force,1
32,//cdn2.bulbagarden.net/upload/4/4a/032MS8.png,Nidoran♂,Poison Point,Rivalry,Hustle,1
33,//cdn2.bulbagarden.net/upload/7/75/033MS8.png,Nidorino,Poison Point,Rivalry,Hustle,1
34,//cdn2.bulbagarden.net/upload/8/8a/034MS8.png,Nidoking,Poison Point,Rivalry,Sheer Force,1
173,//cdn2.bulbagarden.net/upload/e/e0/173MS8.png,Cleffa,Cute Charm,Magic Guard,Friend Guard,2
35,//cdn2.bulbagarden.net/upload/c/cf/035MS8.png,Clefairy,Cute Charm,Magic Guard,Friend Guard,1
36,//cdn2.bulbagarden.net/upload/9/97/036MS8.png,Clefable,Cute Charm,Magic Guard,Unaware,1
37,//cdn2.bulbagarden.net/upload/6/6d/037MS8.png,Vulpix,Flash Fire,,Drought,1
37,//cdn2.bulbagarden.net/upload/2/2f/037AMS8.png,Vulpix (Alolan Vulpix),Snow Cloak,,Snow Warning,7
38,//cdn2.bulbagarden.net/upload/6/61/038MS8.png,Ninetales,Flash Fire,,Drought,1
38,//cdn2.bulbagarden.net/upload/9/95/038AMS8.png,Ninetales (Alolan Ninetales),Snow Cloak,,Snow Warning,7
174,//cdn2.bulbagarden.net/upload/9/95/174MS8.png,Igglybuff,Cute Charm,Competitive,Friend Guard,2
39,//cdn2.bulbagarden.net/upload/f/f3/039MS8.png,Jigglypuff,Cute Charm,Competitive,Friend Guard,1
40,//cdn2.bulbagarden.net/upload/c/c6/040MS8.png,Wigglytuff,Cute Charm,Competitive,Frisk,1
41,//cdn2.bulbagarden.net/upload/0/0c/041MS8.png,Zubat,Inner Focus,,Infiltrator,1
42,//cdn2.bulbagarden.net/upload/c/ce/042MS8.png,Golbat,Inner Focus,,Infiltrator,1
169,//cdn2.bulbagarden.net/upload/f/fa/169MS8.png,Crobat,Inner Focus,,Infiltrator,2
43,//cdn2.bulbagarden.net/upload/6/68/043MS8.png,Oddish,Chlorophyll,,Run Away,1
44,//cdn2.bulbagarden.net/upload/f/f5/044MS8.png,Gloom,Chlorophyll,,Stench,1
45,//cdn2.bulbagarden.net/upload/a/a5/045MS8.png,Vileplume,Chlorophyll,,Effect Spore,1
182,//cdn2.bulbagarden.net/upload/c/c9/182MS8.png,Bellossom,Chlorophyll,,Healer,2
46,//cdn2.bulbagarden.net/upload/6/6a/046MSPE.png,Paras,Effect Spore,Dry Skin,Damp,1
47,//cdn2.bulbagarden.net/upload/4/40/047MSPE.png,Parasect,Effect Spore,Dry Skin,Damp,1
48,//cdn2.bulbagarden.net/upload/3/30/048MSPE.png,Venonat,Compound Eyes,Tinted Lens,Run Away,1
