Ability ID,Ability Name,Description,Gen

091,adaptability,Powers up moves of the same type as the Pokémon.,IV
184,aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.,VI
106,aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.,IV
076,air_lock,Eliminates the effects of weather.,III
148,analytic,Boosts move power when the Pokémon moves last.,V
083,anger_point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",IV
107,anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,IV
071,arena_trap,Prevents opposing Pokémon from fleeing.,III
165,aroma_veil,Protects itself and its allies from attacks that limit their move choices.,VI
188,aura_break,"The effects of ""Aura"" Abilities are reversed to lower the power of affected moves.",VI
123,bad_dreams,Reduces the HP of sleeping opposing Pokémon.,IV
237,ball_fetch,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.",VIII
217,battery,Powers up ally Pokémon's special moves.,VII
004,battle_armor,Hard armor protects the Pokémon from critical hits.,III
210,battle_bond,"Defeating an opposing Pokémon strengthens the Pokémon's bond with its Trainer, and it becomes Ash-Greninja. Water Shuriken gets more powerful.",VII
224,beast_boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,VII
201,berserk,Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to become half or less.,VII
145,big_pecks,Protects the Pokémon from Defense-lowering effects.,V
066,blaze,Powers up Fire-type moves when the Pokémon's HP is low.,III
171,bulletproof,Protects the Pokémon from some ball and bomb moves.,VI
167,cheek_pouch,Restores HP as well when the Pokémon eats a Berry.,VI
264,chilling_neigh,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.",VIII
034,chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,III
029,clear_body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,III
013,cloud_nine,Eliminates the effects of weather.,III
016,color_change,The Pokémon's type becomes the type of the move used on it.,III
213,comatose,It's always drowsing and will never wake up. It can attack without waking up.,VII
172,competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,VI
014,compound_eyes,The Pokémon's compound eyes boost its accuracy.,III
126,contrary,Makes stat changes have an opposite effect.,V
212,corrosion,The Pokémon can poison the target even if it's a Steel or Poison type.,VII
238,cotton_down,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself.",VIII
261,curious_medicine,"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.",VIII
130,cursed_body,May disable a move used on the Pokémon.,V
