Dex Number,Pokemon,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed
1,Bulbasaur,45,49,49,65,65,45
2,Ivysaur,60,62,63,80,80,60
3,Venusaur,80,82,83,100,100,80
4,Charmander,39,52,43,50,50,65
5,Charmeleon,58,64,58,65,65,80
6,Charizard,78,84,78,85,85,100
7,Squirtle,44,48,65,50,50,43
8,Wartortle,59,63,80,65,65,58
9,Blastoise,79,83,100,85,85,78
10,Caterpie,45,30,35,20,20,45
11,Metapod,50,20,55,25,25,30
12,Butterfree,60,45,50,80,80,70
13,Weedle,40,35,30,20,20,50
14,Kakuna,45,25,50,25,25,35
15,Beedrill,65,80,40,45,45,75
16,Pidgey,40,45,40,35,35,56
17,Pidgeotto,63,60,55,50,50,71
18,Pidgeot,83,80,75,70,70,91
19,Rattata,30,56,35,25,25,72
20,Raticate,55,81,60,50,50,97
21,Spearow,40,60,30,31,31,70
22,Fearow,65,90,65,61,61,100
23,Ekans,35,60,44,40,40,55
24,Arbok,60,85,69,65,65,80
25,Pikachu,35,55,30,50,50,90
26,Raichu,60,90,55,90,90,100
27,Sandshrew,50,75,85,30,30,40
28,Sandslash,75,100,110,55,55,65
29,Nidoran♀,55,47,52,40,40,41
30,Nidorina,70,62,67,55,55,56
31,Nidoqueen,90,82,87,75,75,76
32,Nidoran♂,46,57,40,40,40,50
33,Nidorino,61,72,57,55,55,65
34,Nidoking,81,92,77,75,75,85
35,Clefairy,70,45,48,60,60,35
36,Clefable,95,70,73,85,85,60
37,Vulpix,38,41,40,65,65,65
38,Ninetales,73,76,75,100,100,100
39,Jigglypuff,115,45,20,25,25,20
40,Wigglytuff,140,70,45,50,50,45
41,Zubat,40,45,35,40,40,55
42,Golbat,75,80,70,75,75,90
43,Oddish,45,50,55,75,75,30
44,Gloom,60,65,70,85,85,40
45,Vileplume,75,80,85,100,100,50
46,Paras,35,70,55,55,55,25
47,Parasect,60,95,80,80,80,30
48,Venonat,60,55,50,40,40,45
49,Venomoth,70,65,60,90,90,90
50,Diglett,10,55,25,45,45,95
51,Dugtrio,35,80,50,70,70,120
52,Meowth,40,45,35,40,40,90
53,Persian,65,70,60,65,65,115
54,Psyduck,50,52,48,50,50,55
55,Golduck,80,82,78,80,80,85
56,Mankey,40,80,35,35,35,70
57,Primeape,65,105,60,60,60,95
58,Growlithe,55,70,45,50,50,60
59,Arcanine,90,110,80,80,80,95
60,Poliwag,40,50,40,40,40,90
61,Poliwhirl,65,65,65,50,50,90
62,Poliwrath,90,85,95,70,70,70
63,Abra,25,20,15,105,105,90
64,Kadabra,40,35,30,120,120,105
65,Alakazam,55,50,45,135,135,120
66,Machop,70,80,50,35,35,35
67,Machoke,80,100,70,50,50,45
68,Machamp,90,130,80,65,65,55
69,Bellsprout,50,75,35,70,70,40
70,Weepinbell,65,90,50,85,85,55
71,Victreebel,80,105,65,100,100,70
72,Tentacool,40,40,35,100,100,70
73,Tentacruel,80,70,65,120,120,100
74,Geodude,40,80,100,30,30,20
75,Graveler,55,95,115,45,45,35
76,Golem,80,110,130,55,55,45
77,Ponyta,50,85,55,65,65,90
78,Rapidash,65,100,70,80,80,105
79,Slowpoke,90,65,65,40,40,15
80,Slowbro,95,75,110,80,80,30
81,Magnemite,25,35,70,95,95,45
82,Magneton,50,60,95,120,120,70
83,Farfetch'd,52,65,55,58,58,60
84,Doduo,35,85,45,35,35,75
85,Dodrio,60,110,70,60,60,100
86,Seel,65,45,55,70,70,45
87,Dewgong,90,70,80,95,95,70
88,Grimer,80,80,50,40,40,25
89,Muk,105,105,75,65,65,50
90,Shellder,30,65,100,45,45,40
91,Cloyster,50,95,180,85,85,70
92,Gastly,30,35,30,100,100,80
93,Haunter,45,50,45,115,115,95
94,Gengar,60,65,60,130,130,110
95,Onix,35,45,160,30,30,70
96,Drowzee,60,48,45,90,90,42
97,Hypno,85,73,70,115,115,67
98,Krabby,30,105,90,25,25,50
99,Kingler,55,130,115,50,50,75
100,Voltorb,40,30,50,55,55,100
101,Electrode,60,50,70,80,80,140
102,Exeggcute,60,40,80,60,60,40
103,Exeggutor,95,95,85,125,125,55
104,Cubone,50,50,95,40,40,35
105,Marowak,60,80,110,50,50,45
106,Hitmonlee,50,120,53,35,35,87
107,Hitmonchan,50,105,79,35,35,76
108,Lickitung,90,55,75,60,60,30
109,Koffing,40,65,95,60,60,35
110,Weezing,65,90,120,85,85,60
111,Rhyhorn,80,85,95,30,30,25
112,Rhydon,105,130,120,45,45,40
113,Chansey,250,5,5,105,105,50
114,Tangela,65,55,115,100,100,60
115,Kangaskhan,105,95,80,40,40,90
116,Horsea,30,40,70,70,70,60
117,Seadra,55,65,95,95,95,85
118,Goldeen,45,67,60,50,50,63
119,Seaking,80,92,65,80,80,68
120,Staryu,30,45,55,70,70,85
121,Starmie,60,75,85,100,100,115
122,Mr. Mime,40,45,65,100,100,90
123,Scyther,70,110,80,55,55,105
124,Jynx,65,50,35,95,95,95
125,Electabuzz,65,83,57,85,85,105
126,Magmar,65,95,57,85,85,93
127,Pinsir,65,125,100,55,55,85
128,Tauros,75,100,95,70,70,110
129,Magikarp,20,10,55,20,20,80
130,Gyarados,95,125,79,100,100,81
131,Lapras,130,85,80,95,95,60
132,Ditto,48,48,48,48,48,48
133,Eevee,55,55,50,65,65,55
134,Vaporeon,130,65,60,110,110,65
135,Jolteon,65,65,60,110,110,130
136,Flareon,65,130,60,110,110,65
137,Porygon,65,60,70,75,75,40
138,Omanyte,35,40,100,90,90,35
139,Omastar,70,60,125,115,115,55
140,Kabuto,30,80,90,45,45,55
141,Kabutops,60,115,105,70,70,80
142,Aerodactyl,80,105,65,60,60,130
143,Snorlax,160,110,65,65,65,30
144,Articuno,90,85,100,125,125,85
145,Zapdos,90,90,85,125,125,100
146,Moltres,90,100,90,125,125,90
147,Dratini,41,64,45,50,50,50
148,Dragonair,61,84,65,70,70,70
149,Dragonite,91,134,95,100,100,80
150,Mewtwo,106,110,90,154,154,130
151,Mew,100,100,100,100,100,100
