Ability Name,Stat,Modifier
chlorophyll,speed,2.0
swift_swim,speed,2.0
sand_rush,speed,2.0
slush_rush,speed,2.0
dauntless_shield,attack,+1
intrepid_sword,attack,+1
guts,attack*,1.5
marvel_scale,defense,1.5
quick_feet,speed*,1.5
flare_boost,special_attack,1.5
toxic_boost,attack,1.5
huge_power,attack,2.0
pure_power,attack,2.0
fur_coat,defense,2.0
ice_scales,special_defense,2.0
defiant,attack,+2
competitive,special_attack,+2
defiant,v,+1
competitive,vi,+1
lightning_rod,special_attack,+1
storm_drain,special_attack,+1
minus,special_attack,1.5
plus,special_attack,1.5
motor_drive,speed,+1
sap_sipper,attack,+1
motor_drive,electric_type_moves,+1
sap_sipper,grass_type_moves,+1
sand_veil,evasion,0.8
snow_cloak,evasion,0.8
super_luck,critical_hit_ratio,+1
