Ability Name,Effect Type
adaptability,boost_other
iron_fist,boost_method
reckless,boost_other
technician,boost_other
tinted_lens,boost_other
mega_launcher,boost_method
strong_jaw,boost_method
tough_claws,boost_other
steelworker,boost_type
neuroforce,boost_other
punk_rock,boost_method
steely_spirit,boost_type
transistor,boost_type
dragons_maw,boost_type
blaze,boost_type
overgrow,boost_type
swarm,boost_type
torrent,boost_type
dark_aura,boost_type
fairy_aura,boost_type
chlorophyll,boost_stat
swift_swim,boost_stat
sand_rush,boost_stat
slush_rush,boost_stat
dauntless_shield,boost_stat
intrepid_sword,boost_stat
guts,boost_stat
marvel_scale,boost_stat
quick_feet,boost_stat
flare_boost,boost_stat
toxic_boost,boost_stat
huge_power,boost_stat
pure_power,boost_stat
fur_coat,boost_stat
ice_scales,boost_stat
defiant,boost_stat
competitive,boost_stat
defiant,boost_stat
competitive,boost_stat
lightning_rod,boost_stat
storm_drain,boost_stat
minus,boost_stat
plus,boost_stat
motor_drive,boost_stat
sap_sipper,boost_stat
motor_drive,boost_stat
sap_sipper,boost_stat
sand_veil,boost_stat
snow_cloak,boost_stat
super_luck,boost_stat
drizzle,create_weather
drought,create_weather
sand_stream,create_weather
snow_warning,create_weather
sand_spit*,create_weather
primordial_sea,create_weather
desolate_land,create_weather
delta_stream,create_weather
electric_surge,create_terrain
psychic_surge,create_terrain
grassy_surge,create_terrain
misty_surge,create_terrain
