Ability Name,Gen,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
adaptability,4,Powers up moves of the same type.,Powers up moves of the same type as the Pokémon.,,,,,,,,,,,,,,,,,,,
aerilate,6,Normal-type moves become Flying-type moves.,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.,,,,,,,,,,,,,,,,,,,
aftermath,4,Damages the foe landing the finishing hit.,Damages the attacker landing the finishing hit.,Damages the attacker if it contacts the Pokémon with a finishing hit.,,,,,,,,,,,,,,,,,,
air_lock,3,Negates weather effects.,Eliminates the effects of weather.,,,,,,,,,,,,,,,,,,,
analytic,5,Boosts move power when the Pokémon moves last.,Boosts move power when the Pokémon moves after the target.,Boosts move power when the Pokémon moves last.,,,,,,,,,,,,,,,,,,
anger_point,4,Raises Attack upon taking a critical hit.,Maxes Attack after taking a critical hit.,Maxes the Attack stat after the Pokémon takes a critical hit.,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",,,,,,,,,,,,,,,,,
anticipation,4,Senses the foe's dangerous moves.,Senses a foe's dangerous moves.,Senses an opposing Pokémon's dangerous moves.,The Pokémon can sense an opposing Pokémon's dangerous moves.,,,,,,,,,,,,,,,,,
arena_trap,3,Prevents fleeing.RSEFRLGPrevents the foe's escape.ColoXD,Prevents the foe from fleeing.,Prevents opposing Pokémon from fleeing.,,,,,,,,,,,,,,,,,,
aroma_veil,6,Protects allies from attacks that limit their move choices.,Protects itself and its allies from attacks that limit their move choices.,,,,,,,,,,,,,,,,,,,
as_one_glastrier,8,This Ability combines the effects of both Calyrex's Unnerve Ability and Glastrier's Chilling Neigh Ability.,,,,,,,,,,,,,,,,,,,,
as_one_spectrier,8,This Ability combines the effects of both Calyrex's Unnerve Ability and Spectrier's Grim Neigh Ability.,,,,,,,,,,,,,,,,,,,,
aura_break,6,"The effects of ""Aura"" Abilities are reversed.","The effects of ""Aura"" Abilities are reversed to lower the power of affected moves.",,,,,,,,,,,,,,,,,,,
bad_dreams,4,Reduces a sleeping foe's HP.,Reduces the HP of sleeping opposing Pokémon.,,,,,,,,,,,,,,,,,,,
ball_fetch,8,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.",,,,,,,,,,,,,,,,,,,,
battery,7,Powers up ally Pokémon's special moves.,,,,,,,,,,,,,,,,,,,,
battle_armor,3,Blocks critical hits.,The Pokémon is protected against critical hits.,Protects the Pokémon from critical hits.,Hard armor protects the Pokémon from critical hits.,,,,,,,,,,,,,,,,,
battle_bond,7,"Defeating an opposing Pokémon strengthens the Pokémon's bond with its Trainer, and it becomes Ash-Greninja. Water Shuriken gets more powerful.",,,,,,,,,,,,,,,,,,,,
beast_boost,7,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,,,,,,,,,,,,,,,,,
berserk,7,Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to become half or less.,,,,,,,,,,,,,,,,,,,,
big_pecks,5,Protects the Pokémon from Defense-lowering attacks.,Protects the Pokémon from Defense-lowering effects.,,,,,,,,,,,,,,,,,,,
blaze,3,Ups Fire moves in a pinch.,Powers up Fire-type moves in a pinch.,Powers up Fire-type moves when the Pokémon is in trouble.,Powers up Fire-type moves when the Pokémon's HP is low.,,,,,,,,,,,,,,,,,
bulletproof,6,Protects the Pokémon from some ball and bomb moves.,,,,,,,,,,,,,,,,,,,,
cheek_pouch,6,Restores HP as well when the Pokémon eats a Berry.,,,,,,,,,,,,,,,,,,,,
chilling_neigh,8,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.",,,,,,,,,,,,,,,,,,,,
chlorophyll,3,Raises Speed in sunshine.,Boosts the Pokémon's Speed in sunshine.,Boosts the Pokémon's Speed stat in sunshine.,Boosts the Pokémon's Speed stat in sunshine.SMBoosts the Pokémon's Speed stat in harsh sunlight.USUM,Boosts the Pokémon's Speed stat in harsh sunlight.,,,,,,,,,,,,,,,,
clear_body,3,Prevents ability reduction.,Prevents the Pokémon's stats from being lowered.DPPtPrevents its stats from being lowered.HGSS,Prevents other Pokémon from lowering its stats.,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,,,,,,,,,,,,,,,,,
