Ability Name,RS,E,Colo,XD,FRLG
air_lock,0,0,0,0,0
arena_trap,0,0,1,1,0
battle_armor,0,0,0,0,0
blaze,0,0,0,0,0
chlorophyll,0,0,0,0,0
clear_body,0,0,0,0,0
cloud_nine,0,0,0,0,0
color_change,0,0,1,1,0
compound_eyes,0,0,0,0,0
cute_charm,0,0,0,0,0
damp,0,0,0,0,0
drizzle,0,0,0,0,0
drought,0,0,0,0,0
early_bird,0,0,0,0,0
effect_spore,0,0,0,0,0
flame_body,0,0,1,1,0
flash_fire,0,0,0,0,0
forecast,0,0,0,0,0
guts,0,0,0,0,0
huge_power,0,0,0,0,0
hustle,0,0,0,0,0
hyper_cutter,0,0,0,0,0
illuminate,0,0,0,0,0
immunity,0,0,0,0,0
inner_focus,0,0,0,0,0
insomnia,0,0,0,0,0
intimidate,0,0,0,0,0
keen_eye,0,0,0,0,0
levitate,0,0,0,0,0
lightning_rod,0,0,0,0,0
limber,0,0,0,0,0
liquid_ooze,0,0,0,0,0
magma_armor,0,0,0,0,0
magnet_pull,0,0,1,1,0
marvel_scale,0,0,0,0,0
minus,0,0,0,0,0
natural_cure,0,0,0,0,0
oblivious,0,0,0,0,0
overgrow,0,0,0,0,0
own_tempo,0,0,0,0,0
pickup,0,0,0,0,0
plus,0,0,0,0,0
poison_point,0,0,1,1,0
pressure,0,0,0,0,0
pure_power,0,0,0,0,0
rain_dish,0,0,0,0,0
rock_head,0,0,0,0,0
rough_skin,0,0,0,0,0
run_away,0,0,0,0,0
sand_stream,0,0,0,0,0
sand_veil,0,0,0,0,0
serene_grace,0,0,0,0,0
shadow_tag,0,0,0,0,0
shed_skin,0,0,0,0,0
shell_armor,0,0,0,0,0
shield_dust,0,0,0,0,0
soundproof,0,0,0,0,0
speed_boost,0,0,0,0,0
static,0,0,0,0,0
stench,0,0,0,0,0
sticky_hold,0,0,0,0,0
sturdy,0,0,0,0,0
suction_cups,0,0,0,0,0
swarm,0,0,0,0,0
swift_swim,0,0,0,0,0
synchronize,0,0,0,0,0
thick_fat,0,0,0,0,0
torrent,0,0,0,0,0
trace,0,0,0,0,0
truant,0,0,0,0,0
vital_spirit,0,0,0,0,0
volt_absorb,0,0,0,0,0
water_absorb,0,0,0,0,0
water_veil,0,0,0,0,0
white_smoke,0,0,0,0,0
wonder_guard,0,0,1,1,0
