Ability Name,DP,Pt,HGSS,PBR
adaptability,0,0,0,0
aftermath,0,0,0,0
air_lock,1,1,1,1
anger_point,0,0,0,0
anticipation,0,0,0,0
arena_trap,2,2,2,2
bad_dreams,0,0,0,0
battle_armor,1,1,1,1
blaze,1,1,1,1
chlorophyll,1,1,1,1
clear_body,1,1,2
cloud_nine,1,1,1,1
color_change,2,2,2,2
compound_eyes,1,1,1,1
cute_charm,1,1,1,1
damp,1,1,2
download,0,0,0,0
drizzle,1,1,1,1
drought,1,1,1,1
dry_skin,0,0,0,0
early_bird,1,1,1,1
effect_spore,1,1,1,1
filter,0,0,1
flame_body,2,2,2,2
flash_fire,1,1,2
flower_gift,0,0,0,0
forecast,1,1,1,1
forewarn,0,0,0,0
frisk,0,0,0,0
gluttony,0,0,0,0
guts,1,1,1,1
heatproof,0,0,0,0
honey_gather,0,0,0,0
huge_power,1,1,1,1
hustle,1,1,1,1
hydration,0,0,0,0
hyper_cutter,1,1,1,1
ice_body,0,0,0,0
illuminate,1,1,1,1
immunity,1,1,1,1
inner_focus,1,1,1,1
insomnia,1,1,1,1
intimidate,1,1,1,1
iron_fist,0,0,0,0
keen_eye,1,1,1,1
klutz,0,0,0,0
leaf_guard,0,0,1
levitate,1,1,1,1
lightning_rod,1,1,1,1
limber,1,1,1,1
liquid_ooze,1,1,1,1
magic_guard,0,0,0,0
magma_armor,1,1,1,1
magnet_pull,2,2,2,2
marvel_scale,1,1,2
minus,1,1,2
mold_breaker,0,0,0,0
motor_drive,0,0,0,0
multitype,0,0,0,0
natural_cure,1,1,2
no_guard,0,0,1
normalize,0,0,0,0
oblivious,1,1,2
overgrow,1,1,1,1
own_tempo,1,1,1,1
pickup,1,1,1,1
plus,1,1,2
poison_heal,0,0,0,0
poison_point,2,2,2,2
pressure,1,1,1,1
pure_power,1,1,1,1
quick_feet,0,0,0,0
rain_dish,1,1,1,1
reckless,0,0,0,0
rivalry,0,0,0,0
rock_head,1,1,1,1
rough_skin,1,1,1,1
run_away,1,1,1,1
sand_stream,1,1,1,1
sand_veil,1,1,1,1
scrappy,0,0,0,0
serene_grace,1,1,1,1
shadow_tag,1,1,1,1
shed_skin,1,1,1,1
shell_armor,1,1,1,1
shield_dust,1,1,1,1
simple,0,0,0,0
skill_link,0,0,0,0
slow_start,0,0,0,0
sniper,0,0,0,0
snow_cloak,0,0,0,0
snow_warning,0,0,0,0
solar_power,0,0,0,0
solid_rock,0,0,1
soundproof,1,1,1,1
speed_boost,1,1,2
stall,0,0,0,0
static,1,1,1,1
steadfast,0,0,0,0
stench,1,1,1,1
sticky_hold,1,1,1,1
storm_drain,0,0,0,0
sturdy,1,1,1,1
suction_cups,1,1,2
super_luck,0,0,0,0
swarm,1,1,1,1
swift_swim,1,1,1,1
synchronize,1,1,2
tangled_feet,0,0,0,0
technician,0,0,0,0
thick_fat,1,1,2
tinted_lens,0,0,0,0
torrent,1,1,1,1
trace,1,1,1,1
truant,1,1,2
unaware,0,0,0,0
unburden,0,0,0,0
vital_spirit,1,1,1,1
volt_absorb,1,1,1,1
water_absorb,1,1,1,1
water_veil,1,1,1,1
white_smoke,1,1,2
wonder_guard,2,2,2,2
