Ability Name,BW,B2W2
adaptability,0,0
aftermath,1,1
air_lock,1,1
analytic,0,0
anger_point,1,1
anticipation,1,1
arena_trap,2,2
bad_dreams,0,0
battle_armor,1,1
big_pecks,0,0
blaze,1,1
chlorophyll,1,1
clear_body,3,3
cloud_nine,1,1
color_change,2,2
compound_eyes,1,1
contrary,0,0
cursed_body,0,0
cute_charm,1,1
damp,3,3
defeatist,0,0
defiant,0,0
download,1,1
drizzle,1,1
drought,2,2
dry_skin,0,0
early_bird,1,1
effect_spore,2,2
filter,1,1
flame_body,3,3
flare_boost,0,0
flash_fire,2,2
flower_gift,0,0
forecast,1,1
forewarn,1,1
friend_guard,0,0
frisk,1,1
gluttony,0,0
guts,1,1
harvest,0,0
healer,0,0
heatproof,0,0
heavy_metal,0,0
honey_gather,0,0
huge_power,1,1
hustle,1,1
hydration,0,0
hyper_cutter,2,2
ice_body,1,1
illuminate,1,1
illusion,0,0
immunity,1,1
imposter,0,0
infiltrator,0,0
inner_focus,1,1
insomnia,1,1
intimidate,1,1
iron_barbs,0,0
iron_fist,0,0
justified,0,0
keen_eye,2,2
klutz,0,0
leaf_guard,1,1
levitate,1,1
light_metal,0,0
lightning_rod,2,2
limber,1,1
liquid_ooze,2,2
magic_bounce,0,0
magic_guard,0,0
magma_armor,1,1
magnet_pull,2,2
marvel_scale,2,2
minus,3,3
mold_breaker,1,1
moody,0,0
motor_drive,0,0
moxie,0,0
multiscale,0,0
multitype,0,0
mummy,0,0
natural_cure,2,2
no_guard,2,2
normalize,0,0
oblivious,2,2
overcoat,0,0
overgrow,1,1
own_tempo,1,1
pickpocket,0,0
pickup,1,1
plus,3,3
poison_heal,0,0
poison_point,3,3
poison_touch,0,0
prankster,0,0
pressure,1,1
pure_power,2,2
quick_feet,0,0
rain_dish,2,2
rattled,0,0
reckless,0,0
regenerator,0,0
rivalry,1,1
rock_head,1,1
rough_skin,1,1
run_away,2,2
sand_force,0,0
sand_rush,0,0
sand_stream,1,1
sand_veil,1,1
sap_sipper,0,0
scrappy,1,1
serene_grace,1,1
shadow_tag,1,1
shed_skin,1,1
sheer_force,0,0
shell_armor,1,1
shield_dust,1,1
simple,0,0
skill_link,0,0
slow_start,0,0
sniper,0,0
snow_cloak,0,0
snow_warning,0,0
solar_power,1,1
solid_rock,1,1
soundproof,1,1
speed_boost,2,2
stall,1,1
static,1,1
steadfast,0,0
stench,2,2
sticky_hold,1,1
storm_drain,1,1
sturdy,2,2
suction_cups,3,3
super_luck,0,0
swarm,1,1
swift_swim,1,1
synchronize,2,2
tangled_feet,1,1
technician,0,0
telepathy,0,0
teravolt,0,0
thick_fat,2,2
tinted_lens,1,1
torrent,1,1
toxic_boost,0,0
trace,2,2
truant,2,2
turboblaze,0,0
unaware,1,1
unburden,1,1
unnerve,0,0
victory_star,0,0
vital_spirit,1,1
volt_absorb,1,1
water_absorb,1,1
water_veil,1,1
weak_armor,0,0
white_smoke,3,3
wonder_guard,2,2
wonder_skin,0,0
zen_mode,0,0
