Ability Name,XY,ORAS
adaptability,1,1
aerilate,0,0
aftermath,1,1
air_lock,1,1
analytic,1,1
anger_point,2,2
anticipation,2,2
arena_trap,2,2
aroma_veil,0,0
aura_break,0,0
bad_dreams,1,1
battle_armor,2,2
big_pecks,0,0
blaze,2,2
bulletproof,0,0
cheek_pouch,0,0
chlorophyll,2,2
clear_body,2,2
cloud_nine,1,1
color_change,2,2
competitive,0,0
compound_eyes,2,2
contrary,0,0
cursed_body,0,0
cute_charm,1,1
damp,2,2
dark_aura,0,0
defeatist,0,0
defiant,1,1
delta_stream,0,0
desolate_land,0,0
download,2,2
drizzle,2,2
drought,3,3
dry_skin,1,1
early_bird,1,1
effect_spore,2,2
fairy_aura,0,0
filter,1,1
flame_body,2,2
flare_boost,1,1
flash_fire,3,3
flower_gift,1,1
flower_veil,0,0
forecast,1,1
forewarn,2,2
friend_guard,0,0
frisk,2,2
fur_coat,0,0
gale_wings,0,0
gluttony,1,1
gooey,0,0
grass_pelt,0,0
guts,2,2
harvest,0,0
healer,1,1
heatproof,0,0
heavy_metal,0,0
honey_gather,0,0
huge_power,2,2
hustle,1,1
hydration,1,1
hyper_cutter,3,3
ice_body,1,1
illuminate,1,1
illusion,1,1
immunity,1,1
imposter,1,1
infiltrator,1,1
inner_focus,2,2
insomnia,1,1
intimidate,2,2
iron_barbs,1,1
iron_fist,1,1
justified,1,1
keen_eye,2,2
klutz,0,0
leaf_guard,2,2
levitate,1,1
light_metal,0,0
lightning_rod,3,3
limber,2,2
liquid_ooze,2,2
magic_bounce,1,1
magic_guard,0,0
magician,0,0
magma_armor,1,1
magnet_pull,1,1
marvel_scale,3,3
mega_launcher,0,0
minus,3,3
mold_breaker,2,2
moody,0,0
motor_drive,1,1
moxie,1,1
multiscale,1,1
multitype,1,1
mummy,1,1
natural_cure,3,3
no_guard,1,1
normalize,1,1
oblivious,3,3
overcoat,1,1
overgrow,2,2
own_tempo,1,1
parental_bond,0,0
pickpocket,1,1
pickup,1,1
pixilate,0,0
plus,3,3
poison_heal,0,0
poison_point,2,2
poison_touch,1,1
prankster,0,0
pressure,2,2
primordial_sea,0,0
protean,0,0
pure_power,3,3
quick_feet,1,1
rain_dish,2,2
rattled,1,1
reckless,0,0
refrigerate,0,0
regenerator,0,0
rivalry,2,2
rock_head,1,1
rough_skin,2,2
run_away,2,2
sand_force,0,0
sand_rush,1,1
sand_stream,1,1
sand_veil,1,1
sap_sipper,1,1
scrappy,2,2
serene_grace,2,2
shadow_tag,2,2
shed_skin,2,2
sheer_force,1,1
shell_armor,2,2
shield_dust,2,2
simple,0,0
skill_link,1,1
slow_start,1,1
sniper,0,0
snow_cloak,1,1
snow_warning,1,1
solar_power,2,2
solid_rock,1,1
soundproof,1,1
speed_boost,2,2
stall,1,1
stance_change,0,0
static,1,1
steadfast,1,1
stench,2,2
sticky_hold,1,1
storm_drain,2,2
strong_jaw,0,0
sturdy,2,2
suction_cups,3,3
super_luck,1,1
swarm,2,2
sweet_veil,0,0
swift_swim,2,2
symbiosis,0,0
synchronize,3,3
tangled_feet,1,1
technician,0,0
telepathy,0,0
teravolt,1,1
thick_fat,3,3
tinted_lens,1,1
torrent,2,2
tough_claws,0,0
toxic_boost,1,1
trace,3,3
truant,3,3
turboblaze,1,1
unaware,2,2
unburden,2,2
unnerve,1,1
victory_star,0,0
vital_spirit,1,1
volt_absorb,1,1
water_absorb,1,1
water_veil,1,1
weak_armor,1,1
white_smoke,2,2
wonder_guard,1,1
wonder_skin,1,1
zen_mode,1,1
