Gen2Berry Name,Gen,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
psn_cure_berry,2,A self-cure for poison. (HOLD),,,,,,,,,,,,,,,,,,,,
prz_cure_berry,2,A self-cure for paralysis. (HOLD),,,,,,,,,,,,,,,,,,,,
burnt_berry,2,A self-cure for freezing. (HOLD),,,,,,,,,,,,,,,,,,,,
ice_berry,2,A self-cure for a burn. (HOLD),,,,,,,,,,,,,,,,,,,,
bitter_berry,2,A self-cure for confusion. (HOLD),,,,,,,,,,,,,,,,,,,,
mint_berry,2,A self-awakening for sleep. (HOLD),,,,,,,,,,,,,,,,,,,,
miracle_berry,2,Cures all status problems. (HOLD),,,,,,,,,,,,,,,,,,,,
mystery_berry,2,A self-restore for PP. (HOLD),,,,,,,,,,,,,,,,,,,,
berry,2,"A self-restore item. (10HP, HOLD)",,,,,,,,,,,,,,,,,,,,
gold_berry,2,"A self-restore item. (30HP, HOLD)",,,,,,,,,,,,,,,,,,,,
