Item Name,BW,B2W2
absorb_bulb,0,0
air_balloon,0,0
amulet_coin,3,3
berry_juice,3,3
berserk_gene
big_root,1,1
binding_band,0,0
black_sludge,1,1
blue_orb,2,2
bright_powder,2,2
burn_drive,0,0
cell_battery,0,0
chill_drive,0,0
choice_band,3,3
choice_scarf,1,1
choice_specs,1,1
damp_rock,1,1
destiny_knot,1,1
douse_drive,0,0
eject_button,0,0
expert_belt,0,0
flame_orb,0,0
float_stone,0,0
focus_band,3,3
focus_sash,0,0
full_incense,0,0
grip_claw,1,1
heat_rock,1,1
icy_rock,1,1
iron_ball,1,1
kings_rock,5,5
lagging_tail,0,0
lax_incense,3,3
leftovers,4,4
life_orb,0,0
light_clay,1,1
luck_incense,0,0
macho_brace,3,3
mental_herb,2,2
metronome_(item),1,1
muscle_band,0,0
odd_incense,0,0
power_anklet,1,1
power_band,1,1
power_belt,1,1
power_bracer,1,1
power_herb,0,0
power_lens,1,1
power_weight,1,1
quick_claw,4,4
razor_claw,0,0
razor_fang,1,1
red_card,0,0
red_orb,2,2
ring_target,0,0
rock_incense,0,0
rocky_helmet,0,0
rose_incense,0,0
scope_lens,4,4
sea_incense,2,2
shed_shell,0,0
shell_bell,2,2
shock_drive,0,0
smoke_ball,5,5
smooth_rock,1,1
sticky_barb,2,2
toxic_orb,0,0
wave_incense,1,1
white_herb,1,1
wide_lens,0,0
wise_glasses,0,0
zoom_lens,2,2
