Item Name,XY,ORAS
abomasite,0,1
absolite,0,1
absorb_bulb,1,1
aerodactylite,0,1
aggronite,0,1
air_balloon,1,1
alakazite,0,1
altarianite,,0
ampharosite,0,1
amulet_coin,4,5
assault_vest,0,0
audinite,,0
banettite,0,1
beedrillite,,0
berry_juice,4,4
berserk_gene,,
big_root,2,2
binding_band,1,1
black_sludge,2,2
blastoisinite,0,1
blazikenite,0,1
blue_orb,3,3
bright_powder,3,3
burn_drive,1,1
cameruptite,,0
cell_battery,1,1
charizardite_x,0,1
charizardite_y,0,1
chill_drive,1,1
choice_band,4,4
choice_scarf,2,2
choice_specs,2,2
damp_rock,2,2
destiny_knot,2,2
diancite,,0
douse_drive,1,1
eject_button,1,1
expert_belt,1,1
flame_orb,1,1
float_stone,1,1
focus_band,3,3
focus_sash,1,1
full_incense,1,1
galladite,,0
garchompite,0,1
gardevoirite,0,1
gengarite,0,1
glalitite,,0
grip_claw,2,2
gyaradosite,0,1
heat_rock,2,2
heracronite,0,1
houndoominite,0,1
icy_rock,2,2
iron_ball,2,2
kangaskhanite,0,1
kings_rock,6,6
lagging_tail,0,0
latiasite,0,1
latiosite,0,1
lax_incense,4,4
leftovers,5,5
life_orb,0,0
light_clay,2,2
lopunnite,,0
lucarionite,0,1
luck_incense,1,1
luminous_moss,0,0
macho_brace,4,4
manectite,0,1
mawilite,0,1
medichamite,0,1
mental_herb,2,3
metagrossite,,0
metronome_(item),2,2
mewtwonite_x,0,1
mewtwonite_y,0,1
muscle_band,1,1
odd_incense,1,1
pidgeotite,,0
pinsirite,0,1
power_anklet,2,2
power_band,2,2
power_belt,2,2
power_bracer,2,2
power_herb,1,1
power_lens,2,2
power_weight,2,2
quick_claw,5,5
razor_claw,1,1
razor_fang,2,2
red_card,1,1
red_orb,3,3
ring_target,1,1
rock_incense,1,1
rocky_helmet,1,1
rose_incense,1,1
sablenite,,0
safety_goggles,0,0
salamencite,,0
sceptilite,,0
scizorite,0,1
scope_lens,5,5
sea_incense,3,3
sharpedonite,,0
shed_shell,1,1
shell_bell,3,3
shock_drive,1,1
slowbronite,,0
smoke_ball,6,6
smooth_rock,2,2
snowball,0,0
steelixite,,0
sticky_barb,3,3
swampertite,,0
toxic_orb,1,1
tyranitarite,0,1
venusaurite,0,1
wave_incense,2,2
weakness_policy,0,0
white_herb,2,2
wide_lens,1,1
wise_glasses,1,1
zoom_lens,3,3
