Item Name,SwSh
abomasite
absolite
absorb_bulb,2
adrenaline_orb,2
aerodactylite,1
aggronite
air_balloon,2
alakazite,1
altarianite
ampharosite
amulet_coin,5
assault_vest,0
audinite
banettite
beedrillite,0
berry_juice,5
berserk_gene
big_root,4
binding_band,2
black_sludge,2
blastoisinite,1
blazikenite
blue_orb
blunder_policy,0
bright_powder,3
bug_memory,0
burn_drive,1
cameruptite
cell_battery,2
charizardite_x,1
charizardite_y,1
chill_drive,1
choice_band,4
choice_scarf,2
choice_specs,2
damp_rock,2
dark_memory,0
destiny_knot,2
diancite
douse_drive,1
dragon_memory,0
eject_button,1
eject_pack,0
electric_memory,0
electric_seed,0
expert_belt,1
fairy_memory,0
fighting_memory,0
fire_memory,0
flame_orb,2
float_stone,1
flying_memory,0
focus_band,3
focus_sash,1
full_incense,1
galladite
garchompite
gardevoirite
gengarite,1
ghost_memory,0
glalitite
grass_memory,0
grassy_seed,0
grip_claw,3
ground_memory,0
gyaradosite,1
heat_rock,2
heavy_duty_boots,0
heracronite
houndoominite
ice_memory,0
icy_rock,3
iron_ball,3
kangaskhanite,1
kings_rock,6
lagging_tail,0
latiasite
latiosite
lax_incense,4
leftovers,5
life_orb,1
light_clay,2
lopunnite
lucarionite
luck_incense,1
luminous_moss,1
macho_brace,4
manectite
mawilite
medichamite
mental_herb,3
metagrossite
metronome_(item),3
mewtwonite_x,1
mewtwonite_y,1
misty_seed,1
muscle_band,1
odd_incense,1
pidgeotite,0
pinsirite,1
poison_memory,0
power_anklet,2
power_band,2
power_belt,2
power_bracer,2
power_herb,1
power_lens,2
power_weight,3
protective_pads,0
psychic_memory,0
psychic_seed,1
quick_claw,5
razor_claw,1
razor_fang
red_card,1
red_orb
ring_target,1
rock_incense,1
rock_memory,0
rocky_helmet,1
room_service,0
rose_incense,1
sablenite
safety_goggles,0
salamencite
sceptilite
scizorite
scope_lens,5
sea_incense,3
sharpedonite
shed_shell,1
shell_bell,4
shock_drive,1
slowbronite,0
smoke_ball,6
smooth_rock,2
snowball,1
steel_memory,0
steelixite
sticky_barb,3
swampertite
terrain_extender,0
throat_spray,0
toxic_orb,2
tyranitarite
utility_umbrella,0,1
venusaurite,1
water_memory,0
wave_incense,3
weakness_policy,0
white_herb,2
wide_lens,1
wise_glasses,1
zoom_lens,3
