Move Name,Stad
pound,0
karate_chop,0
double_slap,0
comet_punch,0
mega_punch,0
pay_day,0
fire_punch,0
ice_punch,0
thunder_punch,0
scratch,0
vise_grip,0
guillotine,0
razor_wind,0
swords_dance,0
cut,0
gust,0
wing_attack,0
whirlwind,0
fly,0
bind,0
slam,0
vine_whip,0
stomp,0
double_kick,0
mega_kick,0
jump_kick,0
rolling_kick,0
sand_attack,0
headbutt,0
horn_attack,0
fury_attack,0
horn_drill,0
tackle,0
body_slam,0
wrap,0
take_down,0
thrash,0
double_edge,0
tail_whip,0
poison_sting,0
twineedle,0
pin_missile,0
leer,0
bite,0
growl,0
roar,0
sing,0
supersonic,0
sonic_boom,0
disable,0
acid,0
ember,0
flamethrower,0
mist,0
water_gun,0
hydro_pump,0
surf,0
ice_beam,0
blizzard,0
psybeam,0
bubble_beam,0
aurora_beam,0
hyper_beam,0
peck,0
drill_peck,0
submission,0
low_kick,0
counter,0
seismic_toss,0
strength,0
absorb,0
mega_drain,0
leech_seed,0
growth,0
razor_leaf,0
solar_beam,0
poison_powder,0
stun_spore,0
sleep_powder,0
petal_dance,0
string_shot,0
dragon_rage,0
fire_spin,0
thunder_shock,0
thunderbolt,0
thunder_wave,0
thunder,0
rock_throw,0
earthquake,0
fissure,0
dig,0
toxic,0
confusion,0
psychic,0
hypnosis,0
meditate,0
agility,0
quick_attack,0
rage,0
teleport,0
night_shade,0
mimic,0
screech,0
double_team,0
recover,0
harden,0
minimize,0
smokescreen,0
confuse_ray,0
withdraw,0
defense_curl,0
barrier,0
light_screen,0
haze,0
reflect,0
focus_energy,0
bide,0
metronome,0
mirror_move,0
self_destruct,0
egg_bomb,0
lick,0
smog,0
sludge,0
bone_club,0
fire_blast,0
waterfall,0
clamp,0
swift,0
skull_bash,0
spike_cannon,0
constrict,0
amnesia,0
kinesis,0
soft_boiled,0
high_jump_kick,0
glare,0
dream_eater,0
poison_gas,0
barrage,0
leech_life,0
lovely_kiss,0
sky_attack,0
transform,0
bubble,0
dizzy_punch,0
spore,0
flash,0
psywave,0
splash,0
acid_armor,0
crabhammer,0
explosion,0
fury_swipes,0
bonemerang,0
rest,0
rock_slide,0
hyper_fang,0
sharpen,0
conversion,0
tri_attack,0
super_fang,0
slash,0
substitute,0
struggle,0
