Move Name,GS,C,Stad2
pound,1,1,0
karate_chop,2,2,1
double_slap,1,1,0
comet_punch,1,1,0
mega_punch,1,1,0
pay_day,2,2,1
fire_punch,1,1,0
ice_punch,1,1,0
thunder_punch,2,2,1
scratch,1,1,0
vise_grip,1,1,0
guillotine,1,1,0
razor_wind,2,2,1
swords_dance,2,2,1
cut,1,1,0
gust,2,2,1
wing_attack,2,2,1
whirlwind,2,2,1
fly,2,2,1
bind,1,1,0
slam,2,2,1
vine_whip,1,1,0
stomp,2,2,1
double_kick,1,1,0
mega_kick,1,1,0
jump_kick,1,1,0
rolling_kick,2,2,1
sand_attack,1,1,0
headbutt,2,2,1
horn_attack,1,1,0
fury_attack,1,1,0
horn_drill,1,1,0
tackle,1,1,0
body_slam,2,2,1
wrap,2,2,1
take_down,1,1,0
thrash,1,1,0
double_edge,2,2,1
tail_whip,1,1,0
poison_sting,2,2,1
twineedle,1,1,0
pin_missile,1,1,0
leer,1,1,0
bite,1,1,0
growl,2,2,1
roar,2,2,1
sing,2,2,1
supersonic,2,2,1
sonic_boom,2,2,1
disable,2,2,1
acid,2,2,1
ember,1,1,0
flamethrower,2,2,1
mist,2,2,1
water_gun,1,1,0
hydro_pump,2,2,1
surf,2,2,1
ice_beam,1,1,0
blizzard,2,2,1
psybeam,1,1,0
bubble_beam,2,2,1
aurora_beam,2,2,1
hyper_beam,1,1,0
peck,2,2,1
drill_peck,1,1,0
submission,2,2,1
low_kick,2,2,1
counter,2,2,1
seismic_toss,2,2,1
strength,1,1,0
absorb,1,1,0
mega_drain,1,1,0
leech_seed,2,2,1
growth,2,2,1
razor_leaf,2,2,1
solar_beam,2,2,1
poison_powder,2,2,1
stun_spore,2,2,1
sleep_powder,1,1,0
petal_dance,2,2,1
string_shot,1,1,0
dragon_rage,2,2,1
fire_spin,2,2,1
thunder_shock,1,1,0
thunderbolt,1,1,0
thunder_wave,2,2,1
thunder,2,2,1
rock_throw,1,1,0
earthquake,2,2,1
fissure,1,1,0
dig,1,1,0
toxic,2,2,1
confusion,1,1,0
psychic,2,2,1
hypnosis,1,1,0
meditate,2,2,1
agility,2,2,1
quick_attack,2,2,1
rage,1,1,0
teleport,2,2,1
night_shade,2,2,1
mimic,1,1,0
screech,1,1,0
double_team,2,2,1
recover,2,2,1
harden,1,1,0
minimize,1,1,0
smokescreen,1,1,0
confuse_ray,2,2,1
withdraw,1,1,0
defense_curl,1,1,0
barrier,2,2,1
light_screen,2,2,1
haze,2,2,1
reflect,2,2,1
focus_energy,1,1,0
bide,1,1,0
metronome,1,1,0
mirror_move,2,2,1
self_destruct,2,2,1
egg_bomb,1,1,0
lick,1,1,0
smog,1,1,0
sludge,2,2,1
bone_club,1,1,0
fire_blast,2,2,1
waterfall,1,1,0
clamp,2,2,1
swift,1,1,0
skull_bash,2,2,1
spike_cannon,1,1,0
constrict,2,2,1
amnesia,2,2,1
kinesis,1,1,0
soft_boiled,2,2,1
high_jump_kick,2,2,1
glare,2,2,1
dream_eater,2,2,1
poison_gas,1,1,0
barrage,1,1,0
leech_life,1,1,0
lovely_kiss,2,2,1
sky_attack,2,2,1
transform,1,1,0
bubble,2,2,1
dizzy_punch,2,2,1
spore,2,2,1
flash,2,2,1
psywave,1,1,0
splash,2,2,1
acid_armor,1,1,0
crabhammer,1,1,0
explosion,1,1,0
fury_swipes,1,1,0
bonemerang,2,2,1
rest,1,1,0
rock_slide,1,1,0
hyper_fang,1,1,0
sharpen,1,1,0
conversion,2,2,1
tri_attack,2,2,1
super_fang,1,1,0
slash,2,2,1
substitute,1,1,0
struggle,2,2,1
sketch,1,1,0
triple_kick,1,1,0
thief,1,1,0
spider_web,1,1,0
mind_reader,1,1,0
nightmare,1,1,0
flame_wheel,1,1,0
snore,1,1,0
curse,1,1,0
flail,1,1,0
conversion_2,1,1,0
aeroblast,1,1,0
cotton_spore,1,1,0
reversal,1,1,0
spite,1,1,0
powder_snow,1,1,0
protect,1,1,0
mach_punch,1,1,0
scary_face,1,1,0
feint_attack,1,1,0
sweet_kiss,1,1,0
belly_drum,1,1,0
sludge_bomb,1,1,0
mud_slap,1,1,0
octazooka,1,1,0
spikes,1,1,0
zap_cannon,1,1,0
foresight,1,1,0
destiny_bond,1,1,0
perish_song,1,1,0
icy_wind,1,1,0
detect,1,1,0
bone_rush,1,1,0
lock_on,1,1,0
outrage,1,1,0
sandstorm,1,1,0
giga_drain,1,1,0
endure,1,1,0
charm,1,1,0
rollout,1,1,0
false_swipe,1,1,0
swagger,1,1,0
milk_drink,1,1,0
spark,1,1,0
fury_cutter,1,1,0
steel_wing,1,1,0
mean_look,1,1,0
attract,1,1,0
sleep_talk,1,1,0
heal_bell,1,1,0
return,1,1,0
present,1,1,0
frustration,1,1,0
safeguard,1,1,0
pain_split,1,1,0
sacred_fire,1,1,0
magnitude,1,1,0
dynamic_punch,1,1,0
megahorn,1,1,0
dragon_breath,1,1,0
baton_pass,1,1,0
encore,1,1,0
pursuit,1,1,0
rapid_spin,1,1,0
sweet_scent,1,1,0
iron_tail,1,1,0
metal_claw,1,1,0
vital_throw,1,1,0
morning_sun,1,1,0
synthesis,1,1,0
moonlight,1,1,0
hidden_power,1,1,0
cross_chop,1,1,0
twister,1,1,0
rain_dance,1,1,0
sunny_day,1,1,0
crunch,1,1,0
mirror_coat,1,2,0
psych_up,1,1,0
extreme_speed,1,1,0
ancient_power,1,1,0
shadow_ball,1,1,0
future_sight,1,1,0
rock_smash,1,1,0
whirlpool,1,1,0
beat_up,1,1,0
