Move Name,RS,E,Colo,XD,FRLG
pound,2,2,4,4,3
karate_chop,3,3,3,3,4
double_slap,2,2,4,4,3
comet_punch,2,2,4,4,3
mega_punch,2,2,2,2,3
pay_day,3,3,4,4,5
fire_punch,2,2,3,3,4
ice_punch,2,2,4,4,3
thunder_punch,3,3,5,5,4
scratch,2,2,4,4,3
vise_grip,2,2,3,3,4
guillotine,2,2,2,2,3
razor_wind,3,3,5,5,4
swords_dance,3,3,3,3,4
cut,2,2,4,4,3
gust,3,3,4,4,3
wing_attack,3,3,5,5,4
whirlwind,3,3,5,5,4
fly,3,3,5,5,4
bind,2,2,3,3,4
slam,3,3,3,3,4
vine_whip,2,2,4,4,3
stomp,3,3,4,4,5
double_kick,2,2,4,4,3
mega_kick,2,2,2,2,3
jump_kick,2,2,2,2,3
rolling_kick,3,3,4,4,5
sand_attack,2,2,4,4,3
headbutt,3,3,3,3,4
horn_attack,2,2,3,3,4
fury_attack,2,2,4,4,3
horn_drill,2,2,2,2,3
tackle,2,2,4,4,3
body_slam,3,3,3,3,4
wrap,3,3,4,4,5
take_down,2,2,2,2,3
thrash,2,2,2,2,3
double_edge,3,3,3,3,4
tail_whip,2,2,2,2,3
poison_sting,3,3,3,3,4
twineedle,2,2,3,3,4
pin_missile,2,2,2,2,3
leer,2,2,2,2,3
bite,2,2,2,2,3
growl,3,3,3,3,4
roar,3,3,4,4,5
sing,3,3,4,4,5
supersonic,3,3,4,4,5
sonic_boom,3,3,3,3,4
disable,3,3,4,4,5
acid,3,3,3,3,4
ember,2,2,2,2,3
flamethrower,3,3,3,3,4
mist,3,3,3,3,4
water_gun,2,2,3,3,4
hydro_pump,3,3,4,4,5
surf,3,3,3,3,4
ice_beam,2,2,3,3,4
blizzard,3,3,3,3,4
psybeam,2,2,3,3,4
bubble_beam,3,3,3,3,4
aurora_beam,3,3,3,3,4
hyper_beam,2,2,2,2,3
peck,3,3,4,4,5
drill_peck,2,2,2,3,4
submission,3,3,3,3,4
low_kick,3,3,5,5,4
counter,3,3,3,3,4
seismic_toss,3,3,3,3,4
strength,2,2,4,4,3
absorb,2,2,2,2,3
mega_drain,2,2,2,2,3
leech_seed,3,3,5,5,4
growth,3,3,3,3,4
razor_leaf,3,3,3,3,4
solar_beam,3,3,3,3,4
poison_powder,3,3,5,5,4
stun_spore,3,3,5,5,4
sleep_powder,2,2,4,4,3
petal_dance,3,3,3,3,4
string_shot,2,2,2,2,3
dragon_rage,3,3,3,3,4
fire_spin,3,3,5,5,4
thunder_shock,2,2,4,4,3
thunderbolt,2,2,2,2,3
thunder_wave,3,3,5,5,4
thunder,3,3,5,5,4
rock_throw,2,2,4,4,3
earthquake,3,3,5,5,4
fissure,2,2,4,4,3
dig,2,2,4,4,3
toxic,3,3,5,5,4
confusion,2,2,2,2,3
psychic,3,3,3,3,4
hypnosis,2,2,2,2,3
meditate,3,3,3,3,4
agility,3,3,3,3,4
quick_attack,3,3,3,3,4
rage,2,2,2,2,3
teleport,3,3,3,3,4
night_shade,3,3,3,3,4
mimic,2,2,4,4,3
screech,2,2,4,4,3
double_team,3,3,3,3,4
recover,3,3,3,3,4
harden,2,2,2,2,3
minimize,2,2,2,2,3
smokescreen,2,2,4,4,3
confuse_ray,3,3,4,4,5
withdraw,2,2,4,4,3
defense_curl,2,2,2,2,3
barrier,3,3,3,3,4
light_screen,3,3,3,3,4
haze,3,3,3,3,4
reflect,3,3,3,3,4
focus_energy,2,2,2,2,3
bide,2,2,2,2,3
metronome,2,2,2,2,3
mirror_move,3,3,5,5,4
self_destruct,3,3,3,3,4
egg_bomb,2,2,4,4,3
lick,2,2,2,2,3
smog,2,2,2,2,3
sludge,3,3,3,3,4
bone_club,2,2,4,4,3
fire_blast,3,3,5,5,4
waterfall,2,2,4,4,3
clamp,3,3,5,5,4
swift,2,2,2,2,3
skull_bash,3,3,5,5,4
spike_cannon,2,2,4,4,3
constrict,3,3,3,3,4
amnesia,3,3,3,3,3
kinesis,2,2,4,4,3
soft_boiled,3,3,3,3,4
high_jump_kick,3,3,3,3,4
glare,3,3,4,4,5
dream_eater,3,3,5,5,4
poison_gas,2,2,4,4,3
barrage,2,2,2,4,3
leech_life,2,2,4,4,3
lovely_kiss,3,3,3,3,4
sky_attack,3,3,3,3,4
transform,2,2,4,4,3
bubble,3,3,5,5,4
dizzy_punch,3,3,5,5,4
spore,3,3,5,5,4
flash,3,3,5,5,4
psywave,2,2,2,2,3
splash,3,3,3,3,4
acid_armor,2,2,2,2,3
crabhammer,2,2,2,2,3
explosion,2,2,2,2,3
fury_swipes,2,2,4,4,3
bonemerang,3,3,3,3,4
rest,2,2,2,2,3
rock_slide,2,2,2,2,3
hyper_fang,2,2,2,2,3
sharpen,2,2,2,2,3
conversion,3,4,6,6,5
tri_attack,3,3,5,5,4
super_fang,2,2,4,4,3
slash,3,3,3,3,4
substitute,2,2,2,2,3
struggle,3,3,5,5,4
sketch,2,2,4,4,3
triple_kick,2,2,4,4,3
thief,2,2,4,4,3
spider_web,2,2,4,4,3
mind_reader,2,2,4,4,3
nightmare,2,2,3,3,4
flame_wheel,2,2,2,2,3
snore,2,2,2,2,3
curse,2,2,2,2,3
flail,2,2,2,2,3
conversion_2,2,2,2,2,3
aeroblast,2,2,2,2,3
cotton_spore,2,2,4,4,3
reversal,2,2,2,2,3
spite,2,2,4,4,3
powder_snow,2,2,4,4,3
protect,2,2,2,2,3
mach_punch,2,2,2,2,3
scary_face,2,2,2,2,3
feint_attack,2,2,4,4,3
sweet_kiss,2,2,2,2,3
belly_drum,2,2,2,2,3
sludge_bomb,2,2,2,2,3
mud_slap,2,2,4,4,3
octazooka,2,2,2,2,3
spikes,2,3,2,2,4
zap_cannon,2,2,2,2,3
foresight,2,2,4,4,3
destiny_bond,2,2,2,2,3
perish_song,2,2,2,2,3
icy_wind,2,2,2,2,3
detect,2,2,2,2,3
bone_rush,2,2,4,4,3
lock_on,2,2,4,4,3
outrage,2,2,2,2,3
sandstorm,2,2,2,2,3
giga_drain,2,2,2,2,3
endure,2,2,2,2,3
charm,2,2,4,4,3
rollout,2,2,2,2,3
false_swipe,2,2,2,4,3
swagger,2,2,4,4,3
milk_drink,2,2,2,2,3
spark,2,2,4,4,3
fury_cutter,2,2,2,2,3
