Move Name,DP,Pt,HGSS,PBR
pound,5,5,5,5
karate_chop,4,4,4,4
double_slap,5,5,5,5
comet_punch,5,5,5,5
mega_punch,3,3,3,3
pay_day,6,6,6,7
fire_punch,5,5,5,5
ice_punch,5,5,5,5
thunder_punch,6,6,6,6
scratch,5,5,5,5
vise_grip,4,4,4,4
guillotine,4,4,4,4
razor_wind,6,6,6,6
swords_dance,5,5,5,5
cut,5,5,5,6
gust,5,5,5,5
wing_attack,6,6,6,6
whirlwind,6,6,6,7
fly,6,6,6,7
bind,5,5,5,5
slam,5,5,5,5
vine_whip,5,5,5,5
stomp,6,6,6,6
double_kick,5,5,5,5
mega_kick,4,4,4,4
jump_kick,4,4,4,4
rolling_kick,6,6,7,6
sand_attack,5,5,5,5
headbutt,5,5,6,5
horn_attack,4,4,4,4
fury_attack,5,5,5,5
horn_drill,4,4,4,4
tackle,5,5,5,5
body_slam,5,5,5,5
wrap,6,6,6,6
take_down,4,4,4,4
thrash,4,4,4,4
double_edge,5,5,5,5
tail_whip,4,4,4,4
poison_sting,5,5,5,5
twineedle,5,5,5,5
pin_missile,4,4,4,4
leer,4,4,4,4
bite,4,4,4,4
growl,5,5,5,5
roar,6,6,6,7
sing,6,6,6,6
supersonic,6,6,6,6
sonic_boom,5,5,5,5
disable,6,6,6,6
acid,5,5,5,5
ember,4,4,4,4
flamethrower,5,5,5,5
mist,5,5,5,5
water_gun,5,5,5,5
hydro_pump,6,6,6,6
surf,5,5,5,6
ice_beam,5,5,5,5
blizzard,5,5,5,5
psybeam,5,5,5,5
bubble_beam,5,5,5,5
aurora_beam,5,5,5,5
hyper_beam,4,4,4,4
peck,5,5,5,5
drill_peck,4,4,4,4
submission,5,5,5,5
low_kick,6,6,6,6
counter,5,5,5,5
seismic_toss,5,5,5,5
strength,5,5,5,6
absorb,4,4,4,4
mega_drain,4,4,4,4
leech_seed,6,6,6,6
growth,5,5,5,5
razor_leaf,5,6,6,5
solar_beam,5,5,5,5
poison_powder,6,6,6,6
stun_spore,6,6,6,6
sleep_powder,5,5,5,5
petal_dance,5,5,5,5
string_shot,4,4,4,4
dragon_rage,5,5,5,5
fire_spin,6,6,6,6
thunder_shock,5,5,5,5
thunderbolt,4,4,4,4
thunder_wave,6,6,6,6
thunder,6,6,6,6
rock_throw,5,5,5,5
earthquake,6,6,6,6
fissure,5,5,5,5
dig,5,5,5,6
toxic,6,6,6,6
confusion,4,4,4,4
psychic,5,5,5,5
hypnosis,4,4,4,4
meditate,5,5,5,5
agility,5,5,5,5
quick_attack,5,5,5,5
rage,4,4,4,4
teleport,5,5,7,6
night_shade,5,5,5,5
mimic,5,5,5,5
screech,5,5,5,5
double_team,5,5,5,5
recover,5,5,5,5
harden,3,3,3,3
minimize,4,4,4,4
smokescreen,5,5,5,5
confuse_ray,5,5,5,5
withdraw,5,5,5,5
defense_curl,3,3,3,3
barrier,4,4,4,4
light_screen,5,5,5,5
haze,5,5,5,5
reflect,5,5,5,5
focus_energy,4,4,4,4
bide,4,4,4,4
metronome,4,4,4,4
mirror_move,6,6,6,6
self_destruct,5,5,5,5
egg_bomb,5,5,5,5
lick,4,4,4,4
smog,4,4,4,4
sludge,5,5,5,5
