Move Name,BW,B2W2
pound,6,6
karate_chop,5,5
double_slap,6,6
comet_punch,6,6
mega_punch,4,4
pay_day,8,8
fire_punch,6,6
ice_punch,6,6
thunder_punch,7,7
scratch,6,6
vise_grip,5,5
guillotine,5,5
razor_wind,7,7
swords_dance,5,5
cut,7,7
gust,6,6
wing_attack,7,7
whirlwind,8,9
fly,8,8
bind,6,6
slam,6,6
vine_whip,6,6
stomp,7,7
double_kick,6,6
mega_kick,5,5
jump_kick,4,4
rolling_kick,7,7
sand_attack,6,6
headbutt,7,7
horn_attack,5,5
fury_attack,6,6
horn_drill,5,5
tackle,6,6
body_slam,6,6
wrap,7,7
take_down,5,5
thrash,4,4
double_edge,5,5
tail_whip,5,5
poison_sting,6,6
twineedle,6,6
pin_missile,5,5
leer,5,6
bite,5,5
growl,6,6
roar,8,9
sing,7,7
supersonic,6,6
sonic_boom,6,6
disable,7,7
acid,6,6
ember,5,5
flamethrower,6,6
mist,5,5
water_gun,6,6
hydro_pump,7,7
surf,7,7
ice_beam,6,6
blizzard,6,6
psybeam,6,6
bubble_beam,6,6
aurora_beam,6,6
hyper_beam,5,5
peck,6,6
drill_peck,4,4
submission,6,6
low_kick,7,7
counter,5,5
seismic_toss,6,6
strength,7,7
absorb,4,4
mega_drain,4,4
leech_seed,7,7
growth,6,6
razor_leaf,7,7
solar_beam,5,5
poison_powder,7,7
stun_spore,7,7
sleep_powder,6,6
petal_dance,6,6
string_shot,5,5
dragon_rage,6,6
fire_spin,7,7
thunder_shock,6,6
thunderbolt,5,5
thunder_wave,7,7
thunder,7,7
rock_throw,6,6
earthquake,7,7
fissure,6,6
dig,5,5
toxic,7,7
confusion,5,5
psychic,6,6
hypnosis,4,4
meditate,5,5
agility,5,5
quick_attack,6,6
rage,5,5
teleport,7,7
night_shade,6,6
mimic,6,6
screech,6,6
double_team,6,6
recover,6,6
harden,3,3
minimize,5,5
smokescreen,6,6
confuse_ray,6,6
withdraw,5,5
defense_curl,3,3
barrier,4,4
light_screen,5,5
haze,5,5
reflect,5,5
focus_energy,5,5
bide,4,4
metronome,5,5
mirror_move,7,7
self_destruct,6,6
egg_bomb,6,6
lick,5,5
smog,5,5
sludge,6,6
bone_club,6,6
fire_blast,7,7
waterfall,8,8
clamp,7,7
swift,5,5
skull_bash,7,7
spike_cannon,6,6
constrict,6,6
amnesia,4,4
kinesis,6,6
soft_boiled,8,8
high_jump_kick,6,6
glare,6,6
dream_eater,7,7
poison_gas,6,6
barrage,6,6
leech_life,6,6
lovely_kiss,7,7
sky_attack,6,6
transform,6,6
bubble,7,7
dizzy_punch,8,8
spore,6,6
flash,8,8
psywave,5,5
splash,5,5
acid_armor,4,4
crabhammer,5,5
explosion,5,5
fury_swipes,6,6
bonemerang,6,6
rest,4,4
rock_slide,5,5
hyper_fang,5,5
sharpen,4,4
conversion,7,7
tri_attack,7,7
super_fang,6,6
slash,6,6
substitute,4,4
struggle,6,6
sketch,8,8
triple_kick,5,5
thief,6,6
spider_web,6,6
mind_reader,6,6
nightmare,5,5
flame_wheel,5,5
snore,5,5
curse,5,5
flail,4,4
conversion_2,5,5
aeroblast,5,5
cotton_spore,6,6
reversal,3,3
spite,6,6
powder_snow,6,6
protect,4,4
mach_punch,4,4
scary_face,5,5
feint_attack,6,6
sweet_kiss,5,5
belly_drum,4,4
sludge_bomb,6,6
mud_slap,6,6
octazooka,5,5
spikes,6,6
zap_cannon,4,4
foresight,6,6
destiny_bond,5,5
perish_song,5,5
icy_wind,5,5
detect,4,4
bone_rush,6,6
lock_on,6,6
outrage,5,5
sandstorm,6,6
giga_drain,4,4
endure,6,6
charm,6,6
rollout,5,5
false_swipe,6,6
swagger,6,6
milk_drink,6,6
spark,6,6
fury_cutter,5,5
steel_wing,6,6
mean_look,6,6
attract,5,5
sleep_talk,6,6
heal_bell,4,4
return,4,4
present,5,5
frustration,5,5
safeguard,5,5
pain_split,6,6
sacred_fire,5,5
magnitude,5,5
dynamic_punch,5,5
megahorn,7,7
dragon_breath,6,6
baton_pass,4,4
encore,7,7
pursuit,6,6
rapid_spin,5,5
sweet_scent,6,6
iron_tail,7,7
metal_claw,5,5
vital_throw,6,6
morning_sun,4,4
synthesis,4,4
moonlight,4,4
hidden_power,5,5
cross_chop,5,5
twister,7,7
rain_dance,4,4
sunny_day,4,4
crunch,5,5
mirror_coat,6,6
psych_up,5,5
extreme_speed,5,5
ancient_power,3,3
shadow_ball,6,6
future_sight,5,5
rock_smash,8,8
whirlpool,7,7
beat_up,5,5
fake_out,3,3
uproar,3,3
stockpile,3,3
spit_up,3,3
swallow,3,3
heat_wave,4,4
hail,3,3
torment,4,4
flatter,4,4
will_o_wisp,4,4
memento,3,3
facade,3,3
focus_punch,3,3
smelling_salts,4,4
follow_me,3,3
nature_power,2,2
charge,3,3
taunt,4,4
helping_hand,3,3
trick,4,4
role_play,3,3
wish,3,3
assist,2,2
ingrain,3,3
superpower,3,3
magic_coat,3,3
recycle,5,5
revenge,4,4
brick_break,3,3
yawn,4,4
knock_off,4,4
endeavor,5,5
eruption,3,3
skill_swap,3,3
imprison,4,4
refresh,2,2
grudge,4,4
snatch,5,5
secret_power,5,5
dive,3,3
arm_thrust,3,3
camouflage,2,2
tail_glow,3,3
luster_purge,3,3
mist_ball,3,3
feather_dance,4,4
teeter_dance,4,4
blaze_kick,3,3
mud_sport,2,2
ice_ball,4,4
needle_arm,2,2
slack_off,2,2
hyper_voice,2,2
poison_fang,4,4
crush_claw,4,4
blast_burn,3,3
hydro_cannon,3,3
meteor_mash,3,3
astonish,4,4
weather_ball,2,2
aromatherapy,2,2
fake_tears,4,4
air_cutter,3,3
overheat,4,4
odor_sleuth,4,4
rock_tomb,5,5
silver_wind,3,3
metal_sound,3,3
grass_whistle,4,4
tickle,4,4
cosmic_power,2,2
water_spout,4,4
signal_beam,3,3
shadow_punch,3,3
extrasensory,3,3
sky_uppercut,3,3
sand_tomb,4,4
sheer_cold,3,3
muddy_water,3,3
bullet_seed,5,5
aerial_ace,4,4
icicle_spear,4,4
iron_defense,2,2
block,3,3
howl,2,2
dragon_claw,4,4
frenzy_plant,3,3
bulk_up,3,3
bounce,3,3
mud_shot,4,4
poison_tail,3,3
covet,4,4
volt_tackle,4,4
magical_leaf,3,3
water_sport,2,2
calm_mind,2,2
leaf_blade,2,2
dragon_dance,2,2
rock_blast,4,4
shock_wave,3,3
water_pulse,4,4
doom_desire,3,3
psycho_boost,3,3
roost,0,0
gravity,1,1
miracle_eye,2,2
wake_up_slap,1,1
hammer_arm,0,0
gyro_ball,2,2
healing_wish,0,0
brine,2,2
natural_gift,1,1
feint,1,1
pluck,1,1
tailwind,1,1
acupressure,0,0
metal_burst,1,1
u_turn,0,0
close_combat,2,2
payback,2,2
assurance,1,1
embargo,2,2
fling,1,1
psycho_shift,0,0
trump_card,1,1
heal_block,1,1
wring_out,1,1
power_trick,0,0
gastro_acid,1,1
lucky_chant,1,1
me_first,1,1
copycat,0,0
power_swap,1,1
guard_swap,1,1
punishment,1,1
last_resort,0,0
worry_seed,1,1
sucker_punch,1,1
toxic_spikes,1,1
heart_swap,1,1
aqua_ring,0,0
magnet_rise,0,0
flare_blitz,1,1
force_palm,1,1
aura_sphere,1,1
rock_polish,0,0
