Move Name,XY,ORAS
pound,7,7
karate_chop,5,5
double_slap,6,6
comet_punch,6,6
mega_punch,4,4
pay_day,8,8
fire_punch,7,7
ice_punch,7,7
thunder_punch,8,8
scratch,7,7
vise_grip,5,5
guillotine,6,6
razor_wind,7,7
swords_dance,6,6
cut,8,8
gust,6,6
wing_attack,7,7
whirlwind,10,10
fly,9,9
bind,6,6
slam,7,7
vine_whip,6,6
stomp,8,8
double_kick,6,6
mega_kick,5,5
jump_kick,4,4
rolling_kick,8,8
sand_attack,7,7
headbutt,8,8
horn_attack,5,5
fury_attack,6,6
horn_drill,6,6
tackle,6,6
body_slam,7,7
wrap,7,7
take_down,6,6
thrash,5,5
double_edge,6,6
tail_whip,5,5
poison_sting,6,6
twineedle,7,7
pin_missile,5,5
leer,7,7
bite,6,6
growl,7,7
roar,10,10
sing,7,7
supersonic,7,7
sonic_boom,6,6
disable,7,7
acid,7,7
ember,6,6
flamethrower,7,7
mist,6,6
water_gun,6,6
hydro_pump,7,7
surf,8,8
ice_beam,7,7
blizzard,7,7
psybeam,7,7
bubble_beam,7,7
aurora_beam,6,6
hyper_beam,6,6
peck,6,6
drill_peck,5,5
submission,7,7
low_kick,8,8
counter,5,5
seismic_toss,6,6
strength,8,8
absorb,4,4
mega_drain,4,4
leech_seed,7,7
growth,6,6
razor_leaf,8,8
solar_beam,6,6
poison_powder,8,8
stun_spore,8,8
sleep_powder,6,6
petal_dance,6,6
string_shot,6,6
dragon_rage,6,6
fire_spin,7,7
thunder_shock,7,7
thunderbolt,6,6
thunder_wave,8,8
thunder,8,8
rock_throw,6,6
earthquake,8,8
fissure,7,7
dig,7,7
toxic,6,6
confusion,6,6
psychic,7,7
hypnosis,4,4
meditate,5,5
agility,6,6
quick_attack,7,7
rage,5,5
teleport,7,7
night_shade,7,7
mimic,6,6
screech,7,7
double_team,5,5
recover,6,6
harden,3,3
minimize,5,5
smokescreen,7,7
confuse_ray,6,6
withdraw,5,5
defense_curl,3,3
barrier,4,4
light_screen,6,6
haze,5,5
reflect,6,6
focus_energy,5,5
bide,4,4
metronome,5,5
mirror_move,7,7
self_destruct,6,6
egg_bomb,6,6
lick,6,6
smog,6,6
sludge,7,7
bone_club,7,7
fire_blast,8,8
waterfall,9,9
clamp,7,7
swift,6,6
skull_bash,7,7
spike_cannon,6,6
constrict,7,7
amnesia,5,5
kinesis,7,7
soft_boiled,9,9
high_jump_kick,6,6
glare,6,6
dream_eater,8,8
poison_gas,7,7
barrage,6,6
leech_life,6,6
lovely_kiss,7,7
sky_attack,7,7
transform,6,6
bubble,8,8
dizzy_punch,9,9
spore,6,6
flash,9,10
psywave,5,5
splash,5,5
acid_armor,4,4
crabhammer,5,5
explosion,6,6
fury_swipes,7,7
bonemerang,6,6
