Move Name,SwSh
pound,7
karate_chop,6
double_slap,7
comet_punch,7
mega_punch,4
pay_day,8
fire_punch,7
ice_punch,7
thunder_punch,8
scratch,7
vise_grip,5
guillotine,6
razor_wind,9
swords_dance,6
cut,9
gust,6
wing_attack,7
whirlwind,10
fly,11
bind,6
slam,7
vine_whip,6
stomp,8
double_kick,6
mega_kick,5
jump_kick,5
rolling_kick,9
sand_attack,7
headbutt,8
horn_attack,5
fury_attack,6
horn_drill,6
tackle,6
body_slam,7
wrap,8
take_down,6
thrash,5
double_edge,7
tail_whip,6
poison_sting,6
twineedle,8
pin_missile,5
leer,7
bite,6
growl,9
roar,11
sing,7
supersonic,7
sonic_boom,7
disable,7
acid,9
ember,6
flamethrower,7
mist,6
water_gun,6
hydro_pump,7
surf,9
ice_beam,7
blizzard,7
psybeam,7
bubble_beam,8
aurora_beam,6
hyper_beam,6
peck,6
drill_peck,6
submission,7
low_kick,8
counter,5
seismic_toss,6
strength,9
absorb,4
mega_drain,4
leech_seed,7
growth,6
razor_leaf,9
solar_beam,7
poison_powder,9
stun_spore,8
sleep_powder,6
petal_dance,6
string_shot,7
dragon_rage,7
fire_spin,7
thunder_shock,7
thunderbolt,6
thunder_wave,8
thunder,8
rock_throw,6
earthquake,8
fissure,7
dig,9
toxic,6
confusion,6
psychic,7
hypnosis,4
meditate,6
agility,6
quick_attack,7
rage,6
teleport,10
night_shade,7
mimic,6
screech,7
double_team,5
recover,6
harden,3
minimize,5
smokescreen,7
confuse_ray,6
withdraw,5
defense_curl,3
barrier,5
light_screen,6
haze,5
reflect,6
focus_energy,5
bide,5
metronome,5
mirror_move,8
self_destruct,6
egg_bomb,7
lick,6
smog,6
sludge,7
bone_club,8
fire_blast,8
waterfall,10
clamp,8
swift,7
skull_bash,8
spike_cannon,7
constrict,9
amnesia,5
kinesis,8
soft_boiled,10
high_jump_kick,6
glare,6
dream_eater,9
poison_gas,9
barrage,7
leech_life,6
lovely_kiss,7
sky_attack,7
transform,6
bubble,10
dizzy_punch,10
spore,6
flash,12
psywave,6
splash,5
acid_armor,4
crabhammer,5
explosion,6
fury_swipes,7
bonemerang,7
rest,5
rock_slide,7
hyper_fang,6
sharpen,7
conversion,8
tri_attack,9
super_fang,7
slash,6
substitute,5
struggle,8
sketch,8
triple_kick,6
thief,7
spider_web,7
mind_reader,6
nightmare,6
flame_wheel,6
snore,7
curse,5
flail,5
conversion_2,6
aeroblast,5
cotton_spore,9
reversal,3
spite,6
powder_snow,8
protect,6
mach_punch,5
scary_face,6
feint_attack,8
sweet_kiss,5
belly_drum,4
sludge_bomb,6
mud_slap,6
octazooka,6
spikes,6
zap_cannon,4
foresight,8
destiny_bond,6
perish_song,5
icy_wind,7
detect,6
bone_rush,6
lock_on,7
outrage,6
sandstorm,7
giga_drain,4
endure,5
charm,8
rollout,6
false_swipe,6
swagger,7
milk_drink,8
spark,7
fury_cutter,6
steel_wing,7
mean_look,6
attract,5
sleep_talk,6
heal_bell,5
return,6
present,5
frustration,7
safeguard,5
pain_split,6
sacred_fire,6
magnitude,7
dynamic_punch,6
megahorn,7
dragon_breath,7
baton_pass,5
encore,8
pursuit,8
rapid_spin,6
sweet_scent,8
iron_tail,7
metal_claw,6
vital_throw,7
morning_sun,4
synthesis,4
moonlight,4
hidden_power,6
cross_chop,5
twister,9
rain_dance,5
sunny_day,5
crunch,6
mirror_coat,6
psych_up,5
extreme_speed,6
ancient_power,4
shadow_ball,7
future_sight,5
rock_smash,10
whirlpool,8
beat_up,5
fake_out,5
uproar,5
stockpile,4
spit_up,4
swallow,3
heat_wave,6
hail,3
torment,4
flatter,5
will_o_wisp,5
memento,4
facade,4
focus_punch,3
smelling_salts,7
follow_me,3
nature_power,3
charge,4
taunt,4
helping_hand,4
trick,4
role_play,4
wish,5
assist,4
ingrain,4
superpower,4
magic_coat,4
recycle,4
revenge,5
brick_break,4
yawn,4
knock_off,5
endeavor,6
eruption,4
skill_swap,3
imprison,5
refresh,4
grudge,4
snatch,7
secret_power,8
