Item Name,Pokemon Name
abomasite,abomasnow
absolite,absol
aerodactylite,aerodactyl
aggronite,aggron
alakazite,alakazam
altarianite,altaria
ampharosite,ampharos
audinite,audino
banettite,banette
beedrillite,beedrill
blastoisinite,blastoise
blazikenite,blaziken
cameruptite,camerupt
charizardite_x,charizard
charizardite_y,charizard
diancite,diancie
galladite,gallade
garchompite,garchomp
gardevoirite,gardevoir
gengarite,gengar
glalitite,glalie
gyaradosite,gyarados
heracronite,heracross
houndoominite,houndoom
kangaskhanite,kangaskhan
latiasite,latias
latiosite,latios
lopunnite,lopunny
lucarionite,lucario
manectite,manectric
mawilite,mawile
medichamite,medicham
metagrossite,metagross
mewtwonite_x,mewtwo
mewtwonite_y,mewtwo
pidgeotite,pidgeot
pinsirite,pinsir
sablenite,sableye
salamencite,salamence
sceptilite,sceptile
scizorite,scizor
sharpedonite,sharpedo
slowbronite,slowbro
steelixite,steelix
swampertite,swampert
tyranitarite,tyranitar
venusaurite,venusaur
