Item Type,Item Name,Elemental Type
memory,bug_memory,bug
memory,dark_memory,dark
memory,dragon_memory,dragon
memory,electric_memory,electric
memory,fairy_memory,fairy
memory,fighting_memory,fighting
memory,fire_memory,fire
memory,flying_memory,flying
memory,ghost_memory,ghost
memory,grass_memory,grass
memory,ground_memory,ground
memory,ice_memory,ice
memory,poison_memory,poison
memory,psychic_memory,psychic
memory,rock_memory,rock
memory,steel_memory,steel
memory,water_memory,water
plate,draco_plate,iv
plate,dread_plate,iv
plate,earth_plate,iv
plate,fist_plate,iv
plate,flame_plate,iv
plate,icicle_plate,iv
plate,insect_plate,iv
plate,iron_plate,iv
plate,meadow_plate,iv
plate,mind_plate,iv
plate,pixie_plate,vi
plate,sky_plate,iv
plate,splash_plate,iv
plate,spooky_plate,iv
plate,stone_plate,iv
plate,toxic_plate,iv
plate,zap_plate,iv
drive,shock_drive,electric
drive,burn_drive,fire
drive,chill_drive,ice
drive,douse_drive,water
gem,fire_gem,fire
gem,water_gem,water
gem,electric_gem,electric
gem,grass_gem,grass
gem,ice_gem,ice
gem,fighting_gem,fighting
gem,poison_gem,poison
gem,ground_gem,ground
gem,flying_gem,flying
gem,psychic_gem,psychic
gem,bug_gem,bug
gem,rock_gem,rock
gem,ghost_gem,ghost
gem,dragon_gem,dragon
gem,dark_gem,dark
gem,steel_gem,steel
gem,normal_gem,normal
gem,fairy_gem,fairy
