Item Name,Pokemon Name,Base Move,Z-Move
aloraichium_z,alolan_raichu,thunderbolt,stoked_sparksurfer
decidium_z,decidueye,spirit_shackle,sinister_arrow_raid
eevium_z,eevee,last_resort,extreme_evoboost
incinium_z,incineroar,darkest_lariat,malicious_moonsault
kommonium_z,kommo_o,clanging_scales,clangorous_soulblaze
lunalium_z,lunala,moongeist_beam,menacing_moonraze_maelstrom
lunalium_z,necrozma_dawn_wings,moongeist_beam,menacing_moonraze_maelstrom
lycanium_z,lycanroc,stone_edge,splintered_stormshards
marshadium_z,marshadow,spectral_thief,soul_stealing_7_star_strike
mewnium_z,mew,psychic,genesis_supernova
mimikium_z,mimikyu,play_rough,lets_snuggle_forever
pikanium_z,pikachu_normal_form,volt_tackle,catastropika
pikashunium_z,pikachu_in_a_cap,thunderbolt,10000000_volt_thunderbolt
primarium_z,primarina,sparkling_aria,oceanic_operetta
snorlium_z,snorlax,giga_impact,pulverizing_pancake
solganium_z,solgaleo,sunsteel_strike,searing_sunraze_smash
solganium_z,necrozma_dusk_mane,sunsteel_strike,searing_sunraze_smash
tapunium_z,tapu_koko_tapu_lele_tapu_bulu,natures_madness,guardian_of_alola
tapunium_z,tapu_fini,natures_madness,guardian_of_alola
ultranecrozium_z,necrozma_ultra,photon_geyser,light_that_burns_the_sky
