Status Name,Move Name,Header of Note,Description
burn,fire_blast,Probability,30% in Generation I
burn,tri_attack,Notes,Generation II onwards only
freeze,blizzard,Probability,"30% in Japanese Generation I handheld games, except in Pokémon Yellow's Colosseum 2"
freeze,tri_attack,Notes,Generation II onwards only
paralysis,thunder,Probability,10% in Generation I
paralysis,tri_attack,Notes,Generation II onwards only
poison,poison_sting,Probability,20% in Generation I
poison,sludge,Probability,40% in Generation I
confusion,chatter,Probability,Varies in Generation IV-V
charging_turn,razor_wind,Notes,Generation II onwards only
charging_turn,skull_bash,Notes,Generation II onwards only
charging_turn,sky_attack,Notes,Generation III onwards only
charging_turn,sky_attack,Notes,Generation III onwards only
charging_turn,solar_beam,Notes,Generation II onwards only
protection,detect,Priority,+3 in Generations II-IV
protection,kings_shield,Notes,2 stages in Generations VI-VII
protection,protect,Priority,+3 prior to Generation V
