Move Name,Targets
g_max_befuddle,adjacent_foe
g_max_cannonade,adjacent_foe
g_max_centiferno,adjacent_foe
g_max_chi_strike,adjacent_foe
g_max_cuddle,adjacent_foe
g_max_depletion,adjacent_foe
g_max_drum_solo,adjacent_foe
g_max_finale,adjacent_foe
g_max_fireball,adjacent_foe
g_max_foam_burst,adjacent_foe
g_max_gold_rush,adjacent_foe
g_max_gravitas,adjacent_foe
g_max_hydrosnipe,adjacent_foe
g_max_malodor,adjacent_foe
g_max_meltdown,adjacent_foe
g_max_one_blow,adjacent_foe
g_max_rapid_flow,adjacent_foe
g_max_replenish,adjacent_foe
g_max_resonance,adjacent_foe
g_max_sandblast,adjacent_foe
g_max_smite,adjacent_foe
g_max_steelsurge,adjacent_foe
g_max_stonesurge,adjacent_foe
g_max_stun_shock,adjacent_foe
g_max_sweetness,adjacent_foe
g_max_tartness,adjacent_foe
g_max_terror,adjacent_foe
g_max_vine_lash,adjacent_foe
g_max_volcalith,adjacent_foe
g_max_volt_crash,adjacent_foe
g_max_wildfire,adjacent_foe
g_max_wind_rage,adjacent_foe
max_airstream,adjacent_foe
max_darkness,adjacent_foe
max_flare,adjacent_foe
max_flutterby,adjacent_foe
max_geyser,adjacent_foe
max_hailstorm,adjacent_foe
max_knuckle,adjacent_foe
max_lightning,adjacent_foe
max_mindstorm,adjacent_foe
max_ooze,adjacent_foe
max_overgrowth,adjacent_foe
max_phantasm,adjacent_foe
max_quake,adjacent_foe
max_rockfall,adjacent_foe
max_starfall,adjacent_foe
max_steelspike,adjacent_foe
max_strike,adjacent_foe
max_wyrmwind,adjacent_foe
me_first,adjacent_foe
acrobatics,any
aerial_ace,any
aeroblast,any
air_slash,any
aura_sphere,any
bounce,any
brave_bird,any
chatter,any
dark_pulse,any
dragon_pulse,any
drill_peck,any
fly,any
flying_press,any
gust,any
heal_pulse,any
hurricane,any
oblivion_wing,any
peck,any
pluck,any
sky_attack,any
sky_drop,any
water_pulse,any
wing_attack,any
acupressure,user_or_adjacent_ally
acid,all_adjacent_foes
air_cutter,all_adjacent_foes
astral_barrage,all_adjacent_foes
blizzard,all_adjacent_foes
bouncy_bubble,all_adjacent_foes
breaking_swipe,all_adjacent_foes
bubble,all_adjacent_foes
burning_jealousy,all_adjacent_foes
captivate,all_adjacent_foes
clanging_scales,all_adjacent_foes
clangorous_soulblaze,all_adjacent_foes
core_enforcer,all_adjacent_foes
cotton_spore,all_adjacent_foes
dark_void,all_adjacent_foes
dazzling_gleam,all_adjacent_foes
diamond_storm,all_adjacent_foes
disarming_voice,all_adjacent_foes
dragon_energy,all_adjacent_foes
electroweb,all_adjacent_foes
eruption,all_adjacent_foes
fiery_wrath,all_adjacent_foes
g_max_snooze,all_adjacent_foes
glacial_lance,all_adjacent_foes
glaciate,all_adjacent_foes
growl,all_adjacent_foes
heal_block,all_adjacent_foes
heat_wave,all_adjacent_foes
hyper_voice,all_adjacent_foes
icy_wind,all_adjacent_foes
incinerate,all_adjacent_foes
lands_wrath,all_adjacent_foes
leer,all_adjacent_foes
