Pokemon Name,Header,Description
pidgey,ability_2,Generation IV onwards
pidgeotto,ability_2,Generation IV onwards
pidgeot,ability_2,Generation IV onwards
nidoran_female,ability_2,Generation IV onwards
nidorina,ability_2,Generation IV onwards
nidoqueen,ability_2,Generation IV onwards
nidoran_male,ability_2,Generation IV onwards
nidorino,ability_2,Generation IV onwards
nidoking,ability_2,Generation IV onwards
cleffa,ability_2,Generation IV onwards
clefairy,ability_2,Generation IV onwards
clefable,ability_2,Generation IV onwards
igglybuff,ability_2,Generation VI onwards
jigglypuff,ability_2,Generation VI onwards
wigglytuff,ability_2,Generation VI onwards
paras,ability_2,Generation IV onwards
parasect,ability_2,Generation IV onwards
venonat,ability_2,Generation IV onwards
venomoth,ability_2,Generation IV onwards
meowth,ability_2,Generation IV onwards
persian,ability_2,Generation IV onwards
mankey,ability_2,Generation IV onwards
primeape,ability_2,Generation IV onwards
machop,ability_2,Generation IV onwards
machoke,ability_2,Generation IV onwards
machamp,ability_2,Generation IV onwards
seel,ability_2,Generation IV onwards
dewgong,ability_2,Generation IV onwards
shellder,ability_2,Generation IV onwards
cloyster,ability_2,Generation IV onwards
gengar,pokemon_name,Ability is Levitate in Generations III-VI
drowzee,ability_2,Generation IV onwards
hypno,ability_2,Generation IV onwards
tyrogue,ability_2,Generation IV onwards
hitmonlee,ability_2,Generation IV onwards
hitmonchan,ability_2,Generation IV onwards
hitmontop,ability_2,Generation IV onwards
koffing,ability_2,Generation VIII onwards
koffing,hidden,Generation VIII onwards
weezing,ability_2,Generation VIII onwards
weezing,hidden,Generation VIII onwards
tangela,ability_2,Generation IV onwards
kangaskhan,ability_2,Generation IV onwards
horsea,ability_2,Generation IV onwards
seadra,ability_2,Generation IV onwards
kingdra,ability_2,Generation IV onwards
mr_mime,ability_2,Generation IV onwards
scyther,ability_2,Generation IV onwards
scizor,ability_2,Generation IV onwards
smoochum,ability_2,Generation IV onwards
jynx,ability_2,Generation IV onwards
pinsir,ability_2,Generation IV onwards
tauros,ability_2,Generation IV onwards
eevee,ability_2,Generation IV onwards
porygon,ability_2,Generation IV onwards
porygon2,ability_2,Generation IV onwards
zapdos,pokemon_name,Hidden Ability is Lightningrod in Generation V
zapdos,hidden,Generation VI onwards
hoppip,ability_2,Generation IV onwards
skiploom,ability_2,Generation IV onwards
jumpluff,ability_2,Generation IV onwards
sunkern,ability_2,Generation IV onwards
sunflora,ability_2,Generation IV onwards
murkrow,ability_2,Generation IV onwards
granbull,ability_2,Generation IV onwards
shuckle,ability_2,Generation IV onwards
teddiursa,ability_2,Generation IV onwards
ursaring,ability_2,Generation IV onwards
swinub,ability_2,Generation IV onwards
piloswine,ability_2,Generation IV onwards
remoraid,ability_2,Generation IV onwards
octillery,ability_2,Generation IV onwards
stantler,ability_2,Generation IV onwards
smeargle,ability_2,Generation IV onwards
miltank,ability_2,Generation IV onwards
raikou,pokemon_name,Hidden Ability is Volt Absorb in Generations V-VI
entei,pokemon_name,Hidden Ability is Flash Fire in Generations V-VI
suicune,pokemon_name,Hidden Ability is Water Absorb in Generations V-VI
poochyena,ability_2,Generation IV onwards
mightyena,ability_2,Generation IV onwards
zigzagoon,ability_2,Generation IV onwards
linoone,ability_2,Generation IV onwards
wingull,ability_2,Generation VII onwards
pelipper,ability_2,Generation VII onwards
shroomish,ability_2,Generation IV onwards
breloom,ability_2,Generation IV onwards
skitty,ability_2,Generation IV onwards
delcatty,ability_2,Generation IV onwards
sableye,ability_2,Generation IV onwards
plusle,hidden,Generation VI onwards
minun,hidden,Generation VI onwards
illumise,ability_2,Generation IV onwards
numel,ability_2,Generation IV onwards
camerupt,ability_2,Generation IV onwards
torkoal,ability_2,Generation VII onwards
spinda,ability_2,Generation IV onwards
barboach,ability_2,Generation IV onwards
whiscash,ability_2,Generation IV onwards
feebas,ability_2,Generation VI onwards
milotic,ability_2,Generation VI onwards
kecleon,hidden,Generation VI onwards
shuppet,ability_2,Generation IV onwards
banette,ability_2,Generation IV onwards
duskull,hidden,Generation VI onwards
dusclops,hidden,Generation VI onwards
dusknoir,hidden,Generation VI onwards
tropius,ability_2,Generation IV onwards
absol,ability_2,Generation IV onwards
snorunt,ability_2,Generation IV onwards
glalie,ability_2,Generation IV onwards
spheal,ability_2,Generation IV onwards
sealeo,ability_2,Generation IV onwards
walrein,ability_2,Generation IV onwards
starly,hidden,Generation VI onwards
roggenrola,ability_2,Generation VII onwards
boldore,ability_2,Generation VII onwards
gigalith,ability_2,Generation VII onwards
venipede,pokemon_name,Hidden Ability is Quick Feet in Generation V
venipede,hidden,Generation VI onwards
whirlipede,pokemon_name,Hidden Ability is Quick Feet in Generation V
whirlipede,hidden,Generation VI onwards
scolipede,pokemon_name,Hidden Ability is Quick Feet in Generation V
scolipede,hidden,Generation VI onwards
