Pokemon Name,Old Type 1,Old Type 2,Gen
azumarill,water,,6
azurill,normal,,6
clefable,normal,,6
clefairy,normal,,6
cleffa,normal,,6
cottonee,grass,,6
gardevoir,psychic,,6
granbull,normal,,6
igglybuff,normal,,6
jigglypuff,normal,,6
kirlia,psychic,,6
magnemite,electric,,2
magneton,electric,,2
marill,water,,6
mawile,steel,,6
mime_jr,psychic,,6
mr_mime,psychic,,6
ralts,psychic,,6
rotom_fan,electric,ghost,5
rotom_heat,electric,ghost,5
rotom_mow,electric,ghost,5
rotom_frost,electric,ghost,5
rotom_wash,electric,ghost,5
snubbull,normal,,6
togekiss,normal,flying,6
togepi,normal,,6
togetic,normal,flying,6
whimsicott,grass,,6
wigglytuff,normal,,6
