Item Name,Z-Move,Type
buginium_z,savage_spin_out,bug
darkinium_z,black_hole_eclipse,dark
dragonium_z,devastating_drake,dragon
electrium_z,gigavolt_havoc,electric
fairium_z,twinkle_tackle,fairy
fightinium_z,all_out_pummeling,fighting
firium_z,inferno_overdrive,fire
flyinium_z,supersonic_skystrike,flying
ghostium_z,never_ending_nightmare,ghost
grassium_z,bloom_doom,grass
groundium_z,tectonic_rage,ground
icium_z,subzero_slammer,ice
normalium_z,breakneck_blitz,normal
poisonium_z,acid_downpour,poison
psychium_z,shattered_psyche,psychic
rockium_z,continental_crush,rock
steelium_z,corkscrew_crash,steel
waterium_z,hydro_vortex,water
