Move Name,1,2,3,4
absorb,F,T,F,F
aerial_ace,F,F,T,T
aeroblast,F,T,T,T
air_cutter,F,F,T,T
air_slash,F,F,F,T
aqua_jet,F,F,F,T
aqua_tail,F,F,F,T
arm_thrust,F,F,T,T
assurance,F,F,F,T
attack_order,F,F,F,T
aura_sphere,F,F,F,T
avalanche,F,F,F,T
barrage,F,T,T,T
beat_up,F,T,T,T
bide,F,T,T,T
bind,F,F,T,T
blast_burn,F,F,T,T
bone_rush,F,T,T,T
bonemerang,F,T,T,T
bounce,F,F,T,T
brave_bird,F,F,F,T
brick_break,F,F,T,T
brine,F,F,F,T
bug_bite,F,F,F,T
bullet_punch,F,F,F,T
bullet_seed,F,F,T,T
charge_beam,F,F,F,T
clamp,F,F,T,T
close_combat,F,F,F,T
comet_punch,F,T,T,T
counter,F,T,F,F
crabhammer,F,T,T,T
cross_chop,F,T,T,T
cross_poison,F,F,F,T
crush_grip,F,F,F,T
cut,F,T,T,T
dark_pulse,F,F,F,T
dig,F,T,T,T
discharge,F,F,F,T
dive,F,F,T,T
double_hit,F,F,F,T
double_kick,F,T,T,T
double_slap,F,T,T,T
double_edge,F,T,T,T
draco_meteor,F,F,F,T
dragon_breath,F,F,T,T
dragon_claw,F,F,T,T
dragon_pulse,F,F,F,T
dragon_rage,F,F,T,F
dragon_rush,F,F,F,T
drain_punch,F,F,F,T
drill_peck,F,T,T,T
earth_power,F,F,F,T
earthquake,F,F,T,T
egg_bomb,F,T,T,T
endeavor,F,F,T,T
eruption,F,F,T,T
explosion,F,T,T,T
extreme_speed,F,T,T,T
false_swipe,F,T,T,T
feint_attack,F,T,T,T
fire_fang,F,F,F,T
fire_spin,F,F,T,T
flail,F,T,T,T
flash_cannon,F,F,F,T
fly,F,T,T,T
force_palm,F,F,F,T
frenzy_plant,F,F,T,T
frustration,F,T,T,T
fury_attack,F,T,T,T
fury_cutter,F,T,T,T
fury_swipes,F,T,T,T
giga_drain,F,T,F,F
giga_impact,F,F,F,T
grass_knot,F,F,F,T
gunk_shot,F,F,F,T
gust,F,F,T,F
gyro_ball,F,F,F,T
hammer_arm,F,F,F,T
head_smash,F,F,F,T
hidden_power,F,T,T,T
high_jump_kick,F,T,T,T
horn_attack,F,T,T,T
hydro_cannon,F,F,T,T
hydro_pump,F,T,T,T
hyper_beam,F,F,T,T
ice_ball,F,F,T,T
ice_fang,F,F,F,T
ice_shard,F,F,F,T
icicle_spear,F,F,T,T
iron_head,F,F,F,T
judgment,F,F,F,T
jump_kick,F,T,T,T
karate_chop,F,T,T,T
last_resort,F,F,F,T
lava_plume,F,F,F,T
leaf_blade,F,F,T,T
leaf_storm,F,F,F,T
leech_life,F,T,F,F
low_kick,F,F,T,T
mach_punch,F,T,T,T
