Move Name,Max Power
absorb,90
accelerock,90
acid,70
acid_spray,70
acrobatics,110
aerial_ace,110
aeroblast,130
air_cutter,110
air_slash,130
anchor_shot,130
ancient_power,110
apple_acid,130
aqua_jet,90
aqua_tail,130
arm_thrust,70
assurance,110
astonish,90
attack_order,130
aura_sphere,90
aura_wheel,140
aurora_beam,120
avalanche,110
beak_blast,130
beat_up,100
behemoth_bash,130
behemoth_blade,130
belch,95
bind,90
bite,110
blast_burn,150
blaze_kick,130
blizzard,140
blue_flare,140
body_press,90
body_slam,130
bolt_beak,130
bolt_strike,140
bone_rush,130
bonemerang,130
boomburst,140
bounce,130
branch_poke,90
brave_bird,140
breaking_swipe,110
brick_break,90
brine,120
brutal_swing,110
bubble_beam,120
bug_bite,110
bug_buzz,130
bulldoze,110
bullet_punch,90
bullet_seed,130
burn_up,140
charge_beam,100
chatter,120
circle_throw,80
clanging_scales,140
clear_smog,75
close_combat,95
confusion,100
core_enforcer,130
counter,75
covet,110
crabhammer,130
cross_chop,90
cross_poison,85
crunch,130
crush_claw,130
crush_grip,140
cut,100
dark_pulse,130
darkest_lariat,130
dazzling_gleam,130
diamond_storm,130
dig,130
disarming_voice,90
discharge,130
dive,130
doom_desire,140
double_hit,120
double_iron_bash,140
double_kick,80
double_edge,140
draco_meteor,140
dragon_ascent,140
dragon_breath,110
dragon_claw,130
dragon_darts,130
dragon_hammer,130
dragon_pulse,130
dragon_rush,130
dragon_tail,110
drain_punch,90
draining_kiss,100
dream_eater,130
drill_peck,130
drill_run,130
drum_beating,130
dual_chop,130
dynamax_cannon,140
dynamic_punch,90
earth_power,130
earthquake,130
echoed_voice,90
electro_ball,130
electroweb,110
ember,90
endeavor,130
energy_ball,130
eruption,150
eternabeam,150
explosion,150
extrasensory,130
extreme_speed,130
facade,120
fairy_wind,90
fake_out,90
false_surrender,130
false_swipe,90
feint,90
fell_stinger,100
fiery_dance,130
final_gambit,100
fire_blast,140
fire_fang,120
fire_lash,130
fire_pledge,130
fire_punch,130
fire_spin,90
first_impression,130
fishious_rend,130
fissure,130
flail,130
flame_charge,100
flame_wheel,110
flamethrower,130
flare_blitz,140
flash_cannon,130
fleur_cannon,140
fling,100
fly,130
flying_press,90
focus_blast,95
focus_punch,100
force_palm,80
foul_play,130
freeze_shock,140
freeze_dry,120
frenzy_plant,150
frost_breath,110
fury_attack,90
fury_cutter,90
fury_swipes,100
fusion_bolt,130
fusion_flare,130
future_sight,140
gear_grind,130
giga_drain,130
giga_impact,150
glaciate,120
grass_knot,130
grass_pledge,130
grav_apple,130
guillotine,130
gunk_shot,95
gust,90
gyro_ball,130
hammer_arm,90
head_charge,140
head_smash,150
headbutt,120
heat_crash,130
heat_wave,130
heavy_slam,130
hex,120
high_horsepower,130
high_jump_kick,95
hold_back,90
horn_attack,120
horn_drill,130
horn_leech,130
hurricane,140
hydro_cannon,150
hydro_pump,140
hyper_beam,150
hyper_fang,130
hyper_voice,130
hyperspace_fury,130
hyperspace_hole,130
ice_beam,130
ice_burn,140
ice_fang,120
ice_hammer,130
ice_punch,130
ice_shard,90
icicle_crash,130
icicle_spear,130
icy_wind,110
incinerate,110
inferno,130
infestation,90
iron_head,130
iron_tail,130
jaw_lock,130
judgment,130
knock_off,120
lands_wrath,130
last_resort,140
lava_plume,130
leaf_blade,130
leaf_storm,140
leaf_tornado,120
leafage,90
leech_life,130
lick,90
light_of_ruin,140
liquidation,130
low_kick,100
low_sweep,85
lunge,130
luster_purge,120
mach_punch,70
magical_leaf,110
magma_storm,130
mega_drain,90
mega_kick,140
mega_punch,130
megahorn,140
metal_burst,100
metal_claw,100
meteor_assault,100
meteor_mash,130
mind_blown,150
mirror_coat,100
mist_ball,120
moonblast,130
moongeist_beam,130
mud_shot,110
mud_slap,90
muddy_water,130
multi_attack,95
mystical_fire,130
natures_madness,100
night_daze,130
night_shade,100
night_slash,120
nuzzle,90
oblivion_wing,130
octazooka,120
origin_pulse,140
outrage,140
overdrive,130
overheat,140
parabolic_charge,120
pay_day,90
payback,100
peck,90
petal_blizzard,130
petal_dance,140
phantom_force,130
photon_geyser,130
pin_missile,130
plasma_fists,130
play_rough,130
pluck,110
poison_fang,75
poison_jab,90
poison_sting,70
poison_tail,75
pollen_puff,130
pound,90
powder_snow,90
power_gem,130
power_trip,130
power_whip,140
power_up_punch,70
precipice_blades,140
present,100
prismatic_laser,150
psybeam,120
psychic,130
psychic_fangs,130
psycho_boost,140
psycho_cut,120
psyshock,130
psystrike,130
pyro_ball,140
quick_attack,90
rapid_spin,100
razor_leaf,110
razor_shell,130
relic_song,130
retaliate,120
revelation_dance,130
revenge,80
reversal,100
roar_of_time,150
rock_blast,130
rock_slide,130
rock_smash,70
rock_throw,100
rock_tomb,110
rock_wrecker,150
rollout,90
round,110
sacred_fire,130
sacred_sword,90
sand_tomb,90
scald,130
scratch,90
searing_shot,130
secret_sword,90
seed_bomb,130
seed_flare,140
seismic_toss,75
self_destruct,150
shadow_ball,130
shadow_bone,130
shadow_claw,120
shadow_force,140
shadow_punch,110
shadow_sneak,90
sheer_cold,130
shell_trap,150
shock_wave,110
skull_bash,140
sky_attack,140
slam,130
slash,120
sludge,85
sludge_bomb,90
sludge_wave,90
smack_down,100
smart_strike,120
smog,70
snap_trap,90
snarl,110
snipe_shot,130
snore,100
solar_beam,140
solar_blade,140
spacial_rend,130
spark,120
sparkling_aria,130
spectral_thief,130
spirit_break,130
spirit_shackle,130
spit_up,100
steam_eruption,140
steel_beam,140
steel_wing,120
stomp,120
stomping_tantrum,130
stone_edge,130
stored_power,130
storm_throw,80
strange_steam,130
strength,130
struggle,1
struggle_bug,100
submission,90
sucker_punch,120
sunsteel_strike,130
super_fang,100
superpower,95
surf,130
swift,110
tackle,90
tail_slap,130
take_down,130
techno_blast,140
thief,110
thousand_arrows,130
thousand_waves,130
thrash,140
throat_chop,130
thunder,140
thunder_fang,120
thunder_punch,130
thunder_shock,90
thunderbolt,130
tri_attack,130
triple_kick,80
trop_kick,120
twister,90
u_turn,120
uproar,130
v_create,150
vacuum_wave,70
venoshock,85
vine_whip,100
vise_grip,110
vital_throw,85
volt_switch,120
volt_tackle,140
water_gun,90
water_pledge,130
water_pulse,110
water_shuriken,90
water_spout,150
waterfall,130
weather_ball,130
whirlpool,90
wild_charge,130
wing_attack,110
wood_hammer,140
wrap,90
x_scissor,130
zap_cannon,140
zen_headbutt,130
zing_zap,130
