Status Caused,Move Name,Type,Category,Probability,Power,Accuracy,Notes
burn,beak_blast,flying,physical,100.0,,,If a Pokémon uses a contact move on the user before executing Beak Blast
burn,blaze_kick,fire,physical,10.0,85,90%,
burn,blue_flare,fire,special,20.0,130,85%,
burn,burning_jealousy,fire,special,100.0,70,100%,If a Pokémon has increased its stats during that turn
burn,ember,fire,special,10.0,40,100%,
burn,fire_blast,fire,special,10.0,110,85%,Had a 30% chance of burning in Generation I
burn,fire_fang,fire,physical,10.0,65,95%,May also cause flinching (10% chance)
burn,fire_punch,fire,physical,10.0,75,100%,
burn,flame_wheel,fire,physical,10.0,60,100%,
burn,flamethrower,fire,special,10.0,90,100%,
burn,flare_blitz,fire,physical,10.0,120,100%,
burn,fling,dark,physical,100.0,30,100%,If Flame Orb is held by user
burn,heat_wave,fire,special,10.0,95,90%,
burn,ice_burn,ice,special,30.0,140,90%,
burn,inferno,fire,special,100.0,100,50%,
burn,lava_plume,fire,special,30.0,80,100%,
burn,psycho_shift,psychic,status,100.0,,100%,If the user is burned
burn,pyro_ball,fire,physical,10.0,120,90%,
burn,sacred_fire,fire,physical,50.0,100,95%,
burn,scald,water,special,30.0,80,100%,
burn,scorching_sands,ground,special,30.0,70,100%,
burn,searing_shot,fire,special,30.0,100,100%,
burn,secret_power,normal,physical,30.0,70,100%,May cause burn only when used on a volcano (Generations VI and VII)
burn,sizzly_slide,fire,physical,100.0,90,100%,
burn,steam_eruption,water,special,30.0,110,95%,
burn,tri_attack,normal,special,6.67,80,100%,May also freeze or paralyze (6.67% chance of each)
burn,will_o_wisp,fire,status,100.0,,85%,
freeze,blizzard,ice,special,10.0,110,70%,"When used during hail, bypasses accuracy checks to always hit, unless the target is in the semi-invulnerable turn of a move such as Dig or Fly."
freeze,freeze_dry,ice,special,10.0,70,100%,Inflicts super-effective damage against Water types
freeze,freezing_glare,psychic,special,10.0,90,100%,
freeze,ice_beam,ice,special,10.0,90,100%,
freeze,ice_fang,ice,physical,10.0,65,95%,May also cause flinching (10% chance)
freeze,ice_punch,ice,physical,10.0,75,100%,
freeze,powder_snow,ice,special,10.0,40,100%,
freeze,secret_power,normal,physical,30.0,70,100%,May cause freezing only when used in snow or ice
freeze,tri_attack,normal,special,6.67,80,100%,May also cause burn or paralysis (6.67% chance of each)
paralysis,body_slam,normal,physical,30.0,85,100%,
paralysis,bolt_strike,electric,physical,20.0,130,85%,
paralysis,bounce,flying,physical,30.0,85,85%,
paralysis,buzzy_buzz,electric,special,100.0,90,100%,
paralysis,discharge,electric,special,30.0,80,100%,
paralysis,dragon_breath,dragon,special,30.0,60,100%,
paralysis,fling,dark,physical,100.0,30,100%,If Light Ball is held by user
paralysis,force_palm,fighting,physical,30.0,60,100%,
paralysis,freeze_shock,ice,physical,30.0,140,90%,
paralysis,g_max_befuddle,bug,varies,33.3,,%,Exclusive G-Max Move of Gigantamax ButterfreeMay also poison or sleep (33.3% chance of each)
paralysis,g_max_stun_shock,electric,varies,50.0,,%,Exclusive G-Max Move of Gigantamax ToxtricityMay also poison (50% chance of each)
paralysis,g_max_volt_crash,electric,varies,100.0,,%,Exclusive G-Max Move of Gigantamax PikachuParalyzes all opponents
paralysis,glare,normal,status,100.0,,100%,
paralysis,lick,ghost,physical,30.0,30,100%,
paralysis,nuzzle,electric,physical,100.0,20,100%,
paralysis,psycho_shift,psychic,status,100.0,,100%,If the user is paralyzed
paralysis,secret_power,normal,physical,30.0,70,100%,"May cause paralysis only when used on plain terrain or building floors, in link battles or Sky Battles, in the Distortion World, or when Electric Terrain is in effect"
paralysis,spark,electric,physical,30.0,65,100%,
paralysis,splishy_splash,water,special,30.0,90,100%,
paralysis,stoked_sparksurfer,electric,special,100.0,175,%,Exclusive Z-Move of Alolan Raichu
paralysis,stun_spore,grass,status,100.0,,75%,"Grass types, as well as Pokémon with Overcoat or Safety Goggles, are immune to Stun Spore from Generation VI onward."
paralysis,thunder,electric,special,30.0,110,70%,
paralysis,thunder_fang,electric,physical,10.0,65,95%,May also cause flinching (10% chance)
paralysis,thunder_punch,electric,physical,10.0,75,100%,
paralysis,thunder_shock,electric,special,10.0,40,100%,
paralysis,thunder_wave,electric,status,100.0,,90%,
paralysis,thunderbolt,electric,special,10.0,90,100%,
paralysis,tri_attack,normal,special,6.67,80,100%,May also burn or freeze (6.67% chance of each)
paralysis,volt_tackle,electric,physical,10.0,120,100%,May cause paralysis from Generation IV onwards. User receives ⅓ of damage dealt as recoil damage
paralysis,zap_cannon,electric,special,100.0,120,50%,
poison,baneful_bunker,poison,status,100.0,,%,If a Pokémon attempts to use a contact move on the user
poison,cross_poison,poison,physical,10.0,70,100%,
poison,fling,dark,physical,100.0,70,100%,If Poison Barb is held by the user
poison,g_max_befuddle,bug,varies,33.3,,%,Exclusive G-Max Move of Gigantamax ButterfreeMay also paralyze or sleep (33.3% chance of each)
poison,g_max_malodor,poison,varies,100.0,,%,Exclusive G-Max Move of Gigantamax GarbodorPoisons all opponents
poison,g_max_stun_shock,electric,varies,50.0,,%,Exclusive G-Max Move of Gigantamax ToxtricityMay also paralyze (50% chance of each)
