Family Name,Pokemon 1 Name,1 to 2 Method,Pokemon 2 Name,2 to 3 Method,Pokemon 3 Name
bulbasaur,bulbasaur,Level 16,ivysaur,Level 32,venusaur
charmander,charmander,Level 16,charmeleon,Level 36,charizard
squirtle,squirtle,Level 16,wartortle,Level 36,blastoise
caterpie,caterpie,Level 7,metapod,Level 10,butterfree
weedle,weedle,Level 7,kakuna,Level 10,beedrill
pidgey,pidgey,Level 18,pidgeotto,Level 36,pidgeot
rattata,rattata,Level 20,raticate,,
rattata,rattata_alola,Level 20 (night),raticate_alola,,
spearow,spearow,Level 20,fearow,,
ekans,ekans,Level 22,arbok,,
pikachu,pichu,Friendship,pikachu,Thunder Stone,raichu
pikachu,pichu,Friendship,pikachu,Thunder Stone (Alola),raichu_alola
sandshrew,sandshrew,Level 22,sandslash,,
sandshrew,sandshrew_alola,Ice Stone,sandslash_alola,,
nidoran,nidoran_f,Level 16,nidorina,Moon Stone,nidoqueen
nidoran,nidoran_m,Level 16,nidorino,Moon Stone,nidoking
clefairy,cleffa,Friendship,clefairy,Moon Stone,clefable
vulpix,vulpix,Fire Stone,ninetales,,
vulpix,vulpix_alola,Ice Stone,ninetales_alola,,
jigglypuff,igglybuff,Friendship,jigglypuff,Moon Stone,wigglytuff
zubat,zubat,Level 22,golbat,Friendship,crobat
oddish,oddish,Level 21,gloom,Leaf Stone,vileplume
oddish,oddish,Level 21,gloom,Sun Stone,bellossom
paras,paras,Level 24,parasect,,
venonat,venonat,Level 31,venomoth,,
diglett,diglett,Level 26,dugtrio,,
diglett,diglett_alola,Level 26,dugtrio_alola,,
meowth,meowth,Level 28,persian,,
meowth,meowth_alola,Friendship Level 28 P E,persian_alola,,
meowth,meowth_galar,Level 28,perrserker,,
psyduck,psyduck,Level 33,golduck,,
mankey,mankey,Level 28,primeape,,
growlithe,growlithe,Fire Stone,arcanine,,
poliwag,poliwag,Level 25,poliwhirl,Water Stone,poliwrath
poliwag,poliwag,Level 25,poliwhirl,Trade holding King's Rock,politoed
abra,abra,Level 16,kadabra,Trade,alakazam
machop,machop,Level 28,machoke,Trade,machamp
bellsprout,bellsprout,Level 21,weepinbell,Leaf Stone,victreebel
tentacool,tentacool,Level 30,tentacruel,,
geodude,geodude,Level 25,graveler,Trade,golem
geodude,geodude_alola,Level 25,graveler_alola,Trade,golem_alola
ponyta,ponyta,Level 40,rapidash,,
ponyta,ponyta_galar,Level 40,rapidash_galar,,
slowpoke,slowpoke,Level 37,slowbro,,
slowpoke,slowpoke,Trade holding King's Rock,slowking,,
slowpoke,slowpoke_galar,Galarica Cuff,slowbro_galar,,
slowpoke,slowpoke_galar,Galarica Wreath,slowking_galar,,
magnemite,magnemite,Level 30,magneton,Level up in a special magnetic field Thunder Stone (Sw/Sh),magnezone
farfetchd,farfetchd,,,,
farfetchd,farfetchd_galar,Land 3 critical hits in a single battle,sirfetchd,,
doduo,doduo,Level 31,dodrio,,
seel,seel,Level 34,dewgong,,
grimer,grimer,Level 38,muk,,
grimer,grimer_alola,Level 38,muk_alola,,
shellder,shellder,Water Stone,cloyster,,
gastly,gastly,Level 25,haunter,Trade,gengar
