Item Name,Item Type,Description,Sprite URL
absorb_bulb,boost_stat_sp_atk,An item to be held by a Pokémon. It boosts Sp. Atk if the holder is hit with a Water-type attack. It can only be used once.,/itemdex/sprites/absorbbulb.png
adamant_orb,boost_type_specific,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.,/itemdex/sprites/adamantorb.png
air_balloon,other,"An item to be held by a Pokémon. The holder will float in the air until hit. Once the holder is hit, this item will burst.",/itemdex/sprites/airballoon.png
aloraichium_z,z_crystal_exclusive,It converts Z-Power into crystals that upgrade Alolan Raichu's Thunderbolt to an exclusive Z-Move.,/itemdex/sprites/aloraichiumz.png
amulet_coin,other,An item to be held by a Pokémon. It doubles any prize money received if the holding Pokémon joins a battle.,/itemdex/sprites/amuletcoin.png
assault_vest,boost_stat_sp_def,An item to be held by a Pokémon. This offensive vest raises Sp. Def but prevents the use of status moves.,/itemdex/sprites/assaultvest.png
berry_sweet,other,"A berry-shaped sweet. When a Milcery holds this, it spins around happily.",/itemdex/sprites/berrysweet.png
berserk_gene,gen2_boost_stat_attack,Boosts ATTACK but causes confusion.,
big_root,other,An item to be held by a Pokémon. It boosts the amount of HP the holder restores from HP-stealing moves.,/itemdex/sprites/bigroot.png
binding_band,other,An item to be held by a Pokémon. It's a band that increases the power of binding moves used by the holder.,/itemdex/sprites/bindingband.png
black_belt,boost_type_fighting,An item to be held by a Pokémon. This belt helps the wearer to focus and boosts the power of Fighting-type moves.,/itemdex/sprites/blackbelt.png
black_glasses,boost_type_dark,An item to be held by a Pokémon. It's a pair of shady-looking glasses that boost the power of Dark-type moves.,/itemdex/sprites/blackglasses.png
black_sludge,restore_hp,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.,/itemdex/sprites/blacksludge.png
blue_orb,other,A shiny blue orb that is said to have a legend tied to it. It's known to have a deep connection with the Hoenn region.,/itemdex/sprites/blueorb.png
blue_scarf,contest_item,"An item to be held by a Pokémon. During a contest, it raises the Beauty aspect of the Pokémon holding it.",/itemdex/sprites/bluescarf.png
blunder_policy,boost_stat_two_stages,Raises Speed sharply when a Pokémon misses with a move because of accuracy.,/itemdex/sprites/blunderpolicy.png
bright_powder,other,An item to be held by a Pokémon. It casts a tricky glare that lowers the opposing Pokémon's accuracy.,/itemdex/sprites/brightpowder.png
bug_gem,gem_bug,"A gem with an insect-like essence. When held, it strengthens the power of a Bug-type move one time.",/itemdex/sprites/buggem.png
bug_memory,memory_bug,A memory disc that contains Bug-type data. It changes the type of the holder if held by a certain species of Pokémon.,/itemdex/sprites/bugmemory.png
