Move ID,Header,Description
2,name,Normal-type move in Generation I
12,accuracy,Success is calculated using a custom formula.
13,accuracy,75% in Generations I-II
14,pp,30 in Generations I-V
16,name,Normal-type move in Generation I
17,power,35 in Generation I
18,accuracy,"85% in Generation I, 100% in Generations II-V"
19,power,70 in Generations I-III
20,accuracy,75% in Generations I-IV
22,pp,"10 in Generations I-III, 15 in Generations IV-V"
22,power,35 in Generations I-V
26,pp,25 in Generations I-IV
26,power,"70 in Generations I-III, 85 in Generation IV"
28,name,Normal-type move in Generation I
32,accuracy,Success is calculated using a custom formula.
33,power,"35 in Generations I-IV, 50 in Generations V-VI"
33,accuracy,95% in Generations I-IV
35,accuracy,85 in Generations I-IV
37,pp,20 in Generations I-IV
37,power,90 in Generations I-IV
38,power,100 in Generation I
42,power,14 in Generations I-V
42,accuracy,85% in Generations I-V
44,name,Normal-type move in Generation I
46,accuracy,100% in Generations I-V
49,power,Always deals 20 HP damage
50,accuracy,"55% in Generations I-III, 80% in Generation IV"
53,power,95 in Generations I-V
56,power,120 in Generations I-V
57,power,95 in Generations I-V
58,power,95 in Generations I-V
59,power,120 in Generations I-V
59,accuracy,90% in Generation I
66,pp,25 in Generations I-V
67,power,50 in Generations I-II
67,accuracy,90% in Generations I-II
71,pp,"20 in Generations I-III, 15 in LGPE"
71,power,40 in LGPE
72,pp,10 in Generations I-III and LGPE
72,power,75 in LGPE
74,pp,40 in Generations I-V
76,power,200 in LGPE
80,pp,20 in Generations I-IV
80,power,"70 in Generations I-III, 90 in Generation IV"
82,power,Always deals 40 HP damage
83,power,15 in Generations I-IV
83,accuracy,70% in Generations I-IV
85,power,95 in Generations I-V
86,accuracy,100% in Generations I-VI
87,power,120 in Generations I-V
88,accuracy,65% in Generation I
90,accuracy,Success is calculated using a custom formula.
91,power,"100 in Generation I, 60 in Generations II-III"
92,accuracy,85% in Generations I-IV
95,accuracy,70% in Diamond and Pearl
102,accuracy,100% in Generations I-II
105,pp,20 in Generations I-III
107,pp,20 in Generations I-V
112,pp,30 in Generations I-V
117,accuracy,100% in Generations I-III
120,power,130 in Generation I
122,power,20 in Generations I-V
123,power,20 in Generations I-V
126,power,120 in Generations I-V
128,pp,10 in Generations I-IV
128,accuracy,75% in Generations I-IV
130,pp,15 in Generations I-V
130,power,100 in Generations I-V
136,pp,20 in Generations I-IV
136,power,"85 in Generations I-III, 100 in Generation IV"
137,accuracy,"75% in Generations I-IV, 90% in Generation V"
139,accuracy,"55% in Generations I-IV, 80% in Generation V"
141,pp,15 in Generations I-VI
141,power,20 in Generations I-VI
143,power,200 in LGPE
145,power,20 in Generations I-V
148,accuracy,70% in Generations I-III
149,accuracy,80% in Generations I-V
151,pp,40 in Generations I-V
152,power,90 in Generations I-V
152,accuracy,85% in Generations I-IV
153,power,170 in Generation I
165,pp,10 in Generation I
165,accuracy,100% in Generations I-III
168,pp,10 in Generations II-V
168,power,40 in Generations II-V
170,accuracy,100% in Generations II-III
173,power,40 in Generations II-V
174,name,???-type move in Generations II-IV
178,accuracy,85% in Generations II-IV
184,accuracy,90% in Generations II-IV
186,name,Normal-type move prior to Gen VI
192,power,100 in Generations II-III
193,accuracy,100% in Generations II-III
198,accuracy,80% in Generations II-IV
199,accuracy,100% in Generations II-III
200,pp,15 in Generations II-IV
200,power,90 in Generations II-III
202,pp,5 in Generations II-III
202,power,60 in Generations II-IV
204,name,Normal-type move prior to Gen VI
207,accuracy,90% in Generations II-VI
210,power,"10 in Generations II-IV, 20 in Generation V"
220,accuracy,100% in Generation II
229,power,20 in Generations II-VII
236,name,Normal-type move prior to Gen VI
237,power,— in Generations II-V
248,pp,15 in Generations II-IV
248,power,"80 in Generations II-IV, 100 in Generation V"
248,accuracy,90% in Generations II-IV
249,power,20 in Generations II-III
