Generation,Priority,Move Name
1,1,QuickAttack
1,-1,Counter
2,2,Detect
2,2,Endure
2,2,Protect
2,1,ExtremeSpeed
2,1,MachPunch
2,1,QuickAttack
2,-1,Counter
2,-1,MirrorCoat
2,-1,Roar
2,-1,Whirlwind
2,-1,VitalThrow
3,5,HelpingHand
3,4,MagicCoat
3,4,Snatch
3,3,Detect
3,3,Endure
3,3,FollowMe
3,3,Protect
3,2,None
3,1,ExtremeSpeed
3,1,FakeOut
3,1,MachPunch
3,1,QuickAttack
3,-1,VitalThrow
3,-2,None
3,-3,FocusPunch
3,-4,Revenge
3,-5,Counter
3,-5,MirrorCoat
3,-6,Roar
3,-6,Whirlwind
4,5,HelpingHand
4,4,MagicCoat
4,4,Snatch
4,3,Detect
4,3,Endure
4,3,FollowMe
4,3,Protect
4,2,Feint
4,1,AquaJet
4,1,Bide
4,1,BulletPunch
4,1,ExtremeSpeed
4,1,FakeOut
4,1,IceShard
4,1,MachPunch
4,1,QuickAttack
4,1,ShadowSneak
4,1,SuckerPunch
4,1,VacuumWave
4,-1,VitalThrow
4,-2,None
4,-3,FocusPunch
4,-4,Avalanche
4,-4,Revenge
4,-5,Counter
4,-5,MirrorCoat
4,-6,Roar
4,-6,Whirlwind
4,-7,TrickRoom
5,5,HelpingHand
5,4,Detect
5,4,Endure
5,4,MagicCoat
5,4,Protect
5,4,Snatch
5,3,FakeOut
5,3,FollowMe
5,3,QuickGuard
5,3,RagePowder
5,3,WideGuard
5,2,ExtremeSpeed
5,2,Feint
5,1,AllySwitch
5,1,AquaJet
5,1,Bide
5,1,BulletPunch
5,1,IceShard
5,1,MachPunch
5,1,QuickAttack
5,1,ShadowSneak
5,1,SuckerPunch
5,1,VacuumWave
5,-1,VitalThrow
5,-2,None
5,-3,FocusPunch
5,-4,Avalanche
5,-4,Revenge
5,-5,Counter
5,-5,MirrorCoat
5,-6,CircleThrow
5,-6,DragonTail
5,-6,Roar
5,-6,Whirlwind
5,-7,MagicRoom
5,-7,TrickRoom
5,-7,WonderRoom
5,-7,fleeing
6,5,HelpingHand
6,4,Detect
6,4,Endure
6,4,King'sShield
6,4,MagicCoat
6,4,Protect
6,4,SpikyShield
6,4,Snatch
6,3,CraftyShield
6,3,FakeOut
6,3,QuickGuard
6,3,WideGuard
6,2,ExtremeSpeed
6,2,Feint
6,2,FollowMe
6,2,RagePowder
6,1,AllySwitch
6,1,AquaJet
6,1,Baby-DollEyes
6,1,Bide
6,1,BulletPunch
6,1,IceShard
6,1,IonDeluge
6,1,MachPunch
6,1,Powder
6,1,QuickAttack
6,1,ShadowSneak
6,1,SuckerPunch
6,1,VacuumWave
6,1,WaterShuriken
6,-1,VitalThrow
6,-2,None
6,-3,FocusPunch
6,-4,Avalanche
6,-4,Revenge
6,-5,Counter
6,-5,MirrorCoat
6,-6,CircleThrow
6,-6,DragonTail
6,-6,Roar
6,-6,Whirlwind
6,-7,TrickRoom
7,5,HelpingHand
7,4,BanefulBunker
7,4,Detect
7,4,Endure
7,4,King'sShield
7,4,MagicCoat
7,4,Protect
7,4,SpikyShield
7,4,Snatch
7,3,CraftyShield
7,3,FakeOut
7,3,QuickGuard
7,3,WideGuard
7,3,Spotlight
7,2,AllySwitch
7,2,ExtremeSpeed
7,2,Feint
7,2,FirstImpression
7,2,FollowMe
7,2,RagePowder
7,2,ZippyZap
7,1,Accelerock
7,1,AquaJet
7,1,Baby-DollEyes
7,1,Bide
7,1,BulletPunch
7,1,IceShard
7,1,IonDeluge
7,1,MachPunch
7,1,Powder
7,1,QuickAttack
7,1,ShadowSneak
7,1,SuckerPunch
7,1,VacuumWave
7,1,WaterShuriken
7,-1,VitalThrow
7,-2,None
7,-3,BeakBlast
7,-3,FocusPunch
7,-3,ShellTrap
7,-4,Avalanche
7,-4,Revenge
7,-5,Counter
7,-5,MirrorCoat
7,-6,CircleThrow
7,-6,DragonTail
7,-6,Roar
7,-6,Whirlwind
7,-7,TrickRoom
7,-7,fleeing
8,5,HelpingHand
8,4,BanefulBunker
8,4,Detect
8,4,Endure
8,4,King'sShield
8,4,MagicCoat
8,4,MaxGuard
8,4,Obstruct
8,4,Protect
8,4,SpikyShield
8,3,CraftyShield
8,3,FakeOut
8,3,QuickGuard
8,3,WideGuard
8,2,AllySwitch
8,2,ExtremeSpeed
8,2,Feint
8,2,FirstImpression
8,2,FollowMe
8,2,RagePowder
8,1,Accelerock
8,1,AquaJet
8,1,Baby-DollEyes
8,1,BulletPunch
8,1,IceShard
8,1,MachPunch
8,1,QuickAttack
8,1,ShadowSneak
8,1,SuckerPunch
8,1,VacuumWave
8,1,WaterShuriken
8,-1,VitalThrow
8,-2,None
8,-3,FocusPunch
8,-3,ShellTrap
8,-4,Avalanche
8,-4,Revenge
8,-5,Counter
8,-5,MirrorCoat
8,-6,CircleThrow
8,-6,DragonTail
8,-6,Roar
8,-6,Whirlwind
8,-6,Teleport
8,-7,TrickRoom
