Move Name,Note
pound,
karate_chop,
double_slap,
comet_punch,
mega_punch,
fire_punch,
ice_punch,
thunder_punch,
scratch,
vise_grip,
guillotine,
cut,
wing_attack,
fly,
bind,
slam,
vine_whip,
stomp,
double_kick,
mega_kick,
jump_kick,
rolling_kick,
headbutt,
horn_attack,
fury_attack,
horn_drill,
tackle,
body_slam,
wrap,
take_down,
thrash,
double_edge,
bite,
peck,
drill_peck,
submission,
low_kick,
counter,
seismic_toss,
strength,
petal_dance,
dig,
quick_attack,
rage,
bide,
lick,
waterfall,
clamp,
skull_bash,
constrict,
high_jump_kick,
leech_life,
dizzy_punch,
crabhammer,
fury_swipes,
hyper_fang,
super_fang,
slash,
struggle,
triple_kick,
thief,
flame_wheel,
flail,
reversal,
mach_punch,
feint_attack,
outrage,
rollout,
false_swipe,
spark,
fury_cutter,
steel_wing,
return,
frustration,
dynamic_punch,
megahorn,
pursuit,
rapid_spin,
iron_tail,
metal_claw,
vital_throw,
cross_chop,
crunch,
extreme_speed,
rock_smash,
fake_out,
facade,
focus_punch,
smelling_salts,
superpower,
revenge,
brick_break,
knock_off,
endeavor,
dive,
arm_thrust,
blaze_kick,
ice_ball,
needle_arm,
poison_fang,
crush_claw,
meteor_mash,
astonish,
shadow_punch,
sky_uppercut,
aerial_ace,
dragon_claw,
bounce,
poison_tail,
covet,
volt_tackle,
leaf_blade,
wake_up_slap,
hammer_arm,
gyro_ball,
pluck,
u_turn,
close_combat,
payback,
assurance,
trump_card,
wring_out,
punishment,
last_resort,
sucker_punch,
flare_blitz,
force_palm,
poison_jab,
night_slash,
aqua_tail,
x_scissor,
dragon_rush,
drain_punch,
brave_bird,
giga_impact,
bullet_punch,
avalanche,
shadow_claw,
thunder_fang,
ice_fang,
fire_fang,
shadow_sneak,
zen_headbutt,
rock_climb,
power_whip,
cross_poison,
iron_head,
grass_knot,
bug_bite,
wood_hammer,
aqua_jet,
head_smash,
double_hit,
crush_grip,
shadow_force,
storm_throw,
heavy_slam,
flame_charge,
low_sweep,
foul_play,
chip_away,
sky_drop,
circle_throw,
acrobatics,
retaliate,
dragon_tail,
wild_charge,
drill_run,
dual_chop,
heart_stamp,
horn_leech,
sacred_sword,
razor_shell,
heat_crash,
steamroller,
tail_slap,
head_charge,
gear_grind,
bolt_strike,
v_create,
flying_press,
fell_stinger,
phantom_force,
draining_kiss,
play_rough,
nuzzle,
hold_back,
infestation,
power_up_punch,
dragon_ascent,
catastropika,
first_impression,
darkest_lariat,
ice_hammer,
high_horsepower,
solar_blade,
throat_chop,
anchor_shot,
lunge,
fire_lash,
power_trip,
smart_strike,
trop_kick,
dragon_hammer,
brutal_swing,
malicious_moonsault,
soul_stealing_7_star_strike,
pulverizing_pancake,
psychic_fangs,
stomping_tantrum,
accelerock,
liquidation,
spectral_thief,
sunsteel_strike,
zing_zap,
multi_attack,
plasma_fists,
searing_sunraze_smash,
lets_snuggle_forever,
zippy_zap,
floaty_fall,
sizzly_slide,
veevee_volley,
double_iron_bash,
jaw_lock,
bolt_beak,
fishious_rend,
body_press,
snap_trap,
behemoth_blade,
behemoth_bash,
breaking_swipe,
branch_poke,
spirit_break,
false_surrender,
steel_roller,
grassy_glide,
skitter_smack,
lash_out,
flip_turn,
triple_axel,
dual_wingbeat,
wicked_blow,
surging_strikes,
thunderous_kick,
ancient-power,Only Gen III
overheat,Only Gen III
shell-side-arm,If physical
