Effect,Move Name
consecutive,ice-ball
consecutive,outrage
consecutive,petal-dance
consecutive,rollout
consecutive,thrash
consecutive,uproar
counterattack,bide
counterattack,counter
counterattack,metal-burst
counterattack,mirror-coat
creates-hazard,g-max-steelsurge
creates-hazard,g-max-stonesurge
creates-hazard,spikes
creates-hazard,stealth-rock
creates-hazard,sticky-web
creates-hazard,toxic-spikes
removes-hazard,defog
removes-hazard,g-max-wind-rage
removes-hazard,rapid-spin
changes-form,kings-shield
changes-form,relic-song
changes-form,secret-sword
drains,absorb
drains,bouncy-bubble
drains,drain-punch
drains,draining-kiss
drains,dream-eater
drains,giga-drain
drains,horn-leech
drains,leech-life
drains,leech-seed
drains,mega-drain
drains,oblivion-wing
drains,parabolic-charge
manipualtes-items,bestow
manipualtes-items,bug-bite
manipualtes-items,corrosive-gas
manipualtes-items,covet
manipualtes-items,embargo
manipualtes-items,fling
manipualtes-items,g-max-replenish
manipualtes-items,incinerate
manipualtes-items,knock-off
manipualtes-items,magic-room
manipualtes-items,natural-gift
manipualtes-items,pluck
manipualtes-items,recycle
manipualtes-items,stuff-cheeks
manipualtes-items,switcheroo
manipualtes-items,teatime
manipualtes-items,thief
manipualtes-items,trick
depends-on-weight,autotomize
depends-on-weight,grass-knot
depends-on-weight,heat-crash
depends-on-weight,heavy-slam
depends-on-weight,low-kick
depends-on-weight,sky-drop
pulse,aura-sphere
pulse,dark-pulse
pulse,dragon-pulse
pulse,heal-pulse
pulse,origin-pulse
pulse,terrain-pulse
pulse,water-pulse
ball,acid-spray
ball,aura-sphere
ball,barrage
ball,beak-blast
ball,bullet-seed
ball,egg-bomb
ball,electro-ball
ball,energy-ball
ball,focus-blast
ball,gyro-ball
ball,ice-ball
ball,magnet-bomb
ball,mist-ball
ball,mud-bomb
ball,octazooka
ball,pollen-puff
ball,pyro-ball
ball,rock-blast
ball,rock-wrecker
ball,searing-shot
ball,seed-bomb
ball,shadow-ball
ball,sludge-bomb
ball,weather-ball
ball,zap-cannon
bite,bite
bite,crunch
bite,fire-fang
bite,fishious-rend
bite,hyper-fang
bite,ice-fang
bite,jaw-lock
bite,poison-fang
bite,psychic-fangs
bite,thunder-fang
dance,dragon-dance
dance,feather-dance
dance,fiery-dance
dance,lunar-dance
dance,petal-dance
dance,quiver-dance
dance,revelation-dance
dance,swords-dance
dance,teeter-dance
explosive,explosion
explosive,mind-blown
explosive,misty-explosion
explosive,self-destruct
mouth,absorb
mouth,bite
mouth,blast-burn
mouth,bug-bite
mouth,chatter
mouth,crunch
mouth,dragon-breath
mouth,dream-eater
mouth,fake-tears
mouth,fire-fang
mouth,flatter
mouth,gastro-acid
