Status Caused,Move Name,Type,Category,Probability,Power,Accuracy,Notes
burn,beak-blast,flying,physical,100.0,--,--,If a Pokémon uses a contact move on the user before executing Beak Blast
burn,blaze-kick,fire,physical,10.0,85,90%,
burn,blue-flare,fire,special,20.0,130,85%,
burn,burning-jealousy,fire,special,100.0,70,100%,If a Pokémon has increased its stats during that turn
burn,ember,fire,special,10.0,40,100%,
burn,fire-blast,fire,special,10.0,110,85%,Had a 30% chance of burning in Generation I
burn,fire-fang,fire,physical,10.0,65,95%,May also cause flinching (10% chance)
burn,fire-punch,fire,physical,10.0,75,100%,
burn,flame-wheel,fire,physical,10.0,60,100%,
burn,flamethrower,fire,special,10.0,90,100%,
burn,flare-blitz,fire,physical,10.0,120,100%,
burn,fling,dark,physical,100.0,30,100%,If Flame Orb is held by user
burn,heat-wave,fire,special,10.0,95,90%,
burn,ice-burn,ice,special,30.0,140,90%,
burn,inferno,fire,special,100.0,100,50%,
burn,lava-plume,fire,special,30.0,80,100%,
burn,psycho-shift,psychic,status,100.0,--,100%,If the user is burned
burn,pyro-ball,fire,physical,10.0,120,90%,
burn,sacred-fire,fire,physical,50.0,100,95%,
burn,scald,water,special,30.0,80,100%,
burn,scorching-sands,ground,special,30.0,70,100%,
burn,searing-shot,fire,special,30.0,100,100%,
burn,secret-power,normal,physical,30.0,70,100%,May cause burn only when used on a volcano (Generations VI and VII)
burn,sizzly-slide,fire,physical,100.0,90,100%,
burn,steam-eruption,water,special,30.0,110,95%,
burn,tri-attack,normal,special,6.67,80,100%,May also freeze or paralyze (6.67% chance of each)
burn,will-o-wisp,fire,status,100.0,--,85%,
freeze,blizzard,ice,special,10.0,110,70%,"When used during hail, bypasses accuracy checks to always hit, unless the target is in the semi-invulnerable turn of a move such as Dig or Fly."
freeze,freeze-dry,ice,special,10.0,70,100%,Inflicts super-effective damage against Water types
freeze,freezing-glare,psychic,special,10.0,90,100%,
freeze,ice-beam,ice,special,10.0,90,100%,
freeze,ice-fang,ice,physical,10.0,65,95%,May also cause flinching (10% chance)
freeze,ice-punch,ice,physical,10.0,75,100%,
freeze,powder-snow,ice,special,10.0,40,100%,
freeze,secret-power,normal,physical,30.0,70,100%,May cause freezing only when used in snow or ice
freeze,tri-attack,normal,special,6.67,80,100%,May also cause burn or paralysis (6.67% chance of each)
paralysis,body-slam,normal,physical,30.0,85,100%,
paralysis,bolt-strike,electric,physical,20.0,130,85%,
paralysis,bounce,flying,physical,30.0,85,85%,
paralysis,buzzy-buzz,electric,special,100.0,90,100%,
paralysis,discharge,electric,special,30.0,80,100%,
paralysis,dragon-breath,dragon,special,30.0,60,100%,
paralysis,fling,dark,physical,100.0,30,100%,If Light Ball is held by user
paralysis,force-palm,fighting,physical,30.0,60,100%,
paralysis,freeze-shock,ice,physical,30.0,140,90%,
paralysis,g-max-befuddle,bug,varies,33.3,--,--%,Exclusive G-Max Move of Gigantamax ButterfreeMay also poison or sleep (33.3% chance of each)
paralysis,g-max-stun-shock,electric,varies,50.0,--,--%,Exclusive G-Max Move of Gigantamax ToxtricityMay also poison (50% chance of each)
paralysis,g-max-volt-crash,electric,varies,100.0,--,--%,Exclusive G-Max Move of Gigantamax PikachuParalyzes all opponents
paralysis,glare,normal,status,100.0,--,100%,
paralysis,lick,ghost,physical,30.0,30,100%,
paralysis,nuzzle,electric,physical,100.0,20,100%,
paralysis,psycho-shift,psychic,status,100.0,--,100%,If the user is paralyzed
paralysis,secret-power,normal,physical,30.0,70,100%,"May cause paralysis only when used on plain terrain or building floors, in link battles or Sky Battles, in the Distortion World, or when Electric Terrain is in effect"
paralysis,spark,electric,physical,30.0,65,100%,
paralysis,splishy-splash,water,special,30.0,90,100%,
paralysis,stoked-sparksurfer,electric,special,100.0,175,--%,Exclusive Z-Move of Alolan Raichu
paralysis,stun-spore,grass,status,100.0,--,75%,"Grass types, as well as Pokémon with Overcoat or Safety Goggles, are immune to Stun Spore from Generation VI onward."
paralysis,thunder,electric,special,30.0,110,70%,
paralysis,thunder-fang,electric,physical,10.0,65,95%,May also cause flinching (10% chance)
paralysis,thunder-punch,electric,physical,10.0,75,100%,
paralysis,thunder-shock,electric,special,10.0,40,100%,
paralysis,thunder-wave,electric,status,100.0,--,90%,
paralysis,thunderbolt,electric,special,10.0,90,100%,
paralysis,tri-attack,normal,special,6.67,80,100%,May also burn or freeze (6.67% chance of each)
paralysis,volt-tackle,electric,physical,10.0,120,100%,May cause paralysis from Generation IV onwards. User receives ⅓ of damage dealt as recoil damage
paralysis,zap-cannon,electric,special,100.0,120,50%,
poison,baneful-bunker,poison,status,100.0,--,--%,If a Pokémon attempts to use a contact move on the user
poison,cross-poison,poison,physical,10.0,70,100%,
poison,fling,dark,physical,100.0,70,100%,If Poison Barb is held by the user
poison,g-max-befuddle,bug,varies,33.3,--,--%,Exclusive G-Max Move of Gigantamax ButterfreeMay also paralyze or sleep (33.3% chance of each)
poison,g-max-malodor,poison,varies,100.0,--,--%,Exclusive G-Max Move of Gigantamax GarbodorPoisons all opponents
