Target,Move Name
userAndAllAllies,Aromatherapy
userAndAllAllies,AuroraVeil
userAndAllAllies,CraftyShield
userAndAllAllies,GearUp
userAndAllAllies,HappyHour
userAndAllAllies,HealBell
userAndAllAllies,Howl
userAndAllAllies,JungleHealing
userAndAllAllies,LifeDew
userAndAllAllies,LightScreen
userAndAllAllies,LuckyChant
userAndAllAllies,MagneticFlux
userAndAllAllies,MatBlock
userAndAllAllies,Mist
userAndAllAllies,QuickGuard
userAndAllAllies,Reflect
userAndAllAllies,Safeguard
userAndAllAllies,Tailwind
userAndAllAllies,WideGuard
adjacentFoe,G-MaxBefuddle
adjacentFoe,G-MaxCannonade
adjacentFoe,G-MaxCentiferno
adjacentFoe,G-MaxChiStrike
adjacentFoe,G-MaxCuddle
adjacentFoe,G-MaxDepletion
adjacentFoe,G-MaxDrumSolo
adjacentFoe,G-MaxFinale
adjacentFoe,G-MaxFireball
adjacentFoe,G-MaxFoamBurst
adjacentFoe,G-MaxGoldRush
adjacentFoe,G-MaxGravitas
adjacentFoe,G-MaxHydrosnipe
adjacentFoe,G-MaxMalodor
adjacentFoe,G-MaxMeltdown
adjacentFoe,G-MaxOneBlow
adjacentFoe,G-MaxRapidFlow
adjacentFoe,G-MaxReplenish
adjacentFoe,G-MaxResonance
adjacentFoe,G-MaxSandblast
adjacentFoe,G-MaxSmite
adjacentFoe,G-MaxSteelsurge
adjacentFoe,G-MaxStonesurge
adjacentFoe,G-MaxStunShock
adjacentFoe,G-MaxSweetness
adjacentFoe,G-MaxTartness
adjacentFoe,G-MaxTerror
adjacentFoe,G-MaxVineLash
adjacentFoe,G-MaxVolcalith
adjacentFoe,G-MaxVoltCrash
adjacentFoe,G-MaxWildfire
adjacentFoe,G-MaxWindRage
adjacentFoe,MaxAirstream
adjacentFoe,MaxDarkness
adjacentFoe,MaxFlare
adjacentFoe,MaxFlutterby
adjacentFoe,MaxGeyser
adjacentFoe,MaxHailstorm
adjacentFoe,MaxKnuckle
adjacentFoe,MaxLightning
adjacentFoe,MaxMindstorm
adjacentFoe,MaxOoze
adjacentFoe,MaxOvergrowth
adjacentFoe,MaxPhantasm
adjacentFoe,MaxQuake
adjacentFoe,MaxRockfall
adjacentFoe,MaxStarfall
adjacentFoe,MaxSteelspike
adjacentFoe,MaxStrike
adjacentFoe,MaxWyrmwind
adjacentFoe,MeFirst
anyOther,Acrobatics
anyOther,AerialAce
anyOther,Aeroblast
anyOther,AirSlash
anyOther,AuraSphere
anyOther,Bounce
anyOther,BraveBird
anyOther,Chatter
anyOther,DarkPulse
anyOther,DragonPulse
anyOther,DrillPeck
anyOther,Fly
anyOther,FlyingPress
anyOther,Gust
anyOther,HealPulse
anyOther,Hurricane
anyOther,OblivionWing
anyOther,Peck
anyOther,Pluck
anyOther,SkyAttack
anyOther,SkyDrop
anyOther,WaterPulse
anyOther,WingAttack
allAdjacentFoes,Acid
allAdjacentFoes,AirCutter
allAdjacentFoes,AstralBarrage
allAdjacentFoes,Blizzard
allAdjacentFoes,BouncyBubble
allAdjacentFoes,BreakingSwipe
allAdjacentFoes,Bubble
allAdjacentFoes,BurningJealousy
allAdjacentFoes,Captivate
allAdjacentFoes,ClangingScales
allAdjacentFoes,ClangorousSoulblaze
allAdjacentFoes,CoreEnforcer
allAdjacentFoes,CottonSpore
allAdjacentFoes,DarkVoid
allAdjacentFoes,DazzlingGleam
allAdjacentFoes,DiamondStorm
allAdjacentFoes,DisarmingVoice
allAdjacentFoes,DragonEnergy
allAdjacentFoes,Electroweb
allAdjacentFoes,Eruption
allAdjacentFoes,FieryWrath
allAdjacentFoes,G-MaxSnooze
allAdjacentFoes,GlacialLance
allAdjacentFoes,Glaciate
allAdjacentFoes,Growl
allAdjacentFoes,HealBlock
allAdjacentFoes,HeatWave
allAdjacentFoes,HyperVoice
allAdjacentFoes,IcyWind
allAdjacentFoes,Incinerate
allAdjacentFoes,Land'sWrath
allAdjacentFoes,Leer
allAdjacentFoes,MuddyWater
allAdjacentFoes,OriginPulse
allAdjacentFoes,Overdrive
allAdjacentFoes,PoisonGas
allAdjacentFoes,PowderSnow
allAdjacentFoes,PrecipiceBlades
allAdjacentFoes,RazorLeaf
allAdjacentFoes,RazorWind
allAdjacentFoes,RelicSong
allAdjacentFoes,RockSlide
allAdjacentFoes,ShellTrap
allAdjacentFoes,Snarl
allAdjacentFoes,SplishySplash
allAdjacentFoes,StringShot
allAdjacentFoes,StruggleBug
allAdjacentFoes,SweetScent
allAdjacentFoes,Swift
allAdjacentFoes,TailWhip
allAdjacentFoes,ThousandArrows
allAdjacentFoes,ThousandWaves
allAdjacentFoes,Twister
allAdjacentFoes,VenomDrench
allAdjacentFoes,WaterSpout
allAdjacent,Boomburst
allAdjacent,BrutalSwing
allAdjacent,Bulldoze
allAdjacent,CorrosiveGas
allAdjacent,Discharge
allAdjacent,Earthquake
allAdjacent,Explosion
allAdjacent,LavaPlume
allAdjacent,Magnitude
allAdjacent,MindBlown
allAdjacent,MistyExplosion
allAdjacent,ParabolicCharge
allAdjacent,PetalBlizzard
allAdjacent,SearingShot
allAdjacent,Self-Destruct
allAdjacent,SludgeWave
allAdjacent,SparklingAria
allAdjacent,Surf
allAdjacent,Synchronoise
allAdjacent,TeeterDance
allAllies,Coaching
allFoes,Spikes
allFoes,StealthRock
allFoes,StickyWeb
allFoes,ToxicSpikes
all,CourtChange
all,ElectricTerrain
all,FairyLock
all,FlowerShield
all,GrassyTerrain
all,Gravity
all,Hail
all,Haze
all,IonDeluge
all,MagicRoom
all,MistyTerrain
all,MudSport
all,PerishSong
all,PsychicTerrain
all,RainDance
all,Rototiller
all,Sandstorm
all,SunnyDay
all,Teatime
all,TrickRoom
all,WaterSport
all,WonderRoom
