Status Caused,Move Name,Type,Category,Probability,Power,Accuracy,Notes
Burn,BeakBlast,Flying,Physical,100.0,--,--,If a Pokémon uses a contact move on the user before executing Beak Blast
Burn,BlazeKick,Fire,Physical,10.0,85,90%,
Burn,BlueFlare,Fire,Special,20.0,130,85%,
Burn,BurningJealousy,Fire,Special,100.0,70,100%,If a Pokémon has increased its stats during that turn
Burn,Ember,Fire,Special,10.0,40,100%,
Burn,FireBlast,Fire,Special,10.0,110,85%,Had a 30% chance of burning in Generation I
Burn,FireFang,Fire,Physical,10.0,65,95%,May also cause flinching (10% chance)
Burn,FirePunch,Fire,Physical,10.0,75,100%,
Burn,FlameWheel,Fire,Physical,10.0,60,100%,
Burn,Flamethrower,Fire,Special,10.0,90,100%,
Burn,FlareBlitz,Fire,Physical,10.0,120,100%,
Burn,Fling,Dark,Physical,100.0,30,100%,If Flame Orb is held by user
Burn,HeatWave,Fire,Special,10.0,95,90%,
Burn,IceBurn,Ice,Special,30.0,140,90%,
Burn,Inferno,Fire,Special,100.0,100,50%,
Burn,LavaPlume,Fire,Special,30.0,80,100%,
Burn,PsychoShift,Psychic,Status,100.0,--,100%,If the user is burned
Burn,PyroBall,Fire,Physical,10.0,120,90%,
Burn,SacredFire,Fire,Physical,50.0,100,95%,
Burn,Scald,Water,Special,30.0,80,100%,
Burn,ScorchingSands,Ground,Special,30.0,70,100%,
Burn,SearingShot,Fire,Special,30.0,100,100%,
Burn,SecretPower,Normal,Physical,30.0,70,100%,May cause burn only when used on a volcano (Generations VI and VII)
Burn,SizzlySlide,Fire,Physical,100.0,90,100%,
Burn,SteamEruption,Water,Special,30.0,110,95%,
Burn,TriAttack,Normal,Special,6.67,80,100%,May also freeze or paralyze (6.67% chance of each)
Burn,Will-O-Wisp,Fire,Status,100.0,--,85%,
Freeze,Blizzard,Ice,Special,10.0,110,70%,"When used during hail, bypasses accuracy checks to always hit, unless the target is in the semi-invulnerable turn of a move such as Dig or Fly."
Freeze,Freeze-Dry,Ice,Special,10.0,70,100%,Inflicts super-effective damage against Water types
Freeze,FreezingGlare,Psychic,Special,10.0,90,100%,
Freeze,IceBeam,Ice,Special,10.0,90,100%,
Freeze,IceFang,Ice,Physical,10.0,65,95%,May also cause flinching (10% chance)
Freeze,IcePunch,Ice,Physical,10.0,75,100%,
Freeze,PowderSnow,Ice,Special,10.0,40,100%,
Freeze,SecretPower,Normal,Physical,30.0,70,100%,May cause freezing only when used in snow or ice
Freeze,TriAttack,Normal,Special,6.67,80,100%,May also cause burn or paralysis (6.67% chance of each)
Paralysis,BodySlam,Normal,Physical,30.0,85,100%,
Paralysis,BoltStrike,Electric,Physical,20.0,130,85%,
Paralysis,Bounce,Flying,Physical,30.0,85,85%,
Paralysis,BuzzyBuzz,Electric,Special,100.0,90,100%,
Paralysis,Discharge,Electric,Special,30.0,80,100%,
Paralysis,DragonBreath,Dragon,Special,30.0,60,100%,
Paralysis,Fling,Dark,Physical,100.0,30,100%,If Light Ball is held by user
Paralysis,ForcePalm,Fighting,Physical,30.0,60,100%,
Paralysis,FreezeShock,Ice,Physical,30.0,140,90%,
Paralysis,G-MaxBefuddle,Bug,Varies,33.3,--,--%,Exclusive G-Max Move of Gigantamax ButterfreeMay also poison or sleep (33.3% chance of each)
Paralysis,G-MaxStunShock,Electric,Varies,50.0,--,--%,Exclusive G-Max Move of Gigantamax ToxtricityMay also poison (50% chance of each)
Paralysis,G-MaxVoltCrash,Electric,Varies,100.0,--,--%,Exclusive G-Max Move of Gigantamax PikachuParalyzes all opponents
Paralysis,Glare,Normal,Status,100.0,--,100%,
Paralysis,Lick,Ghost,Physical,30.0,30,100%,
Paralysis,Nuzzle,Electric,Physical,100.0,20,100%,
Paralysis,PsychoShift,Psychic,Status,100.0,--,100%,If the user is paralyzed
Paralysis,SecretPower,Normal,Physical,30.0,70,100%,"May cause paralysis only when used on plain terrain or building floors, in link battles or Sky Battles, in the Distortion World, or when Electric Terrain is in effect"
Paralysis,Spark,Electric,Physical,30.0,65,100%,
Paralysis,SplishySplash,Water,Special,30.0,90,100%,
Paralysis,StokedSparksurfer,Electric,Special,100.0,175,--%,Exclusive Z-Move of Alolan Raichu
Paralysis,StunSpore,Grass,Status,100.0,--,75%,"Grass types, as well as Pokémon with Overcoat or Safety Goggles, are immune to Stun Spore from Generation VI onward."
Paralysis,Thunder,Electric,Special,30.0,110,70%,
Paralysis,ThunderFang,Electric,Physical,10.0,65,95%,May also cause flinching (10% chance)
Paralysis,ThunderPunch,Electric,Physical,10.0,75,100%,
Paralysis,ThunderShock,Electric,Special,10.0,40,100%,
Paralysis,ThunderWave,Electric,Status,100.0,--,90%,
Paralysis,Thunderbolt,Electric,Special,10.0,90,100%,
Paralysis,TriAttack,Normal,Special,6.67,80,100%,May also burn or freeze (6.67% chance of each)
Paralysis,VoltTackle,Electric,Physical,10.0,120,100%,May cause paralysis from Generation IV onwards. User receives ⅓ of damage dealt as recoil damage
Paralysis,ZapCannon,Electric,Special,100.0,120,50%,
Poison,BanefulBunker,Poison,Status,100.0,--,--%,If a Pokémon attempts to use a contact move on the user
