Status,Move Name,Header of Note,Description
Burn,FireBlast,Probability,30% in Generation I
Burn,TriAttack,Notes,Generation II onwards only
Freeze,Blizzard,Probability,"30% in Japanese Generation I handheld games, except in Pokémon Yellow's Colosseum 2"
Freeze,TriAttack,Notes,Generation II onwards only
Paralysis,Thunder,Probability,10% in Generation I
Paralysis,TriAttack,Notes,Generation II onwards only
Poison,PoisonSting,Probability,20% in Generation I
Poison,Sludge,Probability,40% in Generation I
Confusion,Chatter,Probability,Varies in Generation IV-V
ChargingTurn,RazorWind,Notes,Generation II onwards only
ChargingTurn,SkullBash,Notes,Generation II onwards only
ChargingTurn,SkyAttack,Notes,Generation III onwards only
ChargingTurn,SkyAttack,Notes,Generation III onwards only
ChargingTurn,SolarBeam,Notes,Generation II onwards only
Protection,Detect,Priority,+3 in Generations II-IV
Protection,King'sShield,Notes,2 stages in Generations VI-VII
Protection,Protect,Priority,+3 prior to Generation V
