Pokemon Name,Height m,Weight kg
bulbasaur,0.7,6.9
ivysaur,1.0,13.0
venusaur,2.0,100.0
venusaur_mega,2.4,155.5
charmander,0.6,8.5
charmeleon,1.1,19.0
charizard,1.7,90.5
charizard_mega_x,1.7,110.5
charizard_mega_y,1.7,100.5
squirtle,0.5,9.0
wartortle,1.0,22.5
blastoise,1.6,85.5
blastoise_mega,1.6,101.1
caterpie,0.3,2.9
metapod,0.7,9.9
butterfree,1.1,32.0
weedle,0.3,3.2
kakuna,0.6,10.0
beedrill,1.0,29.5
beedrill_mega,1.4,40.5
pidgey,0.3,1.8
pidgeotto,1.1,30.0
pidgeot,1.5,39.5
pidgeot_mega,2.2,50.5
rattata,0.3,3.5
rattata_alola,0.3,3.8
raticate,0.7,18.5
raticate_alola,0.7,25.5
spearow,0.3,2.0
fearow,1.2,38.0
ekans,2.0,6.9
arbok,3.5,65.0
pikachu,0.4,6.0
pikachu_partner,0.4,6.0
raichu,0.8,30.0
raichu_alola,0.7,21.0
sandshrew,0.6,12.0
sandshrew_alola,0.7,40.0
sandslash,1.0,29.5
sandslash_alola,1.2,55.0
nidoran_f,0.4,7.0
nidorina,0.8,20.0
nidoqueen,1.3,60.0
nidoran_m,0.5,9.0
nidorino,0.9,19.5
nidoking,1.4,62.0
clefairy,0.6,7.5
clefable,1.3,40.0
vulpix,0.6,9.9
vulpix_alola,0.6,9.9
ninetales,1.1,19.9
ninetales_alola,1.1,19.9
jigglypuff,0.5,5.5
wigglytuff,1.0,12.0
zubat,0.8,7.5
golbat,1.6,55.0
oddish,0.5,5.4
gloom,0.8,8.6
vileplume,1.2,18.6
paras,0.3,5.4
parasect,1.0,29.5
venonat,1.0,30.0
venomoth,1.5,12.5
diglett,0.2,0.8
diglett_alola,0.2,1.0
dugtrio,0.7,33.3
dugtrio_alola,0.7,66.6
meowth,0.4,4.2
meowth_alola,0.4,4.2
meowth_galar,0.4,7.5
persian,1.0,32.0
persian_alola,1.1,33.0
psyduck,0.8,19.6
golduck,1.7,76.6
mankey,0.5,28.0
primeape,1.0,32.0
growlithe,0.7,19.0
growlithe,0.8,22.7
arcanine,1.9,155.0
poliwag,0.6,12.4
poliwhirl,1.0,20.0
poliwrath,1.3,54.0
abra,0.9,19.5
kadabra,1.3,56.5
alakazam,1.5,48.0
alakazam_mega,1.2,48.0
machop,0.8,19.5
machoke,1.5,70.5
machamp,1.6,130.0
bellsprout,0.7,4.0
weepinbell,1.0,6.4
victreebel,1.7,15.5
tentacool,0.9,45.5
tentacruel,1.6,55.0
geodude,0.4,20.0
geodude_alola,0.4,20.3
graveler,1.0,105.0
graveler_alola,1.0,110.0
golem,1.4,300.0
golem_alola,1.7,316.0
ponyta,1.0,30.0
ponyta_galar,0.8,24.0
rapidash,1.7,95.0
rapidash_galar,1.7,80.0
slowpoke,1.2,36.0
slowpoke_galar,1.2,36.0
slowbro,1.6,78.5
slowbro_mega,2.0,120.0
slowbro_galar,1.6,70.5
magnemite,0.3,6.0
magneton,1.0,60.0
farfetchd,0.8,15.0
farfetchd_galar,0.8,42.0
doduo,1.4,39.2
dodrio,1.8,85.2
seel,1.1,90.0
dewgong,1.7,120.0
grimer,0.9,30.0
grimer_alola,0.7,42.0
muk,1.2,30.0
muk_alola,1.0,52.0
shellder,0.3,4.0
cloyster,1.5,132.5
gastly,1.3,0.1
haunter,1.6,0.1
gengar,1.5,40.5
gengar_mega,1.4,40.5
onix,8.8,210.0
drowzee,1.0,32.4
hypno,1.6,75.6
krabby,0.4,6.5
kingler,1.3,60.0
voltorb,0.5,10.4
electrode,1.2,66.6
exeggcute,0.4,2.5
exeggutor,2.0,120.0
exeggutor_alola,10.9,415.6
cubone,0.4,6.5
marowak,1.0,45.0
marowak_alola,1.0,34.0
hitmonlee,1.5,49.8
hitmonchan,1.4,50.2
lickitung,1.2,65.5
koffing,0.6,1.0
weezing,1.2,9.5
weezing_galar,3.0,16.0
rhyhorn,1.0,115.0
rhydon,1.9,120.0
chansey,1.1,34.6
tangela,1.0,35.0
kangaskhan,2.2,80.0
kangaskhan_mega,2.2,100.0
horsea,0.4,8.0
seadra,1.2,25.0
goldeen,0.6,15.0
seaking,1.3,39.0
staryu,0.8,34.5
starmie,1.1,80.0
mr_mime,1.3,54.5
mr_mime_galar,1.4,56.8
scyther,1.5,56.0
jynx,1.4,40.6
electabuzz,1.1,30.0
magmar,1.3,44.5
pinsir,1.5,55.0
pinsir_mega,1.7,59.0
tauros,1.4,88.4
magikarp,0.9,10.0
gyarados,6.5,235.0
gyarados_mega,6.5,305.0
lapras,2.5,220.0
ditto,0.3,4.0
eevee,0.3,6.5
eevee_partner,0.3,6.5
vaporeon,1.0,29.0
jolteon,0.8,24.5
flareon,0.9,25.0
porygon,0.8,36.5
omanyte,0.4,7.5
omastar,1.0,35.0
kabuto,0.5,11.5
kabutops,1.3,40.5
aerodactyl,1.8,59.0
aerodactyl_mega,2.1,79.0
snorlax,2.1,460.0
articuno,1.7,55.4
articuno_galar,1.7,50.9
zapdos,1.6,52.6
zapdos_galar,1.6,58.2
moltres,2.0,60.0
moltres_galar,2.0,66.0
dratini,1.8,3.3
dragonair,4.0,16.5
dragonite,2.2,210.0
mewtwo,2.0,122.0
mewtwo_mega_x,2.3,127.0
