Dex Number,Sprite URL,Pokemon,Ability 1,Ability 2,Hidden,Introduced
1,//cdn2.bulbagarden.net/upload/2/21/001MS8.png,bulbasaur,overgrow,,chlorophyll,1
2,//cdn2.bulbagarden.net/upload/3/38/002MS8.png,ivysaur,overgrow,,chlorophyll,1
3,//cdn2.bulbagarden.net/upload/b/ba/003MS8.png,venusaur,overgrow,,chlorophyll,1
3,//cdn2.bulbagarden.net/upload/0/0e/003MMS6.png,venusaur-mega-venusaur,thick-fat,,,6
4,//cdn2.bulbagarden.net/upload/d/dc/004MS8.png,charmander,blaze,,solar-power,1
5,//cdn2.bulbagarden.net/upload/b/b8/005MS8.png,charmeleon,blaze,,solar-power,1
6,//cdn2.bulbagarden.net/upload/a/a4/006MS8.png,charizard,blaze,,solar-power,1
6,//cdn2.bulbagarden.net/upload/a/a6/006MXMS6.png,charizard-mega-charizard-x,tough-claws,,,6
6,//cdn2.bulbagarden.net/upload/2/26/006MYMS6.png,charizard-mega-charizard-y,drought,,,6
7,//cdn2.bulbagarden.net/upload/d/dc/007MS8.png,squirtle,torrent,,rain-dish,1
8,//cdn2.bulbagarden.net/upload/a/af/008MS8.png,wartortle,torrent,,rain-dish,1
9,//cdn2.bulbagarden.net/upload/f/f0/009MS8.png,blastoise,torrent,,rain-dish,1
9,//cdn2.bulbagarden.net/upload/0/0a/009MMS6.png,blastoise-mega-blastoise,mega-launcher,,,6
10,//cdn2.bulbagarden.net/upload/6/61/010MS8.png,caterpie,shield-dust,,run-away,1
11,//cdn2.bulbagarden.net/upload/f/f9/011MS8.png,metapod,shed-skin,,,1
12,//cdn2.bulbagarden.net/upload/f/fe/012MS8.png,butterfree,compound-eyes,,tinted-lens,1
13,//cdn2.bulbagarden.net/upload/b/bc/013MSPE.png,weedle,shield-dust,,run-away,1
14,//cdn2.bulbagarden.net/upload/7/70/014MSPE.png,kakuna,shed-skin,,,1
15,//cdn2.bulbagarden.net/upload/a/a2/015MSPE.png,beedrill,swarm,,sniper,1
15,//cdn2.bulbagarden.net/upload/4/4c/015MMS6.png,beedrill-mega-beedrill,adaptability,,,6
16,//cdn2.bulbagarden.net/upload/5/56/016MSPE.png,pidgey,keen-eye,tangled-feet,big-pecks,1
17,//cdn2.bulbagarden.net/upload/c/cc/017MSPE.png,pidgeotto,keen-eye,tangled-feet,big-pecks,1
18,//cdn2.bulbagarden.net/upload/9/93/018MSPE.png,pidgeot,keen-eye,tangled-feet,big-pecks,1
18,//cdn2.bulbagarden.net/upload/9/9b/018MMS6.png,pidgeot-mega-pidgeot,no-guard,,,6
19,//cdn2.bulbagarden.net/upload/7/7a/019MSPE.png,rattata,run-away,guts,hustle,1
19,//cdn2.bulbagarden.net/upload/4/45/019AMSPE.png,rattata-alolan-rattata,gluttony,hustle,thick-fat,7
20,//cdn2.bulbagarden.net/upload/7/77/020MSPE.png,raticate,run-away,guts,hustle,1
20,//cdn2.bulbagarden.net/upload/6/61/020AMSPE.png,raticate-alolan-raticate,gluttony,hustle,thick-fat,7
21,//cdn2.bulbagarden.net/upload/a/af/021MSPE.png,spearow,keen-eye,,sniper,1
22,//cdn2.bulbagarden.net/upload/7/76/022MSPE.png,fearow,keen-eye,,sniper,1
23,//cdn2.bulbagarden.net/upload/a/a7/023MSPE.png,ekans,intimidate,shed-skin,unnerve,1
24,//cdn2.bulbagarden.net/upload/2/2c/024MSPE.png,arbok,intimidate,shed-skin,unnerve,1
172,//cdn2.bulbagarden.net/upload/b/be/172MS8.png,pichu,static,,lightning-rod,2
172,//cdn2.bulbagarden.net/upload/b/be/172MS8.png,pichu-spiky-eared-pichu,static,,,2
25,//cdn2.bulbagarden.net/upload/6/66/025MS8.png,pikachu,static,,lightning-rod,1
25,//cdn2.bulbagarden.net/upload/0/0e/025CoMS6.png,pikachu-cosplay-pikachu,lightning-rod,,,7
25,//cdn2.bulbagarden.net/upload/b/b6/025OMS8.png,pikachu-pikachu-in-a-cap,static,,,7
26,//cdn2.bulbagarden.net/upload/b/b5/026MS8.png,raichu,static,,lightning-rod,1
26,//cdn2.bulbagarden.net/upload/9/9f/026AMS8.png,raichu-alolan-raichu,surge-surfer,,,7
27,//cdn2.bulbagarden.net/upload/a/ac/027MS8.png,sandshrew,sand-veil,,sand-rush,1
27,//cdn2.bulbagarden.net/upload/4/4c/027AMS8.png,sandshrew-alolan-sandshrew,snow-cloak,,slush-rush,7
28,//cdn2.bulbagarden.net/upload/b/b6/028MS8.png,sandslash,sand-veil,,sand-rush,1
28,//cdn2.bulbagarden.net/upload/8/81/028AMS8.png,sandslash-alolan-sandslash,snow-cloak,,slush-rush,7
29,//cdn2.bulbagarden.net/upload/8/89/029MS8.png,nidoran-female,poison-point,rivalry,hustle,1
30,//cdn2.bulbagarden.net/upload/9/9e/030MS8.png,nidorina,poison-point,rivalry,hustle,1
31,//cdn2.bulbagarden.net/upload/8/8d/031MS8.png,nidoqueen,poison-point,rivalry,sheer-force,1
32,//cdn2.bulbagarden.net/upload/4/4a/032MS8.png,nidoran-male,poison-point,rivalry,hustle,1
33,//cdn2.bulbagarden.net/upload/7/75/033MS8.png,nidorino,poison-point,rivalry,hustle,1
34,//cdn2.bulbagarden.net/upload/8/8a/034MS8.png,nidoking,poison-point,rivalry,sheer-force,1
173,//cdn2.bulbagarden.net/upload/e/e0/173MS8.png,cleffa,cute-charm,magic-guard,friend-guard,2
35,//cdn2.bulbagarden.net/upload/c/cf/035MS8.png,clefairy,cute-charm,magic-guard,friend-guard,1
36,//cdn2.bulbagarden.net/upload/9/97/036MS8.png,clefable,cute-charm,magic-guard,unaware,1
37,//cdn2.bulbagarden.net/upload/6/6d/037MS8.png,vulpix,flash-fire,,drought,1
37,//cdn2.bulbagarden.net/upload/2/2f/037AMS8.png,vulpix-alolan-vulpix,snow-cloak,,snow-warning,7
38,//cdn2.bulbagarden.net/upload/6/61/038MS8.png,ninetales,flash-fire,,drought,1
38,//cdn2.bulbagarden.net/upload/9/95/038AMS8.png,ninetales-alolan-ninetales,snow-cloak,,snow-warning,7
174,//cdn2.bulbagarden.net/upload/9/95/174MS8.png,igglybuff,cute-charm,competitive,friend-guard,2
39,//cdn2.bulbagarden.net/upload/f/f3/039MS8.png,jigglypuff,cute-charm,competitive,friend-guard,1
40,//cdn2.bulbagarden.net/upload/c/c6/040MS8.png,wigglytuff,cute-charm,competitive,frisk,1
41,//cdn2.bulbagarden.net/upload/0/0c/041MS8.png,zubat,inner-focus,,infiltrator,1
42,//cdn2.bulbagarden.net/upload/c/ce/042MS8.png,golbat,inner-focus,,infiltrator,1
169,//cdn2.bulbagarden.net/upload/f/fa/169MS8.png,crobat,inner-focus,,infiltrator,2
43,//cdn2.bulbagarden.net/upload/6/68/043MS8.png,oddish,chlorophyll,,run-away,1
44,//cdn2.bulbagarden.net/upload/f/f5/044MS8.png,gloom,chlorophyll,,stench,1
45,//cdn2.bulbagarden.net/upload/a/a5/045MS8.png,vileplume,chlorophyll,,effect-spore,1
182,//cdn2.bulbagarden.net/upload/c/c9/182MS8.png,bellossom,chlorophyll,,healer,2
46,//cdn2.bulbagarden.net/upload/6/6a/046MSPE.png,paras,effect-spore,dry-skin,damp,1
47,//cdn2.bulbagarden.net/upload/4/40/047MSPE.png,parasect,effect-spore,dry-skin,damp,1
48,//cdn2.bulbagarden.net/upload/3/30/048MSPE.png,venonat,compound-eyes,tinted-lens,run-away,1
49,//cdn2.bulbagarden.net/upload/a/a7/049MSPE.png,venomoth,shield-dust,tinted-lens,wonder-skin,1
50,//cdn2.bulbagarden.net/upload/f/f1/050MS8.png,diglett,sand-veil,arena-trap,sand-force,1
50,//cdn2.bulbagarden.net/upload/3/31/050AMS8.png,diglett-alolan-diglett,sand-veil,tangling-hair,sand-force,7
51,//cdn2.bulbagarden.net/upload/2/2a/051MS8.png,dugtrio,sand-veil,arena-trap,sand-force,1
