Ability Name,Gen,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
adaptability,4,Powers up moves of the same type.,Powers up moves of the same type as the Pokemon.,,,,,,,,,,,,,,,,,,,
aerilate,6,Normal-type moves become Flying-type moves.,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.,,,,,,,,,,,,,,,,,,,
aftermath,4,Damages the foe landing the finishing hit.,Damages the attacker landing the finishing hit.,Damages the attacker if it contacts the Pokemon with a finishing hit.,,,,,,,,,,,,,,,,,,
air_lock,3,Negates weather effects.,Eliminates the effects of weather.,,,,,,,,,,,,,,,,,,,
analytic,5,Boosts move power when the Pokemon moves last.,Boosts move power when the Pokemon moves after the target.,Boosts move power when the Pokemon moves last.,,,,,,,,,,,,,,,,,,
anger_point,4,Raises Attack upon taking a critical hit.,Maxes Attack after taking a critical hit.,Maxes the Attack stat after the Pokemon takes a critical hit.,"The Pokemon is angered when it takes a critical hit, and that maxes its Attack stat.",,,,,,,,,,,,,,,,,
anticipation,4,Senses the foe's dangerous moves.,Senses a foe's dangerous moves.,Senses an opposing Pokemon's dangerous moves.,The Pokemon can sense an opposing Pokemon's dangerous moves.,,,,,,,,,,,,,,,,,
arena_trap,3,Prevents fleeing.,Prevents the foe's escape.,Prevents the foe from fleeing.,Prevents opposing Pokemon from fleeing.,,,,,,,,,,,,,,,,,
aroma_veil,6,Protects allies from attacks that limit their move choices.,Protects itself and its allies from attacks that limit their move choices.,,,,,,,,,,,,,,,,,,,
as_one_glastrier,8,This Ability combines the effects of both Calyrex's Unnerve Ability and Glastrier's Chilling Neigh Ability.,,,,,,,,,,,,,,,,,,,,
as_one_spectrier,8,This Ability combines the effects of both Calyrex's Unnerve Ability and Spectrier's Grim Neigh Ability.,,,,,,,,,,,,,,,,,,,,
aura_break,6,"The effects of ""Aura"" Abilities are reversed.","The effects of ""Aura"" Abilities are reversed to lower the power of affected moves.",,,,,,,,,,,,,,,,,,,
bad_dreams,4,Reduces a sleeping foe's HP.,Reduces the HP of sleeping opposing Pokemon.,,,,,,,,,,,,,,,,,,,
ball_fetch,8,"If the Pokemon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.",,,,,,,,,,,,,,,,,,,,
battery,7,Powers up ally Pokemon's special moves.,,,,,,,,,,,,,,,,,,,,
battle_armor,3,Blocks critical hits.,The Pokemon is protected against critical hits.,Protects the Pokemon from critical hits.,Hard armor protects the Pokemon from critical hits.,,,,,,,,,,,,,,,,,
battle_bond,7,"Defeating an opposing Pokemon strengthens the Pokemon's bond with its Trainer, and it becomes Ash-Greninja. Water Shuriken gets more powerful.",,,,,,,,,,,,,,,,,,,,
beast_boost,7,The Pokemon boosts its most proficient stat each time it knocks out a Pokemon.,,,,,,,,,,,,,,,,,,,,
berserk,7,Boosts the Pokemon's Sp. Atk stat when it takes a hit that causes its HP to become half or less.,,,,,,,,,,,,,,,,,,,,
big_pecks,5,Protects the Pokemon from Defense-lowering attacks.,Protects the Pokemon from Defense-lowering effects.,,,,,,,,,,,,,,,,,,,
blaze,3,Ups Fire moves in a pinch.,Powers up Fire-type moves in a pinch.,Powers up Fire-type moves when the Pokemon is in trouble.,Powers up Fire-type moves when the Pokemon's HP is low.,,,,,,,,,,,,,,,,,
bulletproof,6,Protects the Pokemon from some ball and bomb moves.,,,,,,,,,,,,,,,,,,,,
cheek_pouch,6,Restores HP as well when the Pokemon eats a Berry.,,,,,,,,,,,,,,,,,,,,
chilling_neigh,8,"When the Pokemon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.",,,,,,,,,,,,,,,,,,,,
chlorophyll,3,Raises Speed in sunshine.,Boosts the Pokemon's Speed in sunshine.,Boosts the Pokemon's Speed stat in sunshine.,Boosts the Pokemon's Speed stat in harsh sunlight.,,,,,,,,,,,,,,,,,
clear_body,3,Prevents ability reduction.,Prevents the Pokemon's stats from being lowered.,Prevents its stats from being lowered.,Prevents other Pokemon from lowering its stats.,Prevents other Pokemon's moves or Abilities from lowering the Pokemon's stats.,,,,,,,,,,,,,,,,
cloud_nine,3,Negates weather effects.,Eliminates the effects of weather.,,,,,,,,,,,,,,,,,,,
color_change,3,Changes type to foe's move.,Changes type to target's move.,Changes the Pokemon's type to the foe's move.,The Pokemon's type becomes the type of the move used on it.,,,,,,,,,,,,,,,,,
comatose,7,It's always drowsing and will never wake up. It can attack without waking up.,,,,,,,,,,,,,,,,,,,,
competitive,6,Boosts the Sp. Atk stat when a stat is lowered.,Boosts the Sp. Atk stat sharply when a stat is lowered.,,,,,,,,,,,,,,,,,,,
compound_eyes,3,Raises accuracy.,The Pokemon's accuracy is boosted.,Boosts the Pokemon's accuracy.,The Pokemon's compound eyes boost its accuracy.,,,,,,,,,,,,,,,,,
contrary,5,Makes stat changes have an opposite effect.,,,,,,,,,,,,,,,,,,,,
corrosion,7,The Pokemon can poison the target even if it's a Steel or Poison type.,,,,,,,,,,,,,,,,,,,,
cotton_down,8,"When the Pokemon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokemon except itself.",,,,,,,,,,,,,,,,,,,,
curious_medicine,8,"When the Pokemon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.",,,,,,,,,,,,,,,,,,,,
cursed_body,5,May disable a move used on the Pokemon.,,,,,,,,,,,,,,,,,,,,
cute_charm,3,Infatuates on contact.,Contact with the Pokemon may cause infatuation.,,,,,,,,,,,,,,,,,,,
damp,3,Prevents self-destruction.,Prevents combatants from self destructing.,Prevents combatants from self-destructing.,Prevents the use of self-destructing moves.,Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",,,,,,,,,,,,,,,
dancer,7,"When another Pokemon uses a dance move, it can use a dance move following it regardless of its Speed.",,,,,,,,,,,,,,,,,,,,
dark_aura,6,Powers up each Pokemon's Dark-type moves.,,,,,,,,,,,,,,,,,,,,
dauntless_shield,8,Boosts the Pokemon's Defense stat when the Pokemon enters a battle.,,,,,,,,,,,,,,,,,,,,
dazzling,7,"Surprises the opposing Pokemon, making it unable to attack using priority moves.",,,,,,,,,,,,,,,,,,,,
defeatist,5,Lowers stats when HP becomes half or less.,Halves the Pokemon's Attack and Sp. Atk stats when its HP becomes half or less.,,,,,,,,,,,,,,,,,,,
defiant,5,When its stats are lowered its Attack increases.,Boosts the Pokemon's Attack stat when its stats are lowered.,Boosts the Pokemon's Attack stat sharply when its stats are lowered.,,,,,,,,,,,,,,,,,,
delta_stream,6,Affects weather and eliminates all of the Flying type's weaknesses.,The Pokemon changes the weather to eliminate all of the Flying type's weaknesses.,,,,,,,,,,,,,,,,,,,
desolate_land,6,Affects weather and nullifies any Water-type attacks.,The Pokemon changes the weather to nullify Water-type attacks.,,,,,,,,,,,,,,,,,,,
disguise,7,"Once per battle, the shroud that covers the Pokemon can protect it from an attack.",,,,,,,,,,,,,,,,,,,,
download,4,Adjusts power according to the foe's ability.,Adjusts power according to a foe's defenses.,Adjusts power based on an opposing Pokemon's stats.,Compares an opposing Pokemon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.,,,,,,,,,,,,,,,,,
dragons_maw,8,Powers up Dragon-type moves.,,,,,,,,,,,,,,,,,,,,
drizzle,3,Summons rain in battle.,The Pokemon makes it rain if it appears in battle.,The Pokemon makes it rain when it enters a battle.,,,,,,,,,,,,,,,,,,
drought,3,Summons sunlight in battle.,The Pokemon makes it sunny if it appears in battle.,Turns the sunlight harsh if it is in battle.,Turns the sunlight harsh when the Pokemon enters a battle.,,,,,,,,,,,,,,,,,
dry_skin,4,Reduces HP if it is hot. Water restores HP.,Reduces HP if it's hot. Water restores HP.,"Restores HP in rain or when hit by Water-type moves. Reduces HP in sunshine, and increases the damage received from Fire-type moves.","Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",,,,,,,,,,,,,,,,,
early_bird,3,Awakens quickly from sleep.,The Pokemon awakens quickly from sleep.,The Pokemon awakens twice as fast as other Pokemon from sleep.,The Pokemon awakens from sleep twice as fast as other Pokemon.,,,,,,,,,,,,,,,,,
effect_spore,3,Leaves spores on contact.,"Contact may paralyze, poison, or cause sleep.",Contact may poison or cause paralysis or sleep.,"Contact with the Pokemon may inflict poison, sleep, or paralysis on its attacker.",,,,,,,,,,,,,,,,,
electric_surge,7,Turns the ground into Electric Terrain when the Pokemon enters a battle.,,,,,,,,,,,,,,,,,,,,
emergency_exit,7,"The Pokemon, sensing danger, switches out when its HP becomes half or less.",,,,,,,,,,,,,,,,,,,,
fairy_aura,6,Powers up each Pokemon's Fairy-type moves.,,,,,,,,,,,,,,,,,,,,
filter,4,Powers down super-effective moves.,Reduces damage from supereffective attacks.,Reduces the power of supereffective attacks taken.,,,,,,,,,,,,,,,,,,
flame_body,3,Burns the foe on contact.,Burns the target on contact.,Contact with the Pokemon may burn the foe.,Contact with the Pokemon may burn the attacker.,,,,,,,,,,,,,,,,,
flare_boost,5,Powers up special attacks when burned.,Powers up special attacks when the Pokemon is burned.,,,,,,,,,,,,,,,,,,,
flash_fire,3,Powers up if hit by fire.,Powers up Fire-type moves if hit by a Fire move.,It powers up Fire-type moves if it's hit by one.,Powers up the Pokemon's Fire-type moves if it's hit by one.,,,,,,,,,,,,,,,,,
flower_gift,4,Powers up party Pokemon when it is sunny.,Powers up party Pokemon when it's sunny.,Boosts the Attack and Sp. Def stats of itself and allies when it is sunny.,Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight.,,,,,,,,,,,,,,,,,
flower_veil,6,Prevents lowering of ally Grass-type Pokemon's stats.,Ally Grass-type Pokemon are protected from status conditions and the lowering of their stats.,,,,,,,,,,,,,,,,,,,
fluffy,7,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.",,,,,,,,,,,,,,,,,,,,
forecast,3,Changes with the weather.,Castform transforms with the weather.,"The Pokemon transforms with the weather to change its type to Water, Fire, or Ice.",,,,,,,,,,,,,,,,,,
forewarn,4,Determines what moves the foe has.,Determines what moves a foe has.,Determines what moves an opposing Pokemon has.,"When it enters a battle, the Pokemon can tell one of the moves an opposing Pokemon has.",,,,,,,,,,,,,,,,,
friend_guard,5,Reduces damage done to allies.,,,,,,,,,,,,,,,,,,,,
frisk,4,The Pokemon can check the foe's held item.,The Pokemon can check a foe's held item.,The Pokemon can check an opposing Pokemon's held item.,"When it enters a battle, the Pokemon can check an opposing Pokemon's held item.",,,,,,,,,,,,,,,,,
full_metal_body,7,Prevents other Pokemon's moves or Abilities from lowering the Pokemon's stats.,,,,,,,,,,,,,,,,,,,,
fur_coat,6,Halves damage from physical moves.,Halves the damage from physical moves.,,,,,,,,,,,,,,,,,,,
gale_wings,6,Gives priority to Flying-type moves.,Gives priority to Flying-type moves when the Pokemon's HP is full.,,,,,,,,,,,,,,,,,,,
galvanize,7,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.,,,,,,,,,,,,,,,,,,,,
gluttony,4,Encourages the early use of a held Berry.,Makes the Pokemon use a held Berry earlier than usual.,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",,,,,,,,,,,,,,,,,,
gooey,6,Contact with the Pokemon lowers the attacker's Speed stat.,,,,,,,,,,,,,,,,,,,,
gorilla_tactics,8,Boosts the Pokemon's Attack stat but only allows the use of the first selected move.,,,,,,,,,,,,,,,,,,,,
grass_pelt,6,Boosts the Defense stat in Grassy Terrain.,Boosts the Pokemon's Defense stat in Grassy Terrain.,Boosts the Pokemon's Defense stat on Grassy Terrain.,,,,,,,,,,,,,,,,,,
grassy_surge,7,Turns the ground into Grassy Terrain when the Pokemon enters a battle.,,,,,,,,,,,,,,,,,,,,
grim_neigh,8,"When the Pokemon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.",,,,,,,,,,,,,,,,,,,,
gulp_missile,8,"When the Pokemon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.",,,,,,,,,,,,,,,,,,,,
guts,3,Ups Attack if suffering.,Boosts Attack if there is a status problem.,Boosts the Attack stat if the Pokemon has a status condition.,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,,,,,,,,,,,,,,,,,
harvest,5,May create another Berry after one is used.,,,,,,,,,,,,,,,,,,,,
healer,5,May heal an ally's status conditions.,Sometimes heals an ally's status condition.,,,,,,,,,,,,,,,,,,,
heatproof,4,Weakens the power of Fire-type moves.,The heatproof body of the Pokemon halves the damage from Fire-type moves that hit it.,,,,,,,,,,,,,,,,,,,
heavy_metal,5,Doubles the Pokemon's weight.,,,,,,,,,,,,,,,,,,,,
honey_gather,4,The Pokemon may gather Honey from somewhere.,The Pokemon may gather Honey after a battle.,,,,,,,,,,,,,,,,,,,
huge_power,3,Raises Attack.,Raises the Pokemon's Attack stat.,Boosts the Pokemon's Attack stat.,Doubles the Pokemon's Attack stat.,,,,,,,,,,,,,,,,,
hunger_switch,8,"The Pokemon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of each turn.",,,,,,,,,,,,,,,,,,,,
hustle,3,Trades accuracy for power.,"Boosts the Attack stat, but lowers accuracy.",,,,,,,,,,,,,,,,,,,
hydration,4,Heals status problems if it is raining.,Heals status conditions if it's raining.,,,,,,,,,,,,,,,,,,,
hyper_cutter,3,Prevents Attack reduction.,Prevents the Attack stat from being lowered.,Prevents other Pokemon from lowering Attack stat.,Prevents other Pokemon from lowering its Attack stat.,The Pokemon's proud of its powerful pincers. They prevent other Pokemon from lowering its Attack stat.,,,,,,,,,,,,,,,,
ice_body,4,The Pokemon regains HP in a hailstorm.,The Pokemon gradually regains HP in a hailstorm.,,,,,,,,,,,,,,,,,,,
ice_face,8,"The Pokemon's ice head can take a physical attack as a substitute, but the attack also changes the Pokemon's appearance. The ice will be restored when it hails.",,,,,,,,,,,,,,,,,,,,
ice_scales,8,"The Pokemon is protected by ice scales, which halve the damage taken from special moves.",,,,,,,,,,,,,,,,,,,,
illuminate,3,Encounter rate increases.,Raises the likelihood of meeting wild Pokemon.,Raises the likelihood of meeting wild Pokemon by illuminating the surroundings.,,,,,,,,,,,,,,,,,,
illusion,5,Comes out disguised as the Pokemon in back.,Comes out disguised as the Pokemon in the party's last spot.,,,,,,,,,,,,,,,,,,,
immunity,3,Prevents poisoning.,Prevents the Pokemon from getting poisoned.,The immune system of the Pokemon prevents it from getting poisoned.,,,,,,,,,,,,,,,,,,
imposter,5,It transforms itself into the Pokemon it is facing.,The Pokemon transforms itself into the Pokemon it's facing.,,,,,,,,,,,,,,,,,,,
infiltrator,5,Passes through the foe's barrier and strikes.,Passes through the opposing Pokemon's barrier and strikes.,"Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.",,,,,,,,,,,,,,,,,,
innards_out,7,Damages the attacker landing the finishing hit by the amount equal to its last HP.,,,,,,,,,,,,,,,,,,,,
inner_focus,3,Prevents flinching.,The Pokemon is protected from flinching.,Protects the Pokemon from flinching.,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",,,,,,,,,,,,,,,,,
insomnia,3,Prevents sleep.,Prevents the Pokemon from falling asleep.,The Pokemon is suffering from insomnia and cannot fall asleep.,,,,,,,,,,,,,,,,,,
intimidate,3,Lowers the foe's Attack.,Lowers the foe's Attack stat.,Lowers the opposing Pokemon's Attack stat.,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",,,,,,,,,,,,,,,,,
intrepid_sword,8,Boosts the Pokemon's Attack stat when the Pokemon enters a battle.,,,,,,,,,,,,,,,,,,,,
iron_barbs,5,Inflicts damage to the Pokemon on contact.,Inflicts damage to the attacker on contact.,Inflicts damage to the attacker on contact with iron barbs.,Inflicts damage on the attacker upon contact with iron barbs.,,,,,,,,,,,,,,,,,
iron_fist,4,Boosts the power of punching moves.,Powers up punching moves.,,,,,,,,,,,,,,,,,,,
justified,5,Raises Attack when hit by a Dark-type move.,Boosts the Attack stat when it's hit by a Dark-type move.,"Being hit by a Dark-type move boosts the Attack stat of the Pokemon, for justice.",,,,,,,,,,,,,,,,,,
keen_eye,3,Prevents loss of accuracy.,Prevents the Pokemon from losing accuracy.,Prevents other Pokemon from lowering accuracy.,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,,,,,,,,,,,,,,,,,
klutz,4,The Pokemon can't use any held items.,,,,,,,,,,,,,,,,,,,,
leaf_guard,4,Prevents status problems in sunny weather.,Prevents problems with status in sunny weather.,Prevents status conditions in sunny weather.,Prevents status conditions in harsh sunlight.,,,,,,,,,,,,,,,,,
levitate,3,Not hit by Ground attacks.,Gives full immunity to all Ground-type moves.,"By floating in the air, the Pokemon receives full immunity to all Ground-type moves.",,,,,,,,,,,,,,,,,,
libero,8,Changes the Pokemon's type to the type of the move it's about to use.,,,,,,,,,,,,,,,,,,,,
light_metal,5,Halves the Pokemon's weight.,,,,,,,,,,,,,,,,,,,,
lightning_rod,3,Draws electrical moves.,The Pokemon draws in all Electric-type moves.,Draws in all Electric-type moves to up Sp. Attack.,Draws in all Electric-type moves to boost its Sp. Atk stat.,"The Pokemon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",,,,,,,,,,,,,,,,
limber,3,Prevents paralysis.,The Pokemon is protected from paralysis.,Protects the Pokemon from paralysis.,Its limber body protects the Pokemon from paralysis.,,,,,,,,,,,,,,,,,
liquid_ooze,3,Draining causes injury.,Inflicts damage on foes using any draining move.,Damages attackers using any draining move.,"Oozed liquid has strong stench, which damages attackers using any draining move.","The oozed liquid has a strong stench, which damages attackers using any draining move.",,,,,,,,,,,,,,,,
liquid_voice,7,All sound-based moves become Water-type moves.,,,,,,,,,,,,,,,,,,,,
long_reach,7,The Pokemon uses its moves without making contact with the target.,,,,,,,,,,,,,,,,,,,,
magic_bounce,5,Reflects status-changing moves.,Reflects status moves.,"Reflects status moves, instead of getting hit by them.",Reflects status moves instead of getting hit by them.,,,,,,,,,,,,,,,,,
magic_guard,4,The Pokemon only takes damage from attacks.,,,,,,,,,,,,,,,,,,,,
magician,6,The Pokemon steals the held item of a Pokemon it hits with a move.,,,,,,,,,,,,,,,,,,,,
magma_armor,3,Prevents freezing.,Prevents the Pokemon from becoming frozen.,"The Pokemon is covered with hot magma, which prevents the Pokemon from becoming frozen.",,,,,,,,,,,,,,,,,,
