Ability Name,RB,Y,Stad,GS,C,Stad2,RS,E,Colo,XD,FRLG,DP,Pt,HGSS,PBR,BW,B2W2,XY,ORAS,SM,USUM,PE,SwSh,BDSP
adaptability,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1
aerilate,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
aftermath,,,,,,,,,,,,0,0,0,0,1,1,1,1,2,2,2,2,2
air_lock,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
analytic,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,2,2
anger_point,,,,,,,,,,,,0,0,0,0,1,1,2,2,3,3,3,3,3
anticipation,,,,,,,,,,,,0,0,0,0,1,1,2,2,3,3,3,3,3
arena_trap,,,,,,,0,0,1,1,0,2,2,2,2,2,2,3,3,3,3,3,3,3
aroma_veil,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
as_one_glastrier,,,,,,,,,,,,,,,,,,,,,,,0,0
as_one_spectrier,,,,,,,,,,,,,,,,,,,,,,,0,0
aura_break,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
bad_dreams,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1
ball_fetch,,,,,,,,,,,,,,,,,,,,,,,0,0
battery,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
battle_armor,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
battle_bond,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
beast_boost,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
berserk,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
big_pecks,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1
blaze,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
bulletproof,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
cheek_pouch,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
chilling_neigh,,,,,,,,,,,,,,,,,,,,,,,0,0
chlorophyll,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,2,3,3
clear_body,,,,,,,0,0,0,0,0,1,1,2,1,3,3,3,3,4,4,4,4,4
cloud_nine,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
color_change,,,,,,,0,0,1,1,0,2,2,2,2,2,2,3,3,3,3,3,3,3
comatose,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
competitive,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
compound_eyes,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
contrary,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
corrosion,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
cotton_down,,,,,,,,,,,,,,,,,,,,,,,0,0
curious_medicine,,,,,,,,,,,,,,,,,,,,,,,0,0
cursed_body,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
cute_charm,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
damp,,,,,,,0,0,0,0,0,1,1,2,1,3,3,3,3,4,4,4,5,5
dancer,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
dark_aura,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
dauntless_shield,,,,,,,,,,,,,,,,,,,,,,,0,0
dazzling,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
defeatist,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1
defiant,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,2,2
delta_stream,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
desolate_land,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
disguise,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
download,,,,,,,,,,,,0,0,0,0,1,1,2,2,3,3,3,3,3
dragons_maw,,,,,,,,,,,,,,,,,,,,,,,0,0
drizzle,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2
drought,,,,,,,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,3,3,3
dry_skin,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,3,2,3,3
early_bird,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,3
effect_spore,,,,,,,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3
electric_surge,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
emergency_exit,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
fairy_aura,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
filter,,,,,,,,,,,,0,0,1,0,1,1,1,1,2,2,2,2,2
flame_body,,,,,,,0,0,1,1,0,2,2,2,2,3,3,3,3,3,3,3,3,3
flare_boost,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
flash_fire,,,,,,,0,0,0,0,0,1,1,2,1,2,2,3,3,3,3,3,3,3
flower_gift,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,3,2,3,3
flower_veil,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
fluffy,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
forecast,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
forewarn,,,,,,,,,,,,0,0,0,0,1,1,2,2,3,3,3,3,3
friend_guard,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
frisk,,,,,,,,,,,,0,0,0,0,1,1,2,2,3,3,3,3,3
full_metal_body,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
fur_coat,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
gale_wings,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
galvanize,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
gluttony,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2,2
gooey,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
gorilla_tactics,,,,,,,,,,,,,,,,,,,,,,,0,0
grass_pelt,,,,,,,,,,,,,,,,,,0,0,1,1,1,2,2
grassy_surge,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
grim_neigh,,,,,,,,,,,,,,,,,,,,,,,0,0
gulp_missile,,,,,,,,,,,,,,,,,,,,,,,0,0
guts,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
harvest,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
healer,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
heatproof,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1
heavy_metal,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
honey_gather,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1
huge_power,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
hunger_switch,,,,,,,,,,,,,,,,,,,,,,,0,0
hustle,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
hydration,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1
hyper_cutter,,,,,,,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,4,4,4
ice_body,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1
ice_face,,,,,,,,,,,,,,,,,,,,,,,0,0
ice_scales,,,,,,,,,,,,,,,,,,,,,,,0,0
illuminate,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
illusion,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
immunity,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
imposter,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
infiltrator,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,2,2
innards_out,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
inner_focus,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
insomnia,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
intimidate,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
intrepid_sword,,,,,,,,,,,,,,,,,,,,,,,0,0
iron_barbs,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,3,3
iron_fist,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1
justified,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,2,2
keen_eye,,,,,,,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3
klutz,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
leaf_guard,,,,,,,,,,,,0,0,1,0,1,1,2,2,2,3,2,3,3
levitate,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
libero,,,,,,,,,,,,,,,,,,,,,,,0,0
light_metal,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
lightning_rod,,,,,,,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,4,4,4
limber,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
liquid_ooze,,,,,,,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4
liquid_voice,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
long_reach,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
magic_bounce,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,3,3
magic_guard,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
magician,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
magma_armor,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
magnet_pull,,,,,,,0,0,1,1,0,2,2,2,2,2,2,2,2,3,3,3,3,3
marvel_scale,,,,,,,0,0,0,0,0,1,1,2,1,2,2,3,3,4,4,4,4,4
mega_launcher,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
merciless,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
mimicry,,,,,,,,,,,,,,,,,,,,,,,0,0
minus,,,,,,,0,0,0,0,0,1,1,2,1,3,3,4,4,5,5,5,5,5
mirror_armor,,,,,,,,,,,,,,,,,,,,,,,0,0
misty_surge,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
mold_breaker,,,,,,,,,,,,0,0,0,0,1,1,2,2,2,2,2,2,2
moody,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1
motor_drive,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,3,3
moxie,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,2,2
multiscale,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,3,3
multitype,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2,2
mummy,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,2,2
natural_cure,,,,,,,0,0,0,0,0,1,1,2,1,2,2,3,3,3,3,3,3,3
neuroforce,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
neutralizing_gas,,,,,,,,,,,,,,,,,,,,,,,0,0
no_guard,,,,,,,,,,,,0,0,1,0,2,2,2,2,3,3,3,3,3
normalize,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2,2
oblivious,,,,,,,0,0,0,0,0,1,1,2,1,2,2,3,3,4,4,4,4,4
overcoat,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,2,2
overgrow,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
own_tempo,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
parental_bond,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
pastel_veil,,,,,,,,,,,,,,,,,,,,,,,0,0
perish_body,,,,,,,,,,,,,,,,,,,,,,,0,0
pickpocket,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
pickup,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
pixilate,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
plus,,,,,,,0,0,0,0,0,1,1,2,1,3,3,4,4,5,5,5,5,5
poison_heal,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,2,2
poison_point,,,,,,,0,0,1,1,0,2,2,2,2,3,3,3,3,3,3,3,3,3
poison_touch,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
power_construct,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
power_of_alchemy,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
power_spot,,,,,,,,,,,,,,,,,,,,,,,0,0
prankster,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
pressure,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
primordial_sea,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
prism_armor,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
propeller_tail,,,,,,,,,,,,,,,,,,,,,,,0,0
protean,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
psychic_surge,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
punk_rock,,,,,,,,,,,,,,,,,,,,,,,0,0
pure_power,,,,,,,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,4,4,4
queenly_majesty,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
quick_draw,,,,,,,,,,,,,,,,,,,,,,,0,0
quick_feet,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1
rain_dish,,,,,,,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2
rattled,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,2,2
receiver,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
reckless,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
refrigerate,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
regenerator,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ripen,,,,,,,,,,,,,,,,,,,,,,,0,0
rivalry,,,,,,,,,,,,0,0,0,0,1,1,2,2,3,3,3,3,3
rks_system,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
rock_head,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
rough_skin,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
run_away,,,,,,,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2
sand_force,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1
sand_rush,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
sand_spit,,,,,,,,,,,,,,,,,,,,,,,0,0
sand_stream,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
sand_veil,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2
sap_sipper,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,3,3
schooling,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
scrappy,,,,,,,,,,,,0,0,0,0,1,1,2,2,3,3,3,3,3
screen_cleaner,,,,,,,,,,,,,,,,,,,,,,,0,0
serene_grace,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
shadow_shield,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
shadow_tag,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
shed_skin,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
sheer_force,,,,,,,,,,,,,,,,0,0,1,1,2,2,2,2,2
shell_armor,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
shield_dust,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
shields_down,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
simple,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1
skill_link,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,3,3
slow_start,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2,2
slush_rush,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
sniper,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1
snow_cloak,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,2,2
snow_warning,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1
solar_power,,,,,,,,,,,,0,0,0,0,1,1,2,2,3,4,3,4,4
solid_rock,,,,,,,,,,,,0,0,1,0,1,1,1,1,2,2,2,2,2
soul_heart,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
soundproof,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,3
speed_boost,,,,,,,0,0,0,0,0,1,1,2,1,2,2,2,2,3,3,3,3,3
stakeout,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
stall,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1
stalwart,,,,,,,,,,,,,,,,,,,,,,,0,0
stamina,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
stance_change,,,,,,,,,,,,,,,,,,0,0,1,1,1,2,2
static,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
steadfast,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2,2
steam_engine,,,,,,,,,,,,,,,,,,,,,,,0,0
steelworker,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
steely_spirit,,,,,,,,,,,,,,,,,,,,,,,0,0
stench,,,,,,,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3
sticky_hold,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
storm_drain,,,,,,,,,,,,0,0,0,0,1,1,2,2,3,3,3,3,3
strong_jaw,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
sturdy,,,,,,,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3
suction_cups,,,,,,,0,0,0,0,0,1,1,2,1,3,3,4,4,5,5,5,5,5
super_luck,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2,2
surge_surfer,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
swarm,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
sweet_veil,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
swift_swim,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2
symbiosis,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1
synchronize,,,,,,,0,0,0,0,0,1,1,2,1,2,2,3,3,4,4,4,4,4
tangled_feet,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,2,2
tangling_hair,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
technician,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
telepathy,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
teravolt,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
thick_fat,,,,,,,0,0,0,0,0,1,1,2,1,2,2,3,3,4,4,4,4,4
tinted_lens,,,,,,,,,,,,0,0,0,0,1,1,1,1,2,2,2,2,2
torrent,,,,,,,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3
tough_claws,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
toxic_boost,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
trace,,,,,,,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,4,4,4
transistor,,,,,,,,,,,,,,,,,,,,,,,0,0
triage,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
truant,,,,,,,0,0,0,0,0,1,1,2,1,2,2,3,3,4,4,4,5,5
turboblaze,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
unaware,,,,,,,,,,,,0,0,0,0,1,1,2,2,3,3,3,3,3
unburden,,,,,,,,,,,,0,0,0,0,1,1,2,2,3,3,3,3,3
unnerve,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
unseen_fist,,,,,,,,,,,,,,,,,,,,,,,0,0
victory_star,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
vital_spirit,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
