Berry Name,RB,Y,Stad,GS,C,Stad2,RS,E,Colo,XD,FRLG,DP,Pt,HGSS,PBR,BW,B2W2,XY,ORAS,SM,USUM,PE,SwSh,BDSP
cheri_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
chesto_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
pecha_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
rawst_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
aspear_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
leppa_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,7,7,7,7,7
oran_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
persim_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
lum_berry,,,,,,,0,2,3,3,1,4,4,5,4,6,6,7,7,8,8,8,8,8
sitrus_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
figy_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
wiki_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
mago_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
aguav_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
iapapa_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,6,6,6,6,6,6
razz_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,7,7,8,9,9
bluk_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,7,7,7,8,8
nanab_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,7,7,7,8,8
wepear_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,7,7,7,,
pinap_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,7,7,8,9,9
pomeg_berry,,,,,,,0,2,3,3,1,4,4,5,4,5,5,6,6,6,6,6,7,7
kelpsy_berry,,,,,,,0,2,3,3,1,4,4,5,4,5,5,6,6,6,6,6,7,7
qualot_berry,,,,,,,0,2,3,3,1,4,4,5,4,5,5,6,6,6,6,6,7,7
hondew_berry,,,,,,,0,2,3,3,1,4,4,5,4,6,6,7,7,7,7,7,8,8
grepa_berry,,,,,,,0,2,3,3,1,4,4,5,4,6,6,7,7,7,7,7,8,8
tamato_berry,,,,,,,0,2,3,3,1,4,4,5,4,5,5,6,6,6,6,6,7,7
cornn_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,8,8,8,,
magost_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,8,8,8,,
rabuta_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,7,7,7,,
nomel_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,7,7,7,,
spelon_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,8,8,8,,
pamtre_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,7,7,7,,
watmel_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,7,7,7,,
durin_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,7,7,7,,
belue_berry,,,,,,,0,0,2,2,1,3,3,4,3,5,5,6,7,7,7,7,,
occa_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
passho_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
wacan_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
rindo_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
yache_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
chople_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
kebia_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
shuca_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
coba_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
payapa_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
tanga_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,4,4,4,4,4
charti_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
kasib_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
haban_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
colbur_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
babiri_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
chilan_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
liechi_berry,,,,,,,0,0,2,2,1,3,3,4,3,4,4,5,5,5,5,5,5,5
ganlon_berry,,,,,,,0,0,2,0,1,3,3,4,3,4,4,5,5,5,5,5,5,5
salac_berry,,,,,,,0,0,2,0,1,3,3,4,3,4,4,5,6,6,6,6,7,7
petaya_berry,,,,,,,0,0,0,0,1,2,2,3,2,3,3,4,4,4,4,4,4,4
apicot_berry,,,,,,,0,0,2,2,1,3,3,4,3,4,4,5,5,5,5,5,5,5
lansat_berry,,,,,,,0,0,2,2,1,3,3,4,3,4,4,5,5,5,5,5,5,5
starf_berry,,,,,,,0,0,2,2,1,3,3,4,3,4,4,5,5,5,5,5,5,5
enigma_berry,,,,,,,0,0,0,0,1,2,2,3,2,4,4,5,5,5,5,5,5,5
micle_berry,,,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2,2
custap_berry,,,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2,2
jaboca_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
rowap_berry,,,,,,,,,,,,0,0,1,0,2,2,3,3,3,3,3,3,3
roseli_berry,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
kee_berry,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
maranga_berry,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
