Item Name,Gen,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
abomasite,6,"One variety of the mysterious Mega Stones. Have Abomasnow hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Abomasnow hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
absolite,6,"One variety of the mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
absorb_bulb,5,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.",An item to be held by a Pokemon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.,An item to be held by a Pokemon. It boosts Sp. Atk if the holder is hit with a Water-type attack. It can only be used once.,,,,,,,,,,,,,,,,,,,,,
adrenaline_orb,7,"Using it makes wild Pokemon more likely to call for help. If held by a Pokemon, it boosts Speed when intimidated. It can be used only once.","Using it makes wild Pokemon call for help a number of times. If held by a Pokemon, it boosts Speed when intimidated. It can be used only once.","If held by a Pokemon, it boosts Speed when intimidated.",,,,,,,,,,,,,,,,,,,,,
aerodactylite,6,"One variety of the mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Aerodactyl to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,
aggronite,6,"One variety of the mysterious Mega Stones. Have Aggron hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Aggron hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
air_balloon,5,"When held by a Pokemon, the Pokemon will float in the air. When the holder is attacked, the item will burst.","An item to be held by a Pokemon. The holder will float in the air until hit. Once hit, this item will burst.","An item to be held by a Pokemon. The holder will float in the air until hit. Once the holder is hit, this item will burst.",,,,,,,,,,,,,,,,,,,,,
alakazite,6,"One variety of the mysterious Mega Stones. Have Alakazam hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Alakazam hold it, and this stone will enable it to Mega Evolve during battle.",One of a variety of mysterious Mega Stones. This stone will enable Alakazam to Mega Evolve during battle.,,,,,,,,,,,,,,,,,,,,,
altarianite,6,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,,
ampharosite,6,"One variety of the mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle.","One of a variety of mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle.",,,,,,,,,,,,,,,,,,,,,,
amulet_coin,2,Doubles monetary earnings. (HOLD),Doubles money in battle if the holder takes part.,An item to be held by a Pokemon. It doubles the battle money if the holding Pokemon takes part.,An item to be held by a Pokemon. It doubles a battle's prize money if the holding Pokemon joins in.,An item to be held by a Pokemon. It doubles any prize money received if the holding Pokemon joins in a battle.,An item to be held by a Pokemon. It doubles any prize money received if the holding Pokemon joins a battle.,,,,,,,,,,,,,,,,,,
