Move Name,Gen,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
pound,1,A Normal-type attack. Slightly stronger than Tackle. Many Pokemon know this move.,Pounds with forelegs or tail.,Pounds the foe with forelegs or tail.,"A physical attack delivered with a long tail or a foreleg, etc.",Pounds the target with forelegs or tail.,"The foe is physically pounded with a long tail or a foreleg, etc.","The target is physically pounded with a long tail or a foreleg, etc.","The target is physically pounded with a long tail, a foreleg, or the like.",,,,,,,,,,,,,,,,
karate_chop,1,A Normal-type attack. Often turns into a critical hit and inflicts double the damage.,A Fighting-type attack. Often turns into a critical hit and inflicts double the damage.,Has a high critical hit ratio.,A chopping attack with a high critical-hit ratio.,The foe is attacked with a sharp chop. It has a high critical-hit ratio.,The target is attacked with a sharp chop. Critical hits land more easily.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,,,
double_slap,1,"Although each slap is weak, this attack hits the target two to five times in succession.",Repeatedly slaps 2-5 times.,Repeatedly slaps the foe 2 to 5 times.,"The foe is slapped repeatedly, back and forth, two to five times.",Repeatedly slaps the target 2 to 5 times.,"The foe is slapped repeatedly, back and forth, two to five times in a row.","The target is slapped repeatedly, back and forth, two to five times in a row.","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,,
comet_punch,1,"Although each slap is weak, this attack hits the target two to five times in succession.",Repeatedly punches 2-5 times.,Repeatedly punches the foe 2 to 5 times.,The foe is hit with a flurry of punches that strike two to five times.,Repeatedly punches the target 2 to 5 times.,The foe is hit with a flurry of punches that strike two to five times in a row.,The target is hit with a flurry of punches that strike two to five times in a row.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,,
mega_punch,1,A Normal-type attack move. It is highly accurate and relatively powerful.,A powerful punch thrown very hard.,A strong punch thrown with incredible power.,The foe is slugged by a punch thrown with muscle-packed power.,The target is slugged by a punch thrown with muscle-packed power.,,,,,,,,,,,,,,,,,,,
pay_day,1,A move that also nets money at the end of battle. How much depends on the attack frequency and level.,A move that nets money at the end of battle. How much depends on the attack frequency and level.,Throws coins. Gets them back later.,Throws coins at the foe. Money is recovered after.,Throws coins at target. Money is recovered after.,Numerous coins are hurled at the foe. Money is earned after battle.,Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.,Numerous coins are hurled at the foe to inflict damage.,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.,,,,,,,,,,,,,,,
fire_punch,1,A special Fire-type attack. Has a one-in-ten chance of inflicting a burn on the target.,A fiery punch. May cause a burn.,A fiery punch that may burn the foe.,A fiery punch that may burn the target.,The foe is punched with a fiery fist. It may leave the foe with a burn.,The foe is punched with a fiery fist. It may leave the target with a burn.,The target is punched with a fiery fist. It may also leave the target with a burn.,The target is punched with a fiery fist. This may also leave the target with a burn.,,,,,,,,,,,,,,,,
ice_punch,1,A special Ice-type attack. Has a one-in-ten chance of freezing the target.,An icy punch. May cause freezing.,An icy punch that may freeze the foe.,The foe is punched with an icy fist. It may leave the foe frozen.,An icy punch that may freeze the target.,The foe is punched with an icy fist. It may leave the target frozen.,The target is punched with an icy fist. It may also leave the target frozen.,The target is punched with an icy fist. This may also leave the target frozen.,,,,,,,,,,,,,,,,
thunder_punch,1,A special Electric-type attack. Has a one-in-ten chance of paralyzing the target.,A special Electric-type attack. Has a one-in-ten shot at paralyzing the target.,An electric punch. It may paralyze.,An electrified punch that may paralyze the foe.,The foe is punched with an electrified fist. It may leave the foe paralyzed.,An electrified punch that may paralyze the target.,The foe is punched with an electrified fist. It may leave the target with paralysis.,The target is punched with an electrified fist. It may also leave the target with paralysis.,The target is punched with an electrified fist. This may also leave the target with paralysis.,,,,,,,,,,,,,,,
scratch,1,A Normal-type attack. Sharp claws are used to inflict damage on the target.,Scratches with sharp claws.,Scratches the foe with sharp claws.,"Hard, pointed, and sharp claws rake the foe.",Scratches the target with sharp claws.,"Hard, pointed, and sharp claws rake the foe to inflict damage.","Hard, pointed, and sharp claws rake the target to inflict damage.","Hard, pointed, sharp claws rake the target to inflict damage.",,,,,,,,,,,,,,,,
vise_grip,1,A Normal-type attack used only by Pokemon with pincers. The target is gripped and injured.,Grips with powerful pincers.,Grips the foe with large and powerful pincers.,Grips the target with large and powerful pincers.,"Huge, impressive pincers grip and squeeze the foe.",The target is gripped and squeezed from both sides to inflict damage.,,,,,,,,,,,,,,,,,,
guillotine,1,A single-hit knockout attack. Learned only by Pokemon that have large pincers.,"A one-hit KO, pincer attack.",A powerful pincer attack that may cause fainting.,A vicious tearing attack with pincers. The foe will faint if it hits.,"A vicious, tearing attack with pincers. The foe will faint instantly if this attack hits.","A vicious, tearing attack with big pincers. The target will faint instantly if this attack hits.","A vicious, tearing attack with big pincers. The target faints instantly if this attack hits.",,,,,,,,,,,,,,,,,
razor_wind,1,A two-turn attack with the wind attack in the second turn. Learned by many Flying-type Pokemon.,A two-turn attack with the wind attack in the second turn. Learned by many Flying types.,1st turn: Prepare2nd turn: Attack,A 2-turn move that strikes the foe on the 2nd turn.,Blades of wind hit the foe on the 2nd turn. It has a high critical-hit ratio.,A 2-turn move that strikes the target on the 2nd turn.,A two-turn attack. Blades of wind hit the foe on the second turn. It has a high critical-hit ratio.,A two-turn attack. Blades of wind hit opposing Pokemon on the second turn. Critical hits land more easily.,"In this two-turn attack, blades of wind hit opposing Pokemon on the second turn. Critical hits land more easily.","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,
swords_dance,1,A special move that greatly boosts the user's Attack power. Can normally be used up to three times.,A special move that boosts the user's Attack power. Normally used up to three times.,A dance that increases Attack.,A fighting dance that sharply raises Attack.,A frenetic dance of fighting. It sharply raises the Attack stat.,A frenetic dance to uplift the fighting spirit. It sharply raises the user's Attack stat.,A frenetic dance to uplift the fighting spirit. This sharply raises the user's Attack stat.,,,,,,,,,,,,,,,,,
cut,1,A Normal-type attack. Also used for cutting small bushes to open new paths.,"Cuts using claws, scythes, etc.","Cuts the foe with sharp scythes, claws, etc.",A basic attack. It can be used to cut down thin trees and grass.,"Cuts the target with sharp scythes, claws, etc.",The foe is cut with a scythe or a claw. It can also be used to cut down thin trees.,The foe is cut with a scythe or claw.,The target is cut with a scythe or a claw. It can also be used to cut down thin trees.,The target is cut with a scythe or claw. This can also be used to cut down thin trees.,The target is cut with a scythe or claw.,The target is cut with a scythe or claw. It’s also one of the Pokétch’s hidden moves.,,,,,,,,,,,,,
gust,1,A Normal-type attack used by bird Pokemon. A powerful wind is generated by flapping wings.,A Flying-type attack. The bird Pokemon flaps its wings to create a powerful wind.,Whips up a strong gust of wind.,Strikes the foe with a gust of wind whipped up by wings.,Hits target with a gust of wind whipped up by wings.,A gust of wind is whipped up by wings and launched at the foe to inflict damage.,A gust of wind is whipped up by wings and launched at the target to inflict damage.,,,,,,,,,,,,,,,,,
wing_attack,1,A Flying-type attack. The attacking Pokemon spreads its wings and charges at the target.,A Flying-type attack. The attacking Pokemon spreads its wings and charges.,Strikes the target with wings.,Strikes the foe with wings spread wide.,"The foe is struck with large, imposing wings spread wide.",Strikes the target with wings spread wide.,"The foe is struck with large, imposing wings spread wide to inflict damage.","The target is struck with large, imposing wings spread wide to inflict damage.",,,,,,,,,,,,,,,,
whirlwind,1,Generates a powerful wind that blows away wild Pokemon. Useful in the wild only.,A powerful wind that blows the target away. The opposing trainer must use a new Pokemon.,Blows away the foe & ends battle.,Blows away the foe with wind and ends the battle.,"The foe is made to switch out with an ally. In the wild, the battle ends.","Blows away the target, switching it out of battle.","The foe is blown away, to be replaced by another Pokemon in its party. In the wild, the battle ends.",The foe is blown away and replaced by another Pokemon in its party.,"The target is blown away, to be replaced by another Pokemon in its party. In the wild, the battle ends.","The target is blown away and switched. In the wild, a battle against a single Pokemon ends.","The target is blown away, and a different Pokemon is dragged out. In the wild, this ends a battle against a single Pokemon.","The target is blown away, and a different Pokemon is dragged out.",,,,,,,,,,,,
fly,1,"The Pokemon flies high, then strikes in the next turn. Used for flying to places already visited.","The Pokemon flies high, then strikes in the next turn. Used to fly to places already visited.",1st turn: Fly2nd turn: Attack,"Flies up on the first turn, then strikes the next turn.",A 2-turn move that hits on the 2nd turn. Use it to fly to any known town.,"Flies up on the first turn, then strikes the next turn.","The user soars, then strikes on the second turn. It can also be used for flying to any familiar town.","The user soars high, then strikes on the second turn.","The user soars, then strikes its target on the second turn. It can also be used for flying to any familiar town.",The user soars and then strikes its target on the next turn. This can also be used to fly to any familiar town.,The user soars and then strikes its target on the next turn.,The user flies up into the sky and then strikes its target on the next turn.,The user flies up into the sky and then strikes its target on the next turn. It’s also one of the Pokétch’s hidden moves.,,,,,,,,,,,
bind,1,Traps and squeezes the target over several turns. The target cannot move while under attack.,Binds the target for 2-5 turns.,Binds and squeezes the foe for 2 to 5 turns.,Binds and squeezes the target for 2 to 5 turns.,A long body or tentacles are used to bind the foe for two to five turns.,A long body or tentacles are used to bind and squeeze the foe for two to five turns.,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.,,,,,,,,,,,,,,,,,
slam,1,A Normal-type attack move. The attacker uses an appendage (e.g. tail) to slam the target hard.,A Normal-type attack move. The attacker uses an appendage to slam the target hard.,"Slams the foe with a tail, vine, etc.","Slams the foe with a long tail, vine, etc.","The foe is struck with a long tail, vines, etc.","The foe is slammed with a long tail, vines, etc., to inflict damage.","The target is slammed with a long tail, vines, etc., to inflict damage.","The target is slammed with a long tail, vines, or the like to inflict damage.",,,,,,,,,,,,,,,,
vine_whip,1,A Grass-type attack. The Pokemon uses its cruel whips to strike the opponent.,Whips the foe with slender vines.,"Strikes the foe with slender, whiplike vines.","The foe is struck with slender, whiplike vines.","Strikes the target with slender, whiplike vines.","The foe is struck with slender, whiplike vines to inflict damage.","The target is struck with slender, whiplike vines to inflict damage.",,,,,,,,,,,,,,,,,
stomp,1,A Normal-type attack. Has a one-in-three chance of making the target flinch if it connects.,A Normal-type attack. Has a one-in-three chance of making the target flinch if it hits.,An attack that may cause flinching.,Stomps the enemy with a big foot. May cause flinching.,Stomps target with a big foot. May cause flinching.,The foe is stomped with a big foot. It may make the foe flinch.,The foe is stomped with a big foot. It may also make the target flinch.,The target is stomped with a big foot. It may also make the target flinch.,The target is stomped with a big foot. This may also make the target flinch.,,,,,,,,,,,,,,,
double_kick,1,"A Fighting-type attack. As the name implies, it is actually two quick kicks in succession.",A double kicking attack.,A double-kicking attack that strikes the foe twice.,Two legs are used to quickly kick the foe twice in one turn.,A double-kicking attack that hits the target twice.,The foe is quickly kicked twice in succession using both feet.,The target is quickly kicked twice in succession using both feet.,,,,,,,,,,,,,,,,,
mega_kick,1,"A Normal-type attack. Out of all the Pokemon kicking attacks, this is the strongest.",A powerful kicking attack.,An extremely powerful kick with intense force.,The foe is attacked by a kick fired with muscle-packed power.,The foe is attacked by a kick launched with muscle-packed power.,The target is attacked by a kick launched with muscle-packed power.,,,,,,,,,,,,,,,,,,
jump_kick,1,"A forceful Fighting-type attack. If it misses, however, the attacker gets hurt.","May miss, damaging the user.",A strong jumping kick. May miss and hurt the kicker.,"The user jumps up high, then kicks. If it misses, the user hurts itself.","The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,,,,,
rolling_kick,1,A sharp Fighting-type attack. Has a one-in-three chance of making the target flinch if it connects.,A sharp Fighting-type attack. Has a one-in-three shot at making the target flinch.,"A fast, spinning kick.",A fast kick delivered from a rapid spin.,A rapid spin and fast kick that may cause flinching.,A quick kick from a rolling spin. It may make the foe flinch.,The user cuts a quick spin and lashes out with a sharp kick.,"The user lashes out with a quick, spinning kick. It may also make the target flinch.","The user lashes out with a quick, spinning kick. This may also make the target flinch.","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,,,,,,,,,,,,,
sand_attack,1,An attack in which sand is used to blind the target and reduce its attack accuracy.,Reduces accuracy by throwing sand.,Reduces the foe's accuracy by hurling sand in its face.,"A lot of sand is hurled in the foe's face, reducing its accuracy.",Lowers accuracy of target by hurling sand in its face.,"Sand is hurled in the foe's face, reducing its accuracy.","Sand is hurled in the target's face, reducing its accuracy.","Sand is hurled in the target's face, reducing the target's accuracy.",,,,,,,,,,,,,,,,
headbutt,1,A Normal-type attack. Has a one-in-three chance of making the target flinch if it connects.,A Normal-type attack. Has a one-in-three chance of making the target flinch if it hits.,An attack that may make foe flinch.,A ramming attack that may cause flinching.,The user sticks its head out and rams. It may make the foe flinch.,The user sticks its head out and rams straight forward. It may make the foe flinch.,"The user attacks with its head. It may make the foe flinch. To find Pokemon, hit trees.",The user sticks out its head and attacks by charging straight into the target. It may also make the target flinch.,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.,,,,,,,,,,,,,,,
horn_attack,1,A Normal-type attack. A sharp horn is driven hard into the target to inflict damage.,An attack using a horn to jab.,Jabs the foe with sharp horns.,Jabs the target with sharp horns.,The foe is jabbed with a sharply pointed horn to inflict damage.,The target is jabbed with a sharply pointed horn to inflict damage.,,,,,,,,,,,,,,,,,,
