Move Name,RB,Y,Stad,GS,C,Stad2,RS,E,Colo,XD,FRLG,DP,Pt,HGSS,PBR,BW,B2W2,XY,ORAS,SM,USUM,PE,SwSh,BDSP
pound,0,0,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7,7
karate_chop,0,0,0,2,2,1,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,6,6
double_slap,0,0,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,7,7
comet_punch,0,0,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,7,7
mega_punch,0,0,0,1,1,0,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4
pay_day,0,0,0,2,2,1,3,3,4,4,5,6,6,6,7,8,8,8,8,8,8,8,8,8
fire_punch,0,0,0,1,1,0,2,2,3,3,4,5,5,5,5,6,6,7,7,7,7,7,7,7
ice_punch,0,0,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7,7
thunder_punch,0,0,0,2,2,1,3,3,5,5,4,6,6,6,6,7,7,8,8,8,8,8,8,8
scratch,0,0,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7,7
vise_grip,0,0,0,1,1,0,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5
guillotine,0,0,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6,6
razor_wind,0,0,0,2,2,1,3,3,5,5,4,6,6,6,6,7,7,7,7,8,8,8,9,9
swords_dance,0,0,0,2,2,1,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6
cut,0,0,0,1,1,0,2,2,4,4,3,5,5,5,6,7,7,8,8,9,9,9,9,10
gust,0,0,0,2,2,1,3,3,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6,6
wing_attack,0,0,0,2,2,1,3,3,5,5,4,6,6,6,6,7,7,7,7,7,7,7,7,7
whirlwind,0,0,0,2,2,1,3,3,5,5,4,6,6,6,7,8,9,10,10,10,10,11,10,10
fly,0,0,0,2,2,1,3,3,5,5,4,6,6,6,7,8,8,9,9,10,10,11,11,12
bind,0,0,0,1,1,0,2,2,3,3,4,5,5,5,5,6,6,6,6,6,6,6,6,6
slam,0,0,0,2,2,1,3,3,3,3,4,5,5,5,5,6,6,7,7,7,7,7,7,7
vine_whip,0,0,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6,6
stomp,0,0,0,2,2,1,3,3,4,4,5,6,6,6,6,7,7,8,8,8,8,8,8,8
double_kick,0,0,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6,6
mega_kick,0,0,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5,5
jump_kick,0,0,0,1,1,0,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5
rolling_kick,0,0,0,2,2,1,3,3,4,4,5,6,6,7,6,7,7,8,8,8,8,8,9,9
sand_attack,0,0,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,7,7,7,7,7,7,7
headbutt,0,0,0,2,2,1,3,3,3,3,4,5,5,6,5,7,7,8,8,8,8,8,8,8
horn_attack,0,0,0,1,1,0,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5
fury_attack,0,0,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6,6
horn_drill,0,0,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6,6
tackle,0,0,0,1,1,0,2,2,4,4,3,5,5,5,5,6,6,6,6,6,6,6,6,6
body_slam,0,0,0,2,2,1,3,3,3,3,4,5,5,5,5,6,6,7,7,7,7,7,7,7
wrap,0,0,0,2,2,1,3,3,4,4,5,6,6,6,6,7,7,7,7,8,8,8,8,8
take_down,0,0,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,6,6,6,6,6,6,6
thrash,0,0,0,1,1,0,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5,5
double_edge,0,0,0,2,2,1,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,7,7
tail_whip,0,0,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,6,6
poison_sting,0,0,0,2,2,1,3,3,3,3,4,5,5,5,5,6,6,6,6,6,6,6,6,6
twineedle,0,0,0,1,1,0,2,2,3,3,4,5,5,5,5,6,6,7,7,7,7,7,8,8
pin_missile,0,0,0,1,1,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5,5
leer,0,0,0,1,1,0,2,2,2,2,3,4,4,4,4,5,6,7,7,7,7,7,7,7
