Item Name,Item Class,Item Gen
psn_cure_berry,berry,2
prz_cure_berry,berry,2
burnt_berry,berry,2
ice_berry,berry,2
bitter_berry,berry,2
mint_berry,berry,2
miracle_berry,berry,2
mystery_berry,berry,2
berry,berry,2
gold_berry,berry,2
cheri_berry,berry,3
chesto_berry,berry,3
pecha_berry,berry,3
rawst_berry,berry,3
aspear_berry,berry,3
leppa_berry,berry,3
oran_berry,berry,3
persim_berry,berry,3
lum_berry,berry,3
sitrus_berry,berry,3
figy_berry,berry,3
wiki_berry,berry,3
mago_berry,berry,3
aguav_berry,berry,3
iapapa_berry,berry,3
razz_berry,berry,3
bluk_berry,berry,3
nanab_berry,berry,3
wepear_berry,berry,3
pinap_berry,berry,3
pomeg_berry,berry,3
kelpsy_berry,berry,3
qualot_berry,berry,3
hondew_berry,berry,3
grepa_berry,berry,3
tamato_berry,berry,3
cornn_berry,berry,3
magost_berry,berry,3
rabuta_berry,berry,3
nomel_berry,berry,3
spelon_berry,berry,3
pamtre_berry,berry,3
watmel_berry,berry,3
durin_berry,berry,3
belue_berry,berry,3
occa_berry,berry,4
passho_berry,berry,4
wacan_berry,berry,4
rindo_berry,berry,4
yache_berry,berry,4
chople_berry,berry,4
kebia_berry,berry,4
shuca_berry,berry,4
coba_berry,berry,4
payapa_berry,berry,4
tanga_berry,berry,4
charti_berry,berry,4
kasib_berry,berry,4
haban_berry,berry,4
colbur_berry,berry,4
babiri_berry,berry,4
chilan_berry,berry,4
liechi_berry,berry,3
ganlon_berry,berry,3
salac_berry,berry,3
petaya_berry,berry,3
apicot_berry,berry,3
lansat_berry,berry,3
starf_berry,berry,3
enigma_berry,berry,3
micle_berry,berry,4
custap_berry,berry,4
jaboca_berry,berry,4
rowap_berry,berry,4
roseli_berry,berry,6
kee_berry,berry,6
maranga_berry,berry,6
shock_drive,drive,5
burn_drive,drive,5
chill_drive,drive,5
douse_drive,drive,5
power_anklet,power,4
power_band,power,4
power_belt,power,4
power_bracer,power,4
power_lens,power,4
power_weight,power,4
choice_band,choice,3
choice_specs,choice,4
choice_scarf,choice,4
fire_gem,gem,5
water_gem,gem,5
electric_gem,gem,5
grass_gem,gem,5
ice_gem,gem,5
fighting_gem,gem,5
poison_gem,gem,5
ground_gem,gem,5
flying_gem,gem,5
psychic_gem,gem,5
bug_gem,gem,5
