Move Name,Max Power
pound,90
mega_punch,130
pay_day,90
fire_punch,130
ice_punch,130
thunder_punch,130
scratch,90
vise_grip,110
guillotine,130
cut,100
gust,90
wing_attack,110
fly,130
bind,90
slam,130
vine_whip,100
stomp,120
double_kick,80
mega_kick,140
headbutt,120
horn_attack,120
fury_attack,90
horn_drill,130
tackle,90
body_slam,130
wrap,90
take_down,130
thrash,140
double_edge,140
poison_sting,70
pin_missile,130
bite,110
acid,70
ember,90
flamethrower,130
water_gun,90
hydro_pump,140
surf,130
ice_beam,130
blizzard,140
psybeam,120
bubble_beam,120
aurora_beam,120
hyper_beam,150
peck,90
drill_peck,130
submission,90
low_kick,100
counter,75
seismic_toss,75
strength,130
absorb,90
mega_drain,90
razor_leaf,110
solar_beam,140
petal_dance,140
fire_spin,90
thunder_shock,90
thunderbolt,130
thunder,140
rock_throw,100
earthquake,130
fissure,130
dig,130
confusion,100
psychic,130
quick_attack,90
night_shade,100
self_destruct,150
lick,90
smog,70
sludge,85
fire_blast,140
waterfall,130
swift,110
skull_bash,140
high_jump_kick,95
dream_eater,130
leech_life,130
sky_attack,140
crabhammer,130
explosion,150
fury_swipes,100
bonemerang,130
rock_slide,130
hyper_fang,130
tri_attack,130
super_fang,100
slash,120
struggle,1
triple_kick,80
thief,110
flame_wheel,110
snore,100
flail,130
aeroblast,130
reversal,100
powder_snow,90
mach_punch,70
sludge_bomb,90
mud_slap,90
octazooka,120
zap_cannon,140
icy_wind,110
bone_rush,130
outrage,140
giga_drain,130
rollout,90
false_swipe,90
spark,120
fury_cutter,90
steel_wing,120
present,100
sacred_fire,130
dynamic_punch,90
megahorn,140
dragon_breath,110
rapid_spin,100
iron_tail,130
metal_claw,100
vital_throw,85
cross_chop,90
twister,90
crunch,130
mirror_coat,100
extreme_speed,130
ancient_power,110
shadow_ball,130
future_sight,140
rock_smash,70
whirlpool,90
beat_up,100
fake_out,90
uproar,130
spit_up,100
heat_wave,130
facade,120
focus_punch,100
superpower,95
revenge,80
