Z-Move Name,Z-Crystal Name
breakneck_blitz,normalium_z
all_out_pummeling,fightinium_z
supersonic_skystrike,flyinium_z
acid_downpour,poisonium_z
tectonic_rage,groundium_z
continental_crush,rockium_z
savage_spin_out,buginium_z
never_ending_nightmare,ghostium_z
corkscrew_crash,steelium_z
inferno_overdrive,firium_z
hydro_vortex,waterium_z
bloom_doom,grassium_z
gigavolt_havoc,electrium_z
shattered_psyche,psychium_z
subzero_slammer,icium_z
devastating_drake,dragonium_z
black_hole_eclipse,darkinium_z
twinkle_tackle,fairium_z
catastropika,pikanium_z
10000000_volt_thunderbolt,pikashunium_z
stoked_sparksurfer,aloraichium_z
extreme_evoboost,eevium_z
pulverizing_pancake,snorlium_z
genesis_supernova,mewnium_z
sinister_arrow_raid,decidium_z
malicious_moonsault,incinium_z
oceanic_operetta,primarium_z
splintered_stormshards,lycanium_z
lets_snuggle_forever,mimikium_z
clangorous_soulblaze,kommonium_z
guardian_of_alola,tapunium_z
searing_sunraze_smash,solganium_z
menacing_moonraze_maelstrom,lunalium_z
light_that_burns_the_sky,ultranecrozium_z
soul_stealing_7_star_strike,marshadium_z
