Pokemon Name,Males out of 8,Females out of 8
nidoran_m,8,0
nidorino,8,0
nidoking,8,0
hitmonlee,8,0
hitmonchan,8,0
tauros,8,0
hitmontop,8,0
volbeat,8,0
mothim,8,0
gallade,8,0
throh,8,0
sawk,8,0
rufflet,8,0
braviary,8,0
impidimp,8,0
morgrem,8,0
grimmsnarl,8,0
pikachu_original_cap,8,0
pikachu_hoenn_cap,8,0
pikachu_sinnoh_cap,8,0
pikachu_unova_cap,8,0
pikachu_kalos_cap,8,0
pikachu_alola_cap,8,0
pikachu_partner_cap,8,0
pikachu_world_cap,8,0
tyrogue,8,0
latios,8,0
tornadus,8,0
thundurus,8,0
landorus,8,0
greninja_ash,8,0
bulbasaur,7,1
ivysaur,7,1
venusaur,7,1
charmander,7,1
charmeleon,7,1
charizard,7,1
squirtle,7,1
wartortle,7,1
blastoise,7,1
eevee,7,1
vaporeon,7,1
jolteon,7,1
flareon,7,1
omanyte,7,1
omastar,7,1
kabuto,7,1
kabutops,7,1
aerodactyl,7,1
snorlax,7,1
chikorita,7,1
bayleef,7,1
meganium,7,1
cyndaquil,7,1
quilava,7,1
typhlosion,7,1
totodile,7,1
croconaw,7,1
feraligatr,7,1
togetic,7,1
espeon,7,1
umbreon,7,1
treecko,7,1
grovyle,7,1
sceptile,7,1
torchic,7,1
combusken,7,1
blaziken,7,1
mudkip,7,1
marshtomp,7,1
swampert,7,1
lileep,7,1
cradily,7,1
anorith,7,1
armaldo,7,1
relicanth,7,1
turtwig,7,1
grotle,7,1
torterra,7,1
chimchar,7,1
monferno,7,1
infernape,7,1
piplup,7,1
prinplup,7,1
empoleon,7,1
cranidos,7,1
rampardos,7,1
shieldon,7,1
bastiodon,7,1
combee,7,1
lucario,7,1
togekiss,7,1
leafeon,7,1
glaceon,7,1
snivy,7,1
servine,7,1
serperior,7,1
tepig,7,1
pignite,7,1
emboar,7,1
oshawott,7,1
dewott,7,1
samurott,7,1
pansage,7,1
simisage,7,1
pansear,7,1
simisear,7,1
panpour,7,1
simipour,7,1
tirtouga,7,1
carracosta,7,1
archen,7,1
archeops,7,1
zorua,7,1
zoroark,7,1
chespin,7,1
quilladin,7,1
chesnaught,7,1
fennekin,7,1
braixen,7,1
delphox,7,1
froakie,7,1
frogadier,7,1
greninja,7,1
tyrunt,7,1
tyrantrum,7,1
amaura,7,1
aurorus,7,1
sylveon,7,1
rowlet,7,1
dartrix,7,1
decidueye,7,1
litten,7,1
torracat,7,1
incineroar,7,1
popplio,7,1
brionne,7,1
primarina,7,1
salandit,7,1
grookey,7,1
thwackey,7,1
rillaboom,7,1
scorbunny,7,1
raboot,7,1
cinderace,7,1
sobble,7,1
