Pokemon Name,Version Group
weedle,SwSh
kakuna,SwSh
beedrill,SwSh
pidgey,SwSh
pidgeotto,SwSh
pidgeot,SwSh
rattata,SwSh
raticate,SwSh
spearow,SwSh
fearow,SwSh
ekans,SwSh
arbok,SwSh
paras,SwSh
parasect,SwSh
venonat,SwSh
venomoth,SwSh
mankey,SwSh
primeape,SwSh
bellsprout,SwSh
weepinbell,SwSh
victreebel,SwSh
geodude,SwSh
graveler,SwSh
golem,SwSh
doduo,SwSh
dodrio,SwSh
seel,SwSh
dewgong,SwSh
grimer,SwSh
muk,SwSh
drowzee,SwSh
hypno,SwSh
voltorb,SwSh
electrode,SwSh
chikorita,SwSh
bayleef,SwSh
meganium,SwSh
cyndaquil,SwSh
quilava,SwSh
typhlosion,SwSh
totodile,SwSh
croconaw,SwSh
feraligatr,SwSh
sentret,SwSh
furret,SwSh
ledyba,SwSh
ledian,SwSh
spinarak,SwSh
ariados,SwSh
mareep,SwSh
flaaffy,SwSh
ampharos,SwSh
hoppip,SwSh
skiploom,SwSh
jumpluff,SwSh
aipom,SwSh
sunkern,SwSh
sunflora,SwSh
yanma,SwSh
murkrow,SwSh
misdreavus,SwSh
unown,SwSh
girafarig,SwSh
pineco,SwSh
forretress,SwSh
gligar,SwSh
snubbull,SwSh
granbull,SwSh
teddiursa,SwSh
ursaring,SwSh
slugma,SwSh
magcargo,SwSh
houndour,SwSh
houndoom,SwSh
phanpy,SwSh
donphan,SwSh
stantler,SwSh
smeargle,SwSh
poochyena,SwSh
mightyena,SwSh
wurmple,SwSh
silcoon,SwSh
beautifly,SwSh
cascoon,SwSh
dustox,SwSh
taillow,SwSh
swellow,SwSh
surskit,SwSh
masquerain,SwSh
shroomish,SwSh
breloom,SwSh
slakoth,SwSh
vigoroth,SwSh
slaking,SwSh
makuhita,SwSh
hariyama,SwSh
nosepass,SwSh
skitty,SwSh
delcatty,SwSh
meditite,SwSh
medicham,SwSh
plusle,SwSh
minun,SwSh
volbeat,SwSh
illumise,SwSh
gulpin,SwSh
swalot,SwSh
numel,SwSh
camerupt,SwSh
spoink,SwSh
grumpig,SwSh
spinda,SwSh
cacnea,SwSh
cacturne,SwSh
zangoose,SwSh
seviper,SwSh
castform_normal,SwSh
kecleon,SwSh
shuppet,SwSh
banette,SwSh
tropius,SwSh
chimecho,SwSh
clamperl,SwSh
huntail,SwSh
gorebyss,SwSh
luvdisc,SwSh
deoxys_normal,SwSh
turtwig,SwSh
grotle,SwSh
torterra,SwSh
chimchar,SwSh
monferno,SwSh
infernape,SwSh
piplup,SwSh
prinplup,SwSh
empoleon,SwSh
starly,SwSh
staravia,SwSh
staraptor,SwSh
bidoof,SwSh
bibarel,SwSh
kricketot,SwSh
kricketune,SwSh
cranidos,SwSh
rampardos,SwSh
shieldon,SwSh
bastiodon,SwSh
burmy_plant,SwSh
wormadam_plant,SwSh
mothim,SwSh
pachirisu,SwSh
buizel,SwSh
floatzel,SwSh
ambipom,SwSh
mismagius,SwSh
honchkrow,SwSh
glameow,SwSh
purugly,SwSh
chingling,SwSh
chatot,SwSh
carnivine,SwSh
finneon,SwSh
lumineon,SwSh
yanmega,SwSh
gliscor,SwSh
probopass,SwSh
phione,SwSh
manaphy,SwSh
darkrai,SwSh
shaymin_land,SwSh
arceus_normal,SwSh
snivy,SwSh
servine,SwSh
serperior,SwSh
tepig,SwSh
pignite,SwSh
emboar,SwSh
oshawott,SwSh
dewott,SwSh
samurott,SwSh
patrat,SwSh
watchog,SwSh
pansage,SwSh
simisage,SwSh
pansear,SwSh
simisear,SwSh
panpour,SwSh
simipour,SwSh
blitzle,SwSh
zebstrika,SwSh
sewaddle,SwSh
swadloon,SwSh
leavanny,SwSh
ducklett,SwSh
swanna,SwSh
deerling_spring,SwSh
sawsbuck_spring,SwSh
alomomola,SwSh
tynamo,SwSh
eelektrik,SwSh
eelektross,SwSh
meloetta_aria,SwSh
chespin,SwSh
quilladin,SwSh
chesnaught,SwSh
fennekin,SwSh
braixen,SwSh
delphox,SwSh
froakie,SwSh
frogadier,SwSh
greninja,SwSh
scatterbug,SwSh
spewpa,SwSh
vivillon,SwSh
litleo,SwSh
pyroar,SwSh
flabebe,SwSh
floette,SwSh
florges,SwSh
skiddo,SwSh
gogoat,SwSh
furfrou,SwSh
hoopa,SwSh
pikipek,SwSh
trumbeak,SwSh
toucannon,SwSh
yungoos,SwSh
gumshoos,SwSh
