Move Name,Move Description
accelerock,The user smashes into the target at high speed. This move always goes first.
acid_downpour,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
acrobatics,"The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage."
aerial_ace,"The user confounds the target with speed, then slashes. This attack never misses."
all_out_pummeling,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
anchor_shot,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
aqua_jet,The user lunges at the target at a speed that makes it almost invisible. This move always goes first.
aqua_tail,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
arm_thrust,The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.
assurance,"If the target has already taken some damage in the same turn, this attack's power is doubled."
astonish,The user attacks the target while shouting in a startling fashion. This may also make the target flinch.
attack_order,The user calls out its underlings to pummel the target. Critical hits land more easily.
aura_wheel,Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move's type changes depending on the user's form.
avalanche,The power of this attack move is doubled if the user has been hurt by the target in the same turn.
barrage,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
beak_blast,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn."
beat_up,"The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks."
behemoth_bash,The user becomes a gigantic shield and slams into the target. This move deals twice the damage if the target is Dynamaxed.
behemoth_blade,The user becomes a gigantic sword and cuts the target. This move deals twice the damage if the target is Dynamaxed.
bide,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
bind,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
bite,The target is bitten with viciously sharp fangs. This may also make the target flinch.
black_hole_eclipse,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
blaze_kick,The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.
bloom_doom,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
body_press,"The user attacks by slamming its body into the target. The higher the user's Defense, the more damage it can inflict on the target."
body_slam,The user drops onto the target with its full body weight. This may also leave the target with paralysis.
bolt_beak,"The user stabs the target with its electrified beak. If the user attacks before the target, the power of this move is doubled."
bolt_strike,The user surrounds itself with a great amount of electricity and charges its target. This may also leave the target with paralysis.
bone_club,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
bone_rush,The user strikes the target with a hard bone two to five times in a row.
bonemerang,The user throws the bone it holds. The bone loops around to hit the target twiceâ€”coming and going.
bounce,"The user bounces up high, then drops on the target on the second turn. This may also leave the target with paralysis."
branch_poke,The user attacks the target by poking it with a sharply pointed branch.
brave_bird,The user tucks in its wings and charges from a low altitude. This also damages the user quite a lot.
breaking_swipe,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.
breakneck_blitz,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
brick_break,"The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect."
brutal_swing,The user swings its body around violently to inflict damage on everything in its vicinity.
bug_bite,"The user bites the target. If the target is holding a Berry, the user eats it and gains its effect."
bulldoze,The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.
bullet_punch,The user strikes the target with tough punches as fast as bullets. This move always goes first.
bullet_seed,The user forcefully shoots seeds at the target two to five times in a row.
catastropika,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
chip_away,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
circle_throw,"The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
clamp,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
close_combat,The user fights the target up close without guarding itself. This also lowers the user's Defense and Sp. Def stats.
comet_punch,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
constrict,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
continental_crush,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
corkscrew_crash,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered."
