Gen,Sprite URL,Item Name,Type
2,//cdn2.bulbagarden.net/upload/8/88/Bag_Black_Belt_Sprite.png,black_belt,fighting
2,//cdn2.bulbagarden.net/upload/3/3f/Bag_Black_Glasses_Sprite.png,black_glasses,dark
2,//cdn2.bulbagarden.net/upload/b/b5/Bag_Charcoal_Sprite.png,charcoal,fire
2,//cdn2.bulbagarden.net/upload/e/ea/Bag_Dragon_Fang_Sprite.png,dragon_fang,dragon
2,//cdn2.bulbagarden.net/upload/8/82/Bag_Hard_Stone_Sprite.png,hard_stone,rock
2,//cdn2.bulbagarden.net/upload/6/69/Bag_Magnet_Sprite.png,magnet,electric
2,//cdn2.bulbagarden.net/upload/e/ee/Bag_Metal_Coat_Sprite.png,metal_coat,steel
2,//cdn2.bulbagarden.net/upload/e/ed/Bag_Miracle_Seed_Sprite.png,miracle_seed,grass
2,//cdn2.bulbagarden.net/upload/4/4e/Bag_Mystic_Water_Sprite.png,mystic_water,water
2,//cdn2.bulbagarden.net/upload/d/d6/Bag_Never-Melt_Ice_Sprite.png,never_melt_ice,ice
2,//cdn2.bulbagarden.net/upload/e/e7/Bag_None_Sprite.png,pink_bow,normal
2,//cdn2.bulbagarden.net/upload/d/d2/Bag_Poison_Barb_Sprite.png,poison_barb,poison
2,//cdn2.bulbagarden.net/upload/e/e7/Bag_None_Sprite.png,polkadot_bow,normal
2,//cdn2.bulbagarden.net/upload/4/4b/Bag_Sharp_Beak_Sprite.png,sharp_beak,flying
3,//cdn2.bulbagarden.net/upload/2/2c/Bag_Silk_Scarf_Sprite.png,silk_scarf,normal
2,//cdn2.bulbagarden.net/upload/e/e0/Bag_Silver_Powder_Sprite.png,silver_powder,bug
2,//cdn2.bulbagarden.net/upload/c/c5/Bag_Soft_Sand_Sprite.png,soft_sand,ground
2,//cdn2.bulbagarden.net/upload/5/51/Bag_Spell_Tag_Sprite.png,spell_tag,ghost
2,//cdn2.bulbagarden.net/upload/7/75/Bag_Twisted_Spoon_Sprite.png,twisted_spoon,psychic
