Attacking Type,normal,fighting,flying,poison,ground,rock,bug,ghost,fire,water,grass,electric,psychic,ice,dragon
Normal,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fighting,2.0,1.0,0.5,0.5,1.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0
Flying,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0
Poison,1.0,1.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Ground,1.0,1.0,0.0,2.0,1.0,2.0,0.5,1.0,2.0,1.0,0.5,2.0,1.0,1.0,1.0
Rock,1.0,0.5,2.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
Bug,1.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,1.0,2.0,1.0,1.0
Ghost,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Fire,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,1.0,2.0,0.5
Water,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5
Grass,1.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5
Electric,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,0.5
Psychic,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
Ice,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0
Dragon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
