Attacking Type,normal,fighting,flying,poison,ground,rock,bug,ghost,fire,water,grass,electric,psychic,ice,dragon
normal,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fighting,2.0,1.0,0.5,0.5,1.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0
flying,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0
poison,1.0,1.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0
ground,1.0,1.0,0.0,2.0,1.0,2.0,0.5,1.0,2.0,1.0,0.5,2.0,1.0,1.0,1.0
rock,1.0,0.5,2.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
bug,1.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,1.0,2.0,1.0,1.0
ghost,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
fire,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,1.0,2.0,0.5
water,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5
grass,1.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5
electric,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,0.5
psychic,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
ice,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0
dragon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
