Sprite URL,Name,Z-Move,Type
//cdn2.bulbagarden.net/upload/b/b9/Held_Buginium_Z_Sprite.png,buginium_z,savage_spin_out,bug
//cdn2.bulbagarden.net/upload/9/95/Held_Darkinium_Z_Sprite.png,darkinium_z,black_hole_eclipse,dark
//cdn2.bulbagarden.net/upload/7/7d/Held_Dragonium_Z_Sprite.png,dragonium_z,devastating_drake,dragon
//cdn2.bulbagarden.net/upload/1/1b/Held_Electrium_Z_Sprite.png,electrium_z,gigavolt_havoc,electric
//cdn2.bulbagarden.net/upload/f/f6/Held_Fairium_Z_Sprite.png,fairium_z,twinkle_tackle,fairy
//cdn2.bulbagarden.net/upload/1/1d/Held_Fightinium_Z_Sprite.png,fightinium_z,all_out_pummeling,fighting
//cdn2.bulbagarden.net/upload/3/30/Held_Firium_Z_Sprite.png,firium_z,inferno_overdrive,fire
//cdn2.bulbagarden.net/upload/5/56/Held_Flyinium_Z_Sprite.png,flyinium_z,supersonic_skystrike,flying
//cdn2.bulbagarden.net/upload/8/87/Held_Ghostium_Z_Sprite.png,ghostium_z,never_ending_nightmare,ghost
//cdn2.bulbagarden.net/upload/5/5e/Held_Grassium_Z_Sprite.png,grassium_z,bloom_doom,grass
//cdn2.bulbagarden.net/upload/a/a1/Held_Groundium_Z_Sprite.png,groundium_z,tectonic_rage,ground
//cdn2.bulbagarden.net/upload/c/ce/Held_Icium_Z_Sprite.png,icium_z,subzero_slammer,ice
//cdn2.bulbagarden.net/upload/d/d4/Held_Normalium_Z_Sprite.png,normalium_z,breakneck_blitz,normal
//cdn2.bulbagarden.net/upload/f/f3/Held_Poisonium_Z_Sprite.png,poisonium_z,acid_downpour,poison
//cdn2.bulbagarden.net/upload/1/1d/Held_Psychium_Z_Sprite.png,psychium_z,shattered_psyche,psychic
//cdn2.bulbagarden.net/upload/a/a0/Held_Rockium_Z_Sprite.png,rockium_z,continental_crush,rock
//cdn2.bulbagarden.net/upload/1/16/Held_Steelium_Z_Sprite.png,steelium_z,corkscrew_crash,steel
//cdn2.bulbagarden.net/upload/f/f9/Held_Waterium_Z_Sprite.png,waterium_z,hydro_vortex,water
