Item Name,Stad,GS,C,Stad2,RS,E,Colo,XD,FRLG,DP,Pt,HGSS,PBR,BW,B2W2,XY,ORAS,SM,USUM,PE,SwSh
abomasite,,,,,,,,,,,,,,,,0,1,1,1,1,
absolite,,,,,,,,,,,,,,,,0,1,1,1,1,
absorb_bulb,,,,,,,,,,,,,,0,0,1,1,1,1,1,2
adrenaline_orb,,,,,,,,,,,,,,,,,,0,1,0,2
aerodactylite,,,,,,,,,,,,,,,,0,1,1,1,2,1
aggronite,,,,,,,,,,,,,,,,0,1,1,1,1,
air_balloon,,,,,,,,,,,,,,0,0,1,1,1,1,1,2
alakazite,,,,,,,,,,,,,,,,0,1,1,1,2,1
altarianite,,,,,,,,,,,,,,,,0,0,0,0,0,
ampharosite,,,,,,,,,,,,,,,,0,1,1,1,1,
amulet_coin,,0,0,0,1,1,1,1,2,3,3,3,3,3,3,4,5,5,5,5,5
assault_vest,,,,,,,,,,,,,,,,0,0,0,0,0,0
audinite,,,,,,,,,,,,,,,,0,0,0,0,0,
banettite,,,,,,,,,,,,,,,,0,1,1,1,1,
beedrillite,,,,,,,,,,,,,,,,0,0,0,0,1,0
berry_juice,,0,0,0,1,1,1,1,2,3,3,3,3,3,3,4,4,4,4,4,5
berserk_gene,,0,0,0,,,,,,,,,,,,,,,,,
big_root,,,,,,,,,,0,0,1,0,1,1,2,2,3,3,3,4
binding_band,,,,,,,,,,,,,,0,0,1,1,1,1,1,2
black_sludge,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2
blastoisinite,,,,,,,,,,,,,,,,0,1,1,1,2,1
blazikenite,,,,,,,,,,,,,,,,0,1,1,1,1,
blue_orb,,,,,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,3,
blunder_policy,,,,,,,,,,,,,,,,,,,,,0
bright_powder,,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3
bug_memory,,,,,,,,,,,,,,,,,,0,0,0,0
burn_drive,,,,,,,,,,,,,,0,0,1,1,1,1,1,1
cameruptite,,,,,,,,,,,,,,,,0,0,0,0,0,
cell_battery,,,,,,,,,,,,,,0,0,1,1,1,1,1,2
charizardite_x,,,,,,,,,,,,,,,,0,1,1,1,2,1
charizardite_y,,,,,,,,,,,,,,,,0,1,1,1,2,1
chill_drive,,,,,,,,,,,,,,0,0,1,1,1,1,1,1
choice_band,,,,,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,4,4
choice_scarf,,,,,,,,,,0,0,0,0,1,1,2,2,2,2,2,2
choice_specs,,,,,,,,,,0,0,0,0,1,1,2,2,2,2,2,2
damp_rock,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2
dark_memory,,,,,,,,,,,,,,,,,,0,0,0,0
destiny_knot,,,,,,,,,,0,0,0,0,1,1,2,2,2,2,2,2
diancite,,,,,,,,,,,,,,,,0,0,0,0,0,
douse_drive,,,,,,,,,,,,,,0,0,1,1,1,1,1,1
dragon_memory,,,,,,,,,,,,,,,,,,0,0,0,0
eject_button,,,,,,,,,,,,,,0,0,1,1,1,1,1,1
eject_pack,,,,,,,,,,,,,,,,,,,,,0
electric_memory,,,,,,,,,,,,,,,,,,0,0,0,0
electric_seed,,,,,,,,,,,,,,,,,,0,0,0,0
expert_belt,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
fairy_memory,,,,,,,,,,,,,,,,,,0,0,0,0
fighting_memory,,,,,,,,,,,,,,,,,,0,0,0,0
fire_memory,,,,,,,,,,,,,,,,,,0,0,0,0
flame_orb,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2
float_stone,,,,,,,,,,,,,,0,0,1,1,1,1,1,1
flying_memory,,,,,,,,,,,,,,,,,,0,0,0,0
focus_band,,0,0,0,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3
focus_sash,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
full_incense,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1
galladite,,,,,,,,,,,,,,,,0,0,0,0,0,
garchompite,,,,,,,,,,,,,,,,0,1,1,1,1,
gardevoirite,,,,,,,,,,,,,,,,0,1,1,1,1,
gengarite,,,,,,,,,,,,,,,,0,1,1,1,2,1
ghost_memory,,,,,,,,,,,,,,,,,,0,0,0,0
glalitite,,,,,,,,,,,,,,,,0,0,0,0,0,
grass_memory,,,,,,,,,,,,,,,,,,0,0,0,0
grassy_seed,,,,,,,,,,,,,,,,,,0,0,0,0
grip_claw,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,3
ground_memory,,,,,,,,,,,,,,,,,,0,0,0,0
gyaradosite,,,,,,,,,,,,,,,,0,1,1,1,2,1
heat_rock,,,,,,,,,,0,0,1,0,1,1,2,2,2,2,2,2
heavy_duty_boots,,,,,,,,,,,,,,,,,,,,,0
heracronite,,,,,,,,,,,,,,,,0,1,1,1,1,
houndoominite,,,,,,,,,,,,,,,,0,1,1,1,1,
ice_memory,,,,,,,,,,,,,,,,,,0,0,0,0
