Item Name,Pokemon Name,Description,Sprite URL
abomasite,abomasnow,//cdn2.bulbagarden.net/upload/e/e5/Bag_Abomasite_Sprite.png,Mega stone for Abomasnow.
absolite,absol,//cdn2.bulbagarden.net/upload/d/d8/Bag_Absolite_Sprite.png,Mega stone for Absol.
aerodactylite,aerodactyl,//cdn2.bulbagarden.net/upload/0/02/Bag_Aerodactylite_Sprite.png,Mega stone for Aerodactyl.
aggronite,aggron,//cdn2.bulbagarden.net/upload/c/c1/Bag_Aggronite_Sprite.png,Mega stone for Aggron.
alakazite,alakazam,//cdn2.bulbagarden.net/upload/9/9c/Bag_Alakazite_Sprite.png,Mega stone for Alakazam.
altarianite,altaria,//cdn2.bulbagarden.net/upload/2/2d/Bag_Altarianite_Sprite.png,Mega stone for Altaria.
ampharosite,ampharos,//cdn2.bulbagarden.net/upload/2/2c/Bag_Ampharosite_Sprite.png,Mega stone for Ampharos.
audinite,audino,//cdn2.bulbagarden.net/upload/e/e9/Bag_Audinite_Sprite.png,Mega stone for Audino.
banettite,banette,//cdn2.bulbagarden.net/upload/3/35/Bag_Banettite_Sprite.png,Mega stone for Banette.
beedrillite,beedrill,//cdn2.bulbagarden.net/upload/1/1c/Bag_Beedrillite_Sprite.png,Mega stone for Beedrill.
blastoisinite,blastoise,//cdn2.bulbagarden.net/upload/6/62/Bag_Blastoisinite_Sprite.png,Mega stone for Blastoise.
blazikenite,blaziken,//cdn2.bulbagarden.net/upload/1/14/Bag_Blazikenite_Sprite.png,Mega stone for Blaziken.
cameruptite,camerupt,//cdn2.bulbagarden.net/upload/3/3e/Bag_Cameruptite_Sprite.png,Mega stone for Camerupt.
charizardite_x,charizard,//cdn2.bulbagarden.net/upload/1/1c/Bag_Charizardite_X_Sprite.png,Mega stone for Charizard.
charizardite_y,charizard,//cdn2.bulbagarden.net/upload/c/c8/Bag_Charizardite_Y_Sprite.png,Mega stone for Charizard.
diancite,diancie,//cdn2.bulbagarden.net/upload/a/aa/Bag_Diancite_Sprite.png,Mega stone for Diancie.
galladite,gallade,//cdn2.bulbagarden.net/upload/9/9f/Bag_Galladite_Sprite.png,Mega stone for Gallade.
garchompite,garchomp,//cdn2.bulbagarden.net/upload/4/4c/Bag_Garchompite_Sprite.png,Mega stone for Garchomp.
gardevoirite,gardevoir,//cdn2.bulbagarden.net/upload/4/49/Bag_Gardevoirite_Sprite.png,Mega stone for Gardevoir.
gengarite,gengar,//cdn2.bulbagarden.net/upload/2/27/Bag_Gengarite_Sprite.png,Mega stone for Gengar.
glalitite,glalie,//cdn2.bulbagarden.net/upload/8/81/Bag_Glalitite_Sprite.png,Mega stone for Glalie.
gyaradosite,gyarados,//cdn2.bulbagarden.net/upload/9/9f/Bag_Gyaradosite_Sprite.png,Mega stone for Gyarados.
heracronite,heracross,//cdn2.bulbagarden.net/upload/8/8c/Bag_Heracronite_Sprite.png,Mega stone for Heracross.
houndoominite,houndoom,//cdn2.bulbagarden.net/upload/a/ae/Bag_Houndoominite_Sprite.png,Mega stone for Houndoom.
kangaskhanite,kangaskhan,//cdn2.bulbagarden.net/upload/c/c5/Bag_Kangaskhanite_Sprite.png,Mega stone for Kangaskhan.
latiasite,latias,//cdn2.bulbagarden.net/upload/3/39/Bag_Latiasite_Sprite.png,Mega stone for Latias.
latiosite,latios,//cdn2.bulbagarden.net/upload/6/69/Bag_Latiosite_Sprite.png,Mega stone for Latios.
lopunnite,lopunny,//cdn2.bulbagarden.net/upload/4/4d/Bag_Lopunnite_Sprite.png,Mega stone for Lopunny.
lucarionite,lucario,//cdn2.bulbagarden.net/upload/7/76/Bag_Lucarionite_Sprite.png,Mega stone for Lucario.
manectite,manectric,//cdn2.bulbagarden.net/upload/9/98/Bag_Manectite_Sprite.png,Mega stone for Manectric.
mawilite,mawile,//cdn2.bulbagarden.net/upload/e/ed/Bag_Mawilite_Sprite.png,Mega stone for Mawile.
medichamite,medicham,//cdn2.bulbagarden.net/upload/e/ed/Bag_Medichamite_Sprite.png,Mega stone for Medicham.
metagrossite,metagross,//cdn2.bulbagarden.net/upload/2/2a/Bag_Metagrossite_Sprite.png,Mega stone for Metagross.
mewtwonite_x,mewtwo,//cdn2.bulbagarden.net/upload/0/0d/Bag_Mewtwonite_X_Sprite.png,Mega stone for Mewtwo.
mewtwonite_y,mewtwo,//cdn2.bulbagarden.net/upload/4/4a/Bag_Mewtwonite_Y_Sprite.png,Mega stone for Mewtwo.
pidgeotite,pidgeot,//cdn2.bulbagarden.net/upload/8/87/Bag_Pidgeotite_Sprite.png,Mega stone for Pidgeot.
pinsirite,pinsir,//cdn2.bulbagarden.net/upload/1/15/Bag_Pinsirite_Sprite.png,Mega stone for Pinsir.
sablenite,sableye,//cdn2.bulbagarden.net/upload/2/2f/Bag_Sablenite_Sprite.png,Mega stone for Sableye.
salamencite,salamence,//cdn2.bulbagarden.net/upload/d/d0/Bag_Salamencite_Sprite.png,Mega stone for Salamence.
sceptilite,sceptile,//cdn2.bulbagarden.net/upload/5/5b/Bag_Sceptilite_Sprite.png,Mega stone for Sceptile.
scizorite,scizor,//cdn2.bulbagarden.net/upload/7/73/Bag_Scizorite_Sprite.png,Mega stone for Scizor.
sharpedonite,sharpedo,//cdn2.bulbagarden.net/upload/f/fb/Bag_Sharpedonite_Sprite.png,Mega stone for Sharpedo.
slowbronite,slowbro,//cdn2.bulbagarden.net/upload/9/9e/Bag_Slowbronite_Sprite.png,Mega stone for Slowbro.
steelixite,steelix,//cdn2.bulbagarden.net/upload/6/6c/Bag_Steelixite_Sprite.png,Mega stone for Steelix.
swampertite,swampert,//cdn2.bulbagarden.net/upload/f/f3/Bag_Swampertite_Sprite.png,Mega stone for Swampert.
tyranitarite,tyranitar,//cdn2.bulbagarden.net/upload/e/e3/Bag_Tyranitarite_Sprite.png,Mega stone for Tyranitar.
